dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2012,1,concept,linear_gating,akt,valid,536087,5497,cluster,0.771395,0.029264,0.772772,-0.001378,-0.001909,-0.000835,0.001,0.014931,0.014333,0.001,0.778036,-0.006641,-0.007018,-0.006266,0.001,0.002072,0.027193,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,2,concept,static_concept_weights,akt,valid,536087,5497,cluster,0.778502,0.002753,0.771734,0.006768,0.006301,0.00727,0.001,0.014765,-0.012012,0.001,0.777755,0.000747,0.00047,0.001019,0.001,0.001817,0.000936,0.542729,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,2,concept,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778389,0.001748,0.771734,0.006654,0.006203,0.007093,0.001,0.014765,-0.013018,0.001,0.777755,0.000634,0.000469,0.000807,0.001,0.001817,-7e-05,0.66067,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,2,concept,linear_gating,akt,valid,536087,5497,cluster,0.770868,0.034432,0.771734,-0.000867,-0.001401,-0.000303,0.001999,0.014765,0.019667,0.001,0.777755,-0.006887,-0.007276,-0.006512,0.001,0.001817,0.032615,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2012,3,concept,static_concept_weights,akt,valid,536087,5497,cluster,0.778609,0.002627,0.771509,0.0071,0.006619,0.007572,0.001,0.01414,-0.011514,0.001,0.777817,0.000792,0.000532,0.001056,0.001,0.001637,0.000989,0.13993,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,3,concept,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778353,0.002159,0.771509,0.006845,0.006388,0.007267,0.001,0.01414,-0.011982,0.001,0.777817,0.000536,0.000372,0.000713,0.001,0.001637,0.000521,0.678661,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,3,concept,linear_gating,akt,valid,536087,5497,cluster,0.771376,0.031247,0.771509,-0.000132,-0.000638,0.000403,0.641679,0.01414,0.017106,0.001,0.777817,-0.006441,-0.006823,-0.006075,0.001,0.001637,0.029609,0.001,0.641679,False,0.015,True,0.015,True,0.015,True
assist2012,4,concept,static_concept_weights,akt,valid,536087,5497,cluster,0.778707,0.002455,0.772492,0.006214,0.005743,0.00669,0.001,0.012622,-0.010167,0.001,0.778014,0.000693,0.000415,0.000974,0.001,0.002029,0.000426,0.588706,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,4,concept,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778597,0.002435,0.772492,0.006105,0.005647,0.00654,0.001,0.012622,-0.010186,0.001,0.778014,0.000583,0.000416,0.000757,0.001,0.002029,0.000406,0.844578,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,4,concept,linear_gating,akt,valid,536087,5497,cluster,0.76963,0.039301,0.772492,-0.002863,-0.003526,-0.002243,0.001,0.012622,0.026679,0.001,0.778014,-0.008384,-0.008855,-0.007914,0.001,0.002029,0.037272,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,0,concept,static_concept_weights,simplekt,valid,301372,937,cluster,0.940415,0.004495,0.940611,-0.000195,-0.000558,0.000123,0.227886,0.02186,-0.017365,0.001,0.94067,-0.000255,-0.000503,-2.4e-05,0.029985,0.006068,-0.001572,0.290855,0.911544,False,0.015,True,0.269865,False,1.0,False
ednet,0,concept,global_stack_concept_intercept,simplekt,valid,301372,937,cluster,0.940555,0.005449,0.940611,-5.5e-05,-0.000365,0.000237,0.694653,0.02186,-0.016412,0.001,0.94067,-0.000115,-0.000331,0.000103,0.27986,0.006068,-0.000619,0.393803,0.917542,False,0.015,True,1.0,False,1.0,False
ednet,0,concept,linear_gating,simplekt,valid,301372,937,cluster,0.940234,0.014327,0.940611,-0.000377,-0.000701,-8.3e-05,0.016992,0.02186,-0.007534,0.001,0.94067,-0.000436,-0.000618,-0.000268,0.001,0.006068,0.008259,0.126937,0.16992000000000002,False,0.015,True,0.015,True,1.0,False
ednet,1,concept,static_concept_weights,simplekt,valid,301372,937,cluster,0.941373,0.007975,0.941215,0.000158,-0.000239,0.000498,0.458771,0.013728,-0.005753,0.016992,0.941491,-0.000118,-0.00038,0.000144,0.376812,0.009105,-0.00113,0.008996,0.917542,False,0.033984,True,1.0,False,0.125944,False
ednet,1,concept,global_stack_concept_intercept,simplekt,valid,301372,937,cluster,0.941516,0.008189,0.941215,0.000302,-2.9e-05,0.000613,0.087956,0.013728,-0.00554,0.049975,0.941491,2.5e-05,-0.000189,0.000235,0.8006,0.009105,-0.000917,0.021989,0.7916040000000001,False,0.049975,True,1.0,False,0.285857,False
ednet,1,concept,linear_gating,simplekt,valid,301372,937,cluster,0.940243,0.008011,0.941215,-0.000972,-0.001484,-0.000488,0.001,0.013728,-0.005717,0.003998,0.941491,-0.001248,-0.001502,-0.001003,0.001,0.009105,-0.001094,0.813593,0.015,True,0.015992,True,0.015,True,1.0,False
ednet,2,concept,static_concept_weights,simplekt,valid,301372,937,cluster,0.93995,0.003946,0.940673,-0.000723,-0.001234,-0.000291,0.001,0.020558,-0.016612,0.001,0.940307,-0.000358,-0.000645,-9.5e-05,0.008996,0.006546,-0.0026,0.061969,0.015,True,0.015,True,0.098956,False,0.6196900000000001,False
ednet,2,concept,global_stack_concept_intercept,simplekt,valid,301372,937,cluster,0.940098,0.005796,0.940673,-0.000574,-0.001044,-0.000143,0.005997,0.020558,-0.014762,0.001,0.940307,-0.000209,-0.000401,-3.3e-05,0.02099,0.006546,-0.00075,0.165917,0.071964,False,0.015,True,0.20990000000000003,False,1.0,False
ednet,2,concept,linear_gating,simplekt,valid,301372,937,cluster,0.940425,0.015808,0.940673,-0.000248,-0.000566,4.6e-05,0.10095,0.020558,-0.00475,0.003998,0.940307,0.000117,-1.7e-05,0.000263,0.072964,0.006546,0.009261,0.034983,0.8076,False,0.015992,True,0.583712,False,0.419796,False
ednet,3,concept,static_concept_weights,simplekt,valid,301372,937,cluster,0.940029,0.007881,0.940562,-0.000532,-0.001019,-0.000125,0.010995,0.019548,-0.011667,0.001,0.940179,-0.00015,-0.000452,0.000159,0.334833,0.010599,-0.002717,0.001,0.120945,False,0.015,True,1.0,False,0.015,True
ednet,3,concept,global_stack_concept_intercept,simplekt,valid,301372,937,cluster,0.940242,0.009389,0.940562,-0.000319,-0.000757,7.2e-05,0.10095,0.019548,-0.010159,0.001,0.940179,6.4e-05,-0.000192,0.000323,0.611694,0.010599,-0.001209,0.046977,0.8076,False,0.015,True,1.0,False,0.516747,False
ednet,3,concept,linear_gating,simplekt,valid,301372,937,cluster,0.940375,0.013168,0.940562,-0.000187,-0.000532,0.00013,0.248876,0.019548,-0.00638,0.001,0.940179,0.000196,8.8e-05,0.000306,0.001,0.010599,0.00257,0.67966,0.911544,False,0.015,True,0.015,True,1.0,False
ednet,4,concept,static_concept_weights,simplekt,valid,301372,937,cluster,0.940855,0.002913,0.940598,0.000258,-7.9e-05,0.000552,0.144928,0.021363,-0.01845,0.001,0.940694,0.000161,-9.2e-05,0.000398,0.213893,0.002106,0.000806,0.858571,0.869568,False,0.015,True,1.0,False,1.0,False
ednet,4,concept,global_stack_concept_intercept,simplekt,valid,301372,937,cluster,0.940763,0.002373,0.940598,0.000166,-5.5e-05,0.000375,0.162919,0.021363,-0.01899,0.001,0.940694,6.9e-05,-4.7e-05,0.00019,0.230885,0.002106,0.000267,0.717641,0.869568,False,0.015,True,1.0,False,1.0,False
ednet,4,concept,linear_gating,simplekt,valid,301372,937,cluster,0.939231,0.008513,0.940598,-0.001367,-0.001729,-0.001035,0.001,0.021363,-0.01285,0.001,0.940694,-0.001463,-0.001697,-0.001254,0.001,0.002106,0.006406,0.27986,0.015,True,0.015,True,0.015,True,1.0,False
