dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2015,1,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.729401,0.006176,0.726292,0.003108,0.002166,0.004088,0.001,0.008552,-0.002377,0.042979,0.730322,-0.000922,-0.001637,-0.00023,0.013993,0.00414,0.002036,0.168916,0.015,True,0.12893700000000002,False,0.083958,False,1.0,False
assist2015,1,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730251,0.004354,0.726292,0.003958,0.00314,0.004774,0.001,0.008552,-0.004199,0.001999,0.730322,-7.2e-05,-0.000444,0.000321,0.726637,0.00414,0.000214,0.702649,0.015,True,0.017991,True,1.0,False,1.0,False
assist2015,1,concept,linear_gating,dkt,valid,134592,3818,cluster,0.724034,0.028056,0.726292,-0.002259,-0.003736,-0.000911,0.002999,0.008552,0.019503,0.001,0.730322,-0.006289,-0.007219,-0.005386,0.001,0.00414,0.023916,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2015,2,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.729328,0.006369,0.727098,0.002229,0.001221,0.0032,0.001,0.010102,-0.003733,0.007996,0.730918,-0.001591,-0.002265,-0.000925,0.001,0.003933,0.002436,0.054973,0.015,True,0.03998,True,0.015,True,0.494757,False
assist2015,2,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730914,0.004814,0.727098,0.003816,0.003,0.004594,0.001,0.010102,-0.005288,0.003998,0.730918,-4e-06,-0.000386,0.000351,0.9995,0.003933,0.000881,0.521739,0.015,True,0.031984,True,1.0,False,1.0,False
assist2015,2,concept,linear_gating,dkt,valid,134592,3818,cluster,0.723269,0.030275,0.727098,-0.003829,-0.005378,-0.002359,0.001,0.010102,0.020173,0.001,0.730918,-0.007649,-0.008713,-0.006552,0.001,0.003933,0.026342,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2015,3,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.728826,0.005198,0.726627,0.002199,0.001217,0.00317,0.001,0.010432,-0.005234,0.005997,0.730201,-0.001375,-0.002109,-0.000702,0.001,0.003706,0.001492,0.390805,0.015,True,0.035982,True,0.015,True,1.0,False
assist2015,3,concept,global_stack_concept_intercept,dkt,valid,134592,3818,cluster,0.730522,0.003204,0.726627,0.003896,0.003139,0.004612,0.001,0.010432,-0.007228,0.001,0.730201,0.000321,-0.000105,0.000732,0.148926,0.003706,-0.000502,0.729635,0.015,True,0.015,True,0.74463,False,1.0,False
assist2015,3,concept,linear_gating,dkt,valid,134592,3818,cluster,0.72258,0.029337,0.726627,-0.004047,-0.005548,-0.002556,0.001,0.010432,0.018905,0.001,0.730201,-0.007621,-0.008633,-0.006561,0.001,0.003706,0.025631,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2015,4,concept,static_concept_weights,dkt,valid,134592,3818,cluster,0.728809,0.007489,0.727083,0.001726,0.000739,0.002734,0.001,0.006999,0.00049,0.57971,0.730614,-0.001805,-0.002505,-0.001085,0.001,0.004721,0.002768,0.006997,0.015,True,1.0,False,0.015,True,0.06997,False
