dataset,fold,scheme,seed,auc,static_auc,lift_vs_static
assist2012,1,moe,0,0.773159,0.778928,-0.005769
assist2012,1,attention,1,0.778115,0.778928,-0.000813
assist2012,1,moe,1,0.774469,0.778928,-0.00446
assist2012,1,attention,2,0.778102,0.778928,-0.000826
assist2012,1,moe,2,0.773432,0.778928,-0.005496
assist2012,1,attention,3,0.778152,0.778928,-0.000777
assist2012,1,moe,3,0.773897,0.778928,-0.005032
assist2012,1,attention,4,0.778169,0.778928,-0.00076
assist2012,1,moe,4,0.774002,0.778928,-0.004926
assist2012,2,attention,0,0.777751,0.778502,-0.000751
assist2012,2,moe,0,0.774341,0.778502,-0.004161
assist2012,2,attention,1,0.777861,0.778502,-0.000641
assist2012,2,moe,1,0.774346,0.778502,-0.004156
assist2012,2,attention,2,0.777789,0.778502,-0.000713
assist2012,2,moe,2,0.774702,0.778502,-0.0038
assist2012,2,attention,3,0.777734,0.778502,-0.000768
assist2012,2,moe,3,0.772912,0.778502,-0.00559
assist2012,2,attention,4,0.777889,0.778502,-0.000613
assist2012,2,moe,4,0.774515,0.778502,-0.003987
assist2012,3,attention,0,0.777707,0.778609,-0.000902
assist2012,3,moe,0,0.773618,0.778609,-0.004991
assist2012,3,attention,1,0.77782,0.778609,-0.000789
assist2012,3,moe,1,0.772526,0.778609,-0.006084
assist2012,3,attention,2,0.777794,0.778609,-0.000816
assist2012,3,moe,2,0.773835,0.778609,-0.004775
assist2012,3,attention,3,0.777775,0.778609,-0.000834
assist2012,3,moe,3,0.773404,0.778609,-0.005205
assist2012,3,attention,4,0.777762,0.778609,-0.000847
assist2012,3,moe,4,0.774142,0.778609,-0.004467
assist2012,4,attention,0,0.77811,0.778707,-0.000596
assist2012,4,moe,0,0.773847,0.778707,-0.004859
assist2012,4,attention,1,0.778149,0.778707,-0.000558
assist2012,4,moe,1,0.773409,0.778707,-0.005298
assist2012,4,attention,2,0.778159,0.778707,-0.000548
assist2012,4,moe,2,0.773431,0.778707,-0.005275
