dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
algebra2005,0,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,112859,92945,0.839452,0.008327,0.127922,0.831646,0.009994,0.131033,0.827474,0.015629,0.133411,0.813394,0.053947,0.142022,0.837776,0.011667,0.128359,0.024382,0.00613,-0.001676,-0.04228,0.001673,0.00334,0.83928,0.007733,0.127979,0.025886,0.007634,-0.000171,-0.046215,-0.002261,-0.000595,0.83939,0.007582,0.127968,0.025996,0.007745,-6.1e-05,-0.046366,-0.002412,-0.000746,0.838033,0.011122,0.128247,0.024639,0.006388,-0.001418,-0.042825,0.001129,0.002795
algebra2005,1,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,111871,92945,0.836504,0.009083,0.129179,0.827877,0.013655,0.132957,0.82352,0.019776,0.135234,0.814078,0.048824,0.141077,0.834632,0.014228,0.129965,0.020554,0.006755,-0.001872,-0.034596,0.000573,0.005145,0.836322,0.011278,0.129335,0.022244,0.008445,-0.000182,-0.037546,-0.002377,0.002195,0.836113,0.009985,0.129425,0.022035,0.008236,-0.000391,-0.038839,-0.00367,0.000902,0.834905,0.014251,0.129889,0.020827,0.007028,-0.001599,-0.034573,0.000596,0.005168
algebra2005,2,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,100740,92945,0.838781,0.006005,0.127906,0.831876,0.010298,0.131002,0.825598,0.02127,0.134294,0.815247,0.06492,0.1417,0.837395,0.011828,0.128486,0.022148,0.005519,-0.001386,-0.053092,0.001529,0.005823,0.838661,0.006466,0.127982,0.023414,0.006784,-0.000121,-0.058454,-0.003832,0.000462,0.838556,0.006689,0.128088,0.023309,0.00668,-0.000225,-0.058231,-0.003609,0.000684,0.837683,0.011487,0.128404,0.022437,0.005807,-0.001098,-0.053433,0.001189,0.005483
algebra2005,3,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,94885,92945,0.839617,0.004824,0.127535,0.832396,0.011969,0.130976,0.826563,0.020265,0.134031,0.816694,0.066559,0.141712,0.836794,0.009993,0.128588,0.0201,0.004397,-0.002823,-0.056566,-0.001976,0.005169,0.839451,0.005747,0.127592,0.022757,0.007055,-0.000165,-0.060813,-0.006223,0.000922,0.839529,0.006143,0.127709,0.022835,0.007132,-8.8e-05,-0.060417,-0.005827,0.001319,0.83712,0.00925,0.128528,0.020426,0.004724,-0.002496,-0.057309,-0.002719,0.004426
algebra2005,4,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,89450,92945,0.837544,0.00504,0.128704,0.830624,0.014112,0.131937,0.826365,0.018225,0.134303,0.813399,0.027323,0.139301,0.835428,0.011765,0.129409,0.022029,0.004804,-0.002116,-0.015558,-0.002347,0.006726,0.837408,0.005909,0.128775,0.02401,0.006784,-0.000136,-0.021414,-0.008203,0.000869,0.837089,0.006523,0.128891,0.02369,0.006464,-0.000455,-0.020801,-0.00759,0.001483,0.835868,0.010543,0.129288,0.022469,0.005243,-0.001677,-0.016781,-0.00357,0.005503
bridge2algebra2006,0,question,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,276786,352370,0.81998,0.003223,0.10403,0.819735,0.003304,0.104387,0.814689,0.012291,0.105762,0.807972,0.008721,0.107056,0.813082,0.010905,0.105644,0.00511,-0.006653,-0.006897,0.002184,0.007601,0.007682,0.819897,0.003833,0.104064,0.011925,0.000162,-8.2e-05,-0.004887,0.000529,0.00061,0.819853,0.003934,0.10408,0.011881,0.000118,-0.000126,-0.004786,0.00063,0.000712,0.813219,0.010866,0.105574,0.005246,-0.006517,-0.006761,0.002146,0.007562,0.007643
bridge2algebra2006,1,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,286535,352370,0.821856,0.004136,0.103532,0.821489,0.00363,0.103709,0.816829,0.013602,0.105225,0.806718,0.006749,0.107502,0.81549,0.01147,0.105062,0.008773,-0.005998,-0.006365,0.004721,0.00784,0.007334,0.821746,0.004981,0.103597,0.015029,0.000258,-0.000109,-0.001768,0.00135,0.000845,0.821822,0.005114,0.103561,0.015105,0.000334,-3.3e-05,-0.001635,0.001484,0.000978,0.815618,0.011487,0.105002,0.008901,-0.00587,-0.006237,0.004738,0.007856,0.007351
bridge2algebra2006,2,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,301562,352370,0.821136,0.005448,0.103629,0.821535,0.003645,0.103815,0.817075,0.013361,0.105042,0.807446,0.007236,0.107317,0.815633,0.011558,0.104952,0.008187,-0.005902,-0.005503,0.004322,0.007913,0.006111,0.821033,0.005491,0.10367,0.013587,-0.000502,-0.000103,-0.001745,0.001845,4.3e-05,0.821187,0.005359,0.103628,0.013741,-0.000348,5.1e-05,-0.001877,0.001714,-8.9e-05,0.815733,0.010796,0.104879,0.008287,-0.005802,-0.005403,0.00356,0.00715,0.005348
bridge2algebra2006,3,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,307842,352370,0.819319,0.005199,0.10421,0.818379,0.004311,0.104758,0.813184,0.015552,0.106341,0.805745,0.006766,0.107702,0.812965,0.012392,0.105598,0.00722,-0.005414,-0.006354,0.005626,0.008081,0.007193,0.819222,0.005702,0.104253,0.013477,0.000843,-9.7e-05,-0.001064,0.001391,0.000504,0.819266,0.005835,0.104217,0.01352,0.000887,-5.3e-05,-0.000931,0.001524,0.000637,0.813083,0.01127,0.105529,0.007338,-0.005296,-0.006236,0.004503,0.006959,0.006071
bridge2algebra2006,4,question,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,282684,352370,0.820222,0.0037,0.104148,0.818336,0.002115,0.104515,0.812273,0.015749,0.10594,0.805861,0.009314,0.107894,0.813923,0.010572,0.105738,0.008062,-0.004413,-0.006299,0.001259,0.008458,0.006872,0.82015,0.004054,0.10419,0.014289,0.001814,-7.2e-05,-0.005259,0.00194,0.000354,0.820212,0.004184,0.104171,0.014351,0.001876,-1e-05,-0.005129,0.00207,0.000484,0.814086,0.010358,0.105661,0.008225,-0.00425,-0.006135,0.001044,0.008243,0.006658
