dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
algebra2005,0,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,112859,92945,0.839452,0.008327,0.127922,0.831646,0.009994,0.131033,0.827474,0.015629,0.133411,0.813394,0.053947,0.142022,0.831317,0.011946,0.131284,0.017923,-0.000329,-0.008135,-0.042001,0.001952,0.003618,0.839271,0.008744,0.127944,0.025877,0.007626,-0.00018,-0.045204,-0.00125,0.000416,0.839324,0.009039,0.127982,0.02593,0.007678,-0.000128,-0.044908,-0.000955,0.000711,0.83145,0.015538,0.131358,0.018056,-0.000196,-0.008001,-0.038409,0.005544,0.007211
algebra2005,1,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,111871,92945,0.836504,0.009083,0.129179,0.827877,0.013655,0.132957,0.82352,0.019776,0.135234,0.814078,0.048824,0.141077,0.830398,0.01113,0.131487,0.016319,0.002521,-0.006107,-0.037694,-0.002525,0.002047,0.83639,0.009271,0.129208,0.022312,0.008513,-0.000115,-0.039553,-0.004384,0.000188,0.836095,0.009446,0.129365,0.022016,0.008218,-0.00041,-0.039378,-0.004209,0.000363,0.830527,0.012811,0.131577,0.016449,0.00265,-0.005977,-0.036013,-0.000844,0.003728
algebra2005,2,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,100740,92945,0.838781,0.006005,0.127906,0.831876,0.010298,0.131002,0.825598,0.02127,0.134294,0.815247,0.06492,0.1417,0.831384,0.007965,0.130672,0.016137,-0.000492,-0.007397,-0.056955,-0.002333,0.00196,0.838598,0.005319,0.12796,0.023352,0.006722,-0.000183,-0.059601,-0.00498,-0.000686,0.838456,0.005657,0.128052,0.023209,0.00658,-0.000325,-0.059263,-0.004642,-0.000348,0.83163,0.012073,0.130752,0.016384,-0.000246,-0.007151,-0.052847,0.001774,0.006068
algebra2005,3,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,94885,92945,0.839617,0.004824,0.127535,0.832396,0.011969,0.130976,0.826563,0.020265,0.134031,0.816694,0.066559,0.141712,0.831352,0.010857,0.130813,0.014658,-0.001045,-0.008265,-0.055703,-0.001113,0.006033,0.839491,0.006972,0.127611,0.022798,0.007095,-0.000125,-0.059588,-0.004998,0.002147,0.839336,0.006392,0.127788,0.022642,0.00694,-0.00028,-0.060167,-0.005577,0.001568,0.83141,0.013459,0.131143,0.014716,-0.000987,-0.008207,-0.0531,0.00149,0.008635
algebra2005,4,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,89450,92945,0.837544,0.00504,0.128704,0.830624,0.014112,0.131937,0.826365,0.018225,0.134303,0.813399,0.027323,0.139301,0.828827,0.01019,0.132414,0.015428,-0.001797,-0.008717,-0.017133,-0.003922,0.005151,0.837382,0.003959,0.128724,0.023984,0.006758,-0.000162,-0.023364,-0.010153,-0.00108,0.836909,0.004526,0.128946,0.02351,0.006285,-0.000635,-0.022797,-0.009586,-0.000513,0.828968,0.014412,0.132878,0.015569,-0.001656,-0.008576,-0.012911,0.0003,0.009373
bridge2algebra2006,0,question,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,276786,352370,0.81998,0.003223,0.10403,0.819735,0.003304,0.104387,0.814689,0.012291,0.105762,0.807972,0.008721,0.107056,0.805866,0.006476,0.107315,-0.002107,-0.01387,-0.014114,-0.002244,0.003172,0.003254,0.819852,0.002095,0.104047,0.01188,0.000117,-0.000127,-0.006625,-0.001209,-0.001127,0.819795,0.002073,0.10404,0.011822,5.9e-05,-0.000185,-0.006647,-0.001231,-0.001149,0.806076,0.009573,0.107692,-0.001897,-0.01366,-0.013904,0.000853,0.006269,0.006351
bridge2algebra2006,1,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,286535,352370,0.821856,0.004136,0.103532,0.821489,0.00363,0.103709,0.816829,0.013602,0.105225,0.806718,0.006749,0.107502,0.80658,0.006391,0.107045,-0.000138,-0.014909,-0.015276,-0.000358,0.002761,0.002255,0.821764,0.003009,0.103533,0.015046,0.000275,-9.2e-05,-0.00374,-0.000621,-0.001127,0.821748,0.003138,0.103519,0.015031,0.00026,-0.000107,-0.00361,-0.000492,-0.000998,0.806945,0.009692,0.107489,0.000228,-0.014543,-0.01491,0.002943,0.006062,0.005556
bridge2algebra2006,2,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,301562,352370,0.821136,0.005448,0.103629,0.821535,0.003645,0.103815,0.817075,0.013361,0.105042,0.807446,0.007236,0.107317,0.809391,0.006919,0.106413,0.001945,-0.012144,-0.011745,-0.000317,0.003274,0.001471,0.82104,0.003599,0.103638,0.013595,-0.000494,-9.5e-05,-0.003636,-4.6e-05,-0.001848,0.821069,0.003542,0.103614,0.013624,-0.000465,-6.6e-05,-0.003694,-0.000103,-0.001906,0.809504,0.010081,0.106743,0.002058,-0.012031,-0.011632,0.002845,0.006435,0.004633
bridge2algebra2006,3,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,307842,352370,0.819319,0.005199,0.10421,0.818379,0.004311,0.104758,0.813184,0.015552,0.106341,0.805745,0.006766,0.107702,0.805556,0.006811,0.10748,-0.000189,-0.012823,-0.013763,4.5e-05,0.0025,0.001612,0.819224,0.00478,0.104205,0.013479,0.000846,-9.4e-05,-0.001987,0.000469,-0.000419,0.819217,0.004808,0.104193,0.013471,0.000838,-0.000102,-0.001958,0.000497,-0.000391,0.80571,0.011426,0.107833,-3.5e-05,-0.012669,-0.013609,0.00466,0.007115,0.006227
bridge2algebra2006,4,question,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,282684,352370,0.820222,0.0037,0.104148,0.818336,0.002115,0.104515,0.812273,0.015749,0.10594,0.805861,0.009314,0.107894,0.805887,0.007226,0.107238,2.7e-05,-0.012448,-0.014334,-0.002088,0.005111,0.003525,0.820145,0.002913,0.104168,0.014284,0.001809,-7.7e-05,-0.006401,0.000798,-0.000787,0.820158,0.002959,0.104188,0.014297,0.001822,-6.3e-05,-0.006354,0.000845,-0.000741,0.806357,0.011681,0.10781,0.000496,-0.011979,-0.013865,0.002367,0.009566,0.007981
