dataset,fold,subset,meta_learner,models_in_subset,n_valid,n_test,stacked_auc,stacked_ece,stacked_brier,mean_auc,mean_ece,mean_brier,best_single_model,best_single_selected_on,best_single_auc,best_single_ece,best_single_brier,best_single_on_test_model,best_single_on_test_auc,lift_stacked_vs_test_best_auc,lift_stacked_vs_mean_auc,lift_stacked_vs_best_auc,lift_stacked_vs_mean_ece,lift_stacked_vs_best_ece,weight_bkt,weight_pfa,weight_pfa_recency,weight_elorasch,weight_dkt,weight_sakt,weight_akt,weight_simplekt
assist2009,1,deep,mlp_stacked,"dkt,sakt,akt,simplekt",43942,52254,0.780116,0.019617,0.177944,0.776411,0.010109,0.178574,simplekt,valid,0.760676,0.126034,0.204737,simplekt,0.760676,0.01944,0.003705,0.01944,0.009508,-0.106417,,,,,nan,nan,nan,nan
assist2009,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",44631,53148,0.740806,0.01094,0.190353,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.018534,0.195741,bkt,0.72581,0.014995,0.008069,0.014995,-0.025965,-0.007594,0.666932,-0.256249,0.314173,0.921711,,,,
assist2009,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",44631,53148,0.740804,0.010977,0.190353,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.018534,0.195741,bkt,0.72581,0.014994,0.008068,0.014994,-0.025927,-0.007557,0.666977,-0.256517,0.314275,0.92248,,,,
assist2009,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",44631,53148,0.72581,0.018534,0.195741,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.018534,0.195741,bkt,0.72581,0.0,-0.006926,0.0,-0.018371,0.0,1.0,0.0,0.0,0.0,,,,
assist2009,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",44631,53148,0.741698,0.008594,0.190013,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.018534,0.195741,bkt,0.72581,0.015888,0.008962,0.015888,-0.028311,-0.00994,nan,nan,nan,nan,,,,
assist2009,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",44631,53148,0.740584,0.007556,0.19027,0.732736,0.036905,0.195371,bkt,valid,0.72581,0.018534,0.195741,bkt,0.72581,0.014774,0.007848,0.014774,-0.029349,-0.010978,nan,nan,nan,nan,,,,
assist2009,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",43884,52254,0.775593,0.012698,0.179458,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.025647,0.186988,akt,0.760558,0.015035,0.001827,0.016489,-0.00449,-0.012949,,,,,0.352673,0.116328,0.181758,0.387126
assist2009,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",43884,52254,0.775593,0.012697,0.179458,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.025647,0.186988,akt,0.760558,0.015035,0.001827,0.016489,-0.004491,-0.01295,,,,,0.352754,0.116301,0.181705,0.387171
assist2009,2,deep,bma,"dkt,sakt,akt,simplekt",43884,52254,0.760565,0.018517,0.184417,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.025647,0.186988,akt,0.760558,8e-06,-0.0132,0.001461,0.001329,-0.00713,,,,,0.0,0.0,1.0,0.0
assist2009,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",43884,52254,0.775889,0.010952,0.178972,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.025647,0.186988,akt,0.760558,0.015331,0.002123,0.016785,-0.006236,-0.014695,,,,,nan,nan,nan,nan
assist2009,2,deep,mlp_stacked,"dkt,sakt,akt,simplekt",43884,52254,0.77642,0.00656,0.178801,0.773765,0.017188,0.179962,simplekt,valid,0.759104,0.025647,0.186988,akt,0.760558,0.015863,0.002655,0.017316,-0.010628,-0.019087,,,,,nan,nan,nan,nan
assist2009,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",50615,53148,0.741027,0.012802,0.190378,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.019525,0.195604,bkt,0.726632,0.014395,0.008459,0.014395,-0.024233,-0.006723,0.633673,-0.214237,0.331712,0.806813,,,,
assist2009,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",50615,53148,0.741027,0.012802,0.190378,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.019525,0.195604,bkt,0.726632,0.014395,0.008459,0.014395,-0.024233,-0.006723,0.633673,-0.214237,0.331712,0.806813,,,,
assist2009,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",50615,53148,0.726632,0.019525,0.195604,0.732568,0.037035,0.19541,bkt,valid,0.726632,0.019525,0.195604,bkt,0.726632,0.0,-0.005936,0.0,-0.01751,0.0,1.0,0.0,0.0,0.0,,,,
