dataset,fold,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2009,4,no_s1,simplekt,valid,61904,-1,0.849169,0.008565,0.83191,0.017259,0.0,0.086021,-0.077456,0.0,0.847161,0.002008,0.0,0.006899,0.001666,0.285,0.849372,-0.000203,0.0,0.009272,-0.000707,0.541,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2009,4,global_s1,simplekt,valid,61904,-1,0.84902,0.011272,0.83191,0.01711,0.0,0.086021,-0.074749,0.0,0.847161,0.001859,0.0,0.006899,0.004372,0.081,0.849372,-0.000352,0.009,0.009272,0.001999,0.505,0.0,True,0.0,True,0.0,True,0.486,False,0.05399999999999999,False,1.0,False
assist2009,4,no_s3,simplekt,valid,61904,-1,0.844936,0.019475,0.83191,0.013027,0.0,0.086021,-0.066546,0.0,0.847161,-0.002225,0.0,0.006899,0.012575,0.0,0.849372,-0.004436,0.0,0.009272,0.010202,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,0,full,dkt,valid,134592,-1,0.727961,0.015466,0.726964,0.000997,0.064,0.010352,0.005114,0.0,0.730553,-0.002592,0.0,0.004172,0.011294,0.0,0.728832,-0.000871,0.013,0.005966,0.0095,0.0,0.448,False,0.0,True,0.0,True,0.0,True,0.078,False,0.0,True
assist2015,0,no_s1,dkt,valid,134592,-1,0.72877,0.007531,0.726964,0.001806,0.0,0.010352,-0.002821,0.042,0.730553,-0.001783,0.0,0.004172,0.003359,0.011,0.728832,-6.2e-05,0.139,0.005966,0.001565,0.196,0.0,True,0.336,False,0.0,True,0.05499999999999999,False,0.556,False,0.8550000000000001,False
assist2015,0,global_s1,dkt,valid,134592,-1,0.728849,0.007727,0.726964,0.001886,0.0,0.010352,-0.002626,0.071,0.730553,-0.001704,0.0,0.004172,0.003554,0.007,0.728832,1.7e-05,0.862,0.005966,0.00176,0.12,0.0,True,0.49699999999999994,False,0.0,True,0.049,True,1.0,False,0.791,False
assist2015,0,no_s3,dkt,valid,134592,-1,0.728034,0.014956,0.726964,0.00107,0.043,0.010352,0.004603,0.0,0.730553,-0.002519,0.0,0.004172,0.010783,0.0,0.728832,-0.000798,0.017,0.005966,0.00899,0.0,0.344,False,0.0,True,0.0,True,0.0,True,0.085,False,0.0,True
assist2015,1,full,dkt,valid,134592,-1,0.728045,0.015657,0.726292,0.001753,0.002,0.008552,0.007104,0.0,0.730322,-0.002277,0.0,0.00414,0.011517,0.0,0.729401,-0.001356,0.0,0.006176,0.009481,0.0,0.018000000000000002,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,1,no_s1,dkt,valid,134592,-1,0.729228,0.006892,0.726292,0.002936,0.0,0.008552,-0.00166,0.205,0.730322,-0.001094,0.0,0.00414,0.002753,0.036,0.729401,-0.000173,0.001,0.006176,0.000717,0.171,0.0,True,0.82,False,0.0,True,0.10799999999999998,False,0.007,True,0.8550000000000001,False
assist2015,1,global_s1,dkt,valid,134592,-1,0.729057,0.00814,0.726292,0.002765,0.0,0.008552,-0.000412,0.464,0.730322,-0.001266,0.0,0.00414,0.004,0.014,0.729401,-0.000344,0.0,0.006176,0.001964,0.015,0.0,True,1.0,False,0.0,True,0.056,False,0.0,True,0.135,False
assist2015,1,no_s3,dkt,valid,134592,-1,0.728229,0.01494,0.726292,0.001937,0.001,0.008552,0.006387,0.0,0.730322,-0.002093,0.0,0.00414,0.0108,0.0,0.729401,-0.001171,0.0,0.006176,0.008764,0.0,0.011,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,2,full,dkt,valid,134592,-1,0.727505,0.014085,0.727098,0.000407,0.467,0.010102,0.003983,0.001,0.730918,-0.003413,0.0,0.003933,0.010152,0.0,0.729328,-0.001822,0.0,0.006369,0.007715,0.0,1.0,False,0.012,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,2,no_s1,dkt,valid,134592,-1,0.729186,0.008492,0.727098,0.002088,0.0,0.010102,-0.00161,0.146,0.730918,-0.001732,0.0,0.003933,0.004559,0.004,0.729328,-0.000142,0.0,0.006369,0.002123,0.012,0.0,True,0.73,False,0.0,True,0.032,True,0.0,True,0.12,False
assist2015,2,global_s1,dkt,valid,134592,-1,0.728975,0.007014,0.727098,0.001876,0.001,0.010102,-0.003088,0.072,0.730918,-0.001944,0.0,0.003933,0.003081,0.009,0.729328,-0.000353,0.0,0.006369,0.000645,0.044,0.011,True,0.49699999999999994,False,0.0,True,0.05399999999999999,False,0.0,True,0.352,False
assist2015,2,no_s3,dkt,valid,134592,-1,0.727715,0.013721,0.727098,0.000616,0.258,0.010102,0.00362,0.0,0.730918,-0.003203,0.0,0.003933,0.009788,0.0,0.729328,-0.001613,0.0,0.006369,0.007352,0.0,1.0,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,3,full,dkt,valid,134592,-1,0.72706,0.014117,0.726627,0.000433,0.444,0.010432,0.003685,0.0,0.730201,-0.003142,0.0,0.003706,0.010411,0.0,0.728826,-0.001767,0.0,0.005198,0.008919,0.0,1.0,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,3,no_s1,dkt,valid,134592,-1,0.728587,0.0059,0.726627,0.00196,0.0,0.010432,-0.004532,0.002,0.730201,-0.001614,0.0,0.003706,0.002195,0.189,0.728826,-0.000239,0.0,0.005198,0.000702,0.368,0.0,True,0.02,True,0.0,True,0.189,False,0.0,True,1.0,False
assist2015,3,global_s1,dkt,valid,134592,-1,0.72884,0.006961,0.726627,0.002213,0.0,0.010432,-0.00347,0.011,0.730201,-0.001361,0.0,0.003706,0.003256,0.078,0.728826,1.4e-05,0.886,0.005198,0.001764,0.113,0.0,True,0.09899999999999999,False,0.0,True,0.156,False,1.0,False,0.791,False
assist2015,3,no_s3,dkt,valid,134592,-1,0.72724,0.013207,0.726627,0.000613,0.292,0.010432,0.002775,0.001,0.730201,-0.002961,0.0,0.003706,0.009501,0.0,0.728826,-0.001586,0.0,0.005198,0.008009,0.0,1.0,False,0.012,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,4,full,dkt,valid,134592,-1,0.727019,0.016122,0.727083,-6.4e-05,0.866,0.006999,0.009124,0.0,0.730614,-0.003595,0.0,0.004721,0.011401,0.0,0.728809,-0.001791,0.0,0.007489,0.008633,0.0,1.0,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2015,4,no_s1,dkt,valid,134592,-1,0.728668,0.00829,0.727083,0.001585,0.0,0.006999,0.001292,0.472,0.730614,-0.001946,0.0,0.004721,0.003569,0.003,0.728809,-0.000141,0.0,0.007489,0.000801,0.586,0.0,True,1.0,False,0.0,True,0.027,True,0.0,True,1.0,False
assist2015,4,global_s1,dkt,valid,134592,-1,0.728737,0.008548,0.727083,0.001654,0.0,0.006999,0.001549,0.398,0.730614,-0.001877,0.0,0.004721,0.003827,0.002,0.728809,-7.2e-05,0.392,0.007489,0.001059,0.449,0.0,True,1.0,False,0.0,True,0.02,True,1.0,False,1.0,False
assist2015,4,no_s3,dkt,valid,134592,-1,0.727198,0.016015,0.727083,0.000115,0.884,0.006999,0.009016,0.0,0.730614,-0.003416,0.0,0.004721,0.011293,0.0,0.728809,-0.001611,0.0,0.007489,0.008525,0.0,1.0,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,0,full,akt,valid,177767,-1,0.768565,0.012513,0.758263,0.010302,0.0,0.015664,-0.003151,0.002,0.769958,-0.001393,0.0,0.004208,0.008305,0.0,0.770687,-0.002123,0.0,0.00478,0.007733,0.0,0.0,True,0.002,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,0,no_s1,akt,valid,177767,-1,0.770546,0.00502,0.758263,0.012282,0.0,0.015664,-0.010643,0.0,0.769958,0.000587,0.009,0.004208,0.000813,0.239,0.770687,-0.000142,0.0,0.00478,0.000241,0.908,0.0,True,0.0,True,0.072,False,1.0,False,0.0,True,1.0,False
assist2017,0,global_s1,akt,valid,177767,-1,0.770396,0.00514,0.758263,0.012133,0.0,0.015664,-0.010523,0.0,0.769958,0.000438,0.064,0.004208,0.000933,0.177,0.770687,-0.000291,0.0,0.00478,0.000361,0.774,0.0,True,0.0,True,0.384,False,1.0,False,0.0,True,1.0,False
assist2017,0,no_s3,akt,valid,177767,-1,0.768676,0.011021,0.758263,0.010413,0.0,0.015664,-0.004643,0.001,0.769958,-0.001282,0.0,0.004208,0.006813,0.0,0.770687,-0.002011,0.0,0.00478,0.006241,0.0,0.0,True,0.002,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,1,full,akt,valid,177767,-1,0.769152,0.011989,0.758171,0.010981,0.0,0.015759,-0.00377,0.0,0.770683,-0.001531,0.0,0.004297,0.007692,0.0,0.771435,-0.002284,0.0,0.005043,0.006946,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,1,no_s1,akt,valid,177767,-1,0.771315,0.005217,0.758171,0.013144,0.0,0.015759,-0.010541,0.0,0.770683,0.000632,0.005,0.004297,0.00092,0.221,0.771435,-0.000121,0.0,0.005043,0.000174,0.392,0.0,True,0.0,True,0.045,True,1.0,False,0.0,True,1.0,False
assist2017,1,global_s1,akt,valid,177767,-1,0.771347,0.00596,0.758171,0.013176,0.0,0.015759,-0.009798,0.0,0.770683,0.000665,0.002,0.004297,0.001663,0.098,0.771435,-8.8e-05,0.12,0.005043,0.000917,0.173,0.0,True,0.0,True,0.02,True,0.686,False,0.36,False,1.0,False
assist2017,1,no_s3,akt,valid,177767,-1,0.769349,0.0103,0.758171,0.011178,0.0,0.015759,-0.005458,0.0,0.770683,-0.001333,0.0,0.004297,0.006003,0.0,0.771435,-0.002086,0.0,0.005043,0.005257,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2017,2,full,akt,valid,177767,-1,0.767215,0.011925,0.757625,0.00959,0.0,0.017903,-0.005978,0.0,0.768838,-0.001623,0.0,0.006604,0.005321,0.0,0.769396,-0.00218,0.0,0.005833,0.006092,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
