dataset,fold,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
algebra2005,2,no_s1,simplekt,valid,134674,-1,0.931904,0.004797,0.922659,0.009245,0.0,0.029509,-0.024712,0.0,0.930254,0.00165,0.0,0.005551,-0.000754,0.218,0.931982,-7.8e-05,0.0,0.004561,0.000236,0.699,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
algebra2005,2,global_s1,simplekt,valid,134674,-1,0.932012,0.004834,0.922659,0.009353,0.0,0.029509,-0.024675,0.0,0.930254,0.001759,0.0,0.005551,-0.000717,0.246,0.931982,3.1e-05,0.448,0.004561,0.000274,0.506,0.0,True,0.0,True,0.0,True,1.0,False,1.0,False,1.0,False
algebra2005,2,no_s3,simplekt,valid,134674,-1,0.930791,0.006827,0.922659,0.008132,0.0,0.029509,-0.022682,0.0,0.930254,0.000538,0.025,0.005551,0.001276,0.01,0.931982,-0.00119,0.0,0.004561,0.002266,0.0,0.0,True,0.0,True,0.17500000000000002,False,0.12,False,0.0,True,0.0,True
algebra2005,3,full,simplekt,valid,134674,-1,0.929673,0.006402,0.923337,0.006336,0.0,0.029115,-0.022713,0.0,0.930304,-0.000631,0.011,0.001564,0.004838,0.0,0.932104,-0.002431,0.0,0.002634,0.003768,0.0,0.0,True,0.0,True,0.088,False,0.0,True,0.0,True,0.0,True
algebra2005,3,no_s1,simplekt,valid,134674,-1,0.932021,0.003531,0.923337,0.008684,0.0,0.029115,-0.025584,0.0,0.930304,0.001717,0.0,0.001564,0.001967,0.3,0.932104,-8.3e-05,0.0,0.002634,0.000897,0.77,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
algebra2005,3,global_s1,simplekt,valid,134674,-1,0.931946,0.003546,0.923337,0.008609,0.0,0.029115,-0.025569,0.0,0.930304,0.001642,0.0,0.001564,0.001982,0.171,0.932104,-0.000158,0.003,0.002634,0.000912,0.392,0.0,True,0.0,True,0.0,True,1.0,False,0.015,True,1.0,False
algebra2005,3,no_s3,simplekt,valid,134674,-1,0.930462,0.006215,0.923337,0.007125,0.0,0.029115,-0.022899,0.0,0.930304,0.000158,0.526,0.001564,0.004652,0.0,0.932104,-0.001642,0.0,0.002634,0.003581,0.0,0.0,True,0.0,True,1.0,False,0.0,True,0.0,True,0.0,True
algebra2005,4,full,dkt,valid,134674,-1,0.928697,0.006843,0.920485,0.008212,0.0,0.006696,0.000147,0.688,0.929469,-0.000773,0.006,0.002459,0.004384,0.0,0.931189,-0.002493,0.0,0.002393,0.004449,0.0,0.0,True,1.0,False,0.054,False,0.0,True,0.0,True,0.0,True
algebra2005,4,no_s1,dkt,valid,134674,-1,0.931094,0.004121,0.920485,0.010609,0.0,0.006696,-0.002575,0.019,0.929469,0.001625,0.0,0.002459,0.001662,0.263,0.931189,-9.5e-05,0.0,0.002393,0.001727,0.058,0.0,True,0.133,False,0.0,True,1.0,False,0.0,True,0.522,False
algebra2005,4,global_s1,dkt,valid,134674,-1,0.931004,0.003301,0.920485,0.010519,0.0,0.006696,-0.003395,0.004,0.929469,0.001535,0.0,0.002459,0.000842,0.591,0.931189,-0.000185,0.003,0.002393,0.000907,0.25,0.0,True,0.032,True,0.0,True,1.0,False,0.015,True,1.0,False
algebra2005,4,no_s3,dkt,valid,134674,-1,0.929528,0.00581,0.920485,0.009043,0.0,0.006696,-0.000886,0.731,0.929469,5.9e-05,0.819,0.002459,0.003351,0.002,0.931189,-0.001662,0.0,0.002393,0.003417,0.0,0.0,True,1.0,False,1.0,False,0.034,True,0.0,True,0.0,True
bridge2algebra2006,0,full,simplekt,valid,353631,-1,0.814148,0.011228,0.808154,0.005994,0.0,0.008748,0.00248,0.0,0.820759,-0.006612,0.0,0.003129,0.008099,0.0,0.821111,-0.006963,0.0,0.003242,0.007987,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,0,no_s1,simplekt,valid,353631,-1,0.821039,0.003777,0.808154,0.012885,0.0,0.008748,-0.004971,0.0,0.820759,0.000279,0.307,0.003129,0.000648,0.204,0.821111,-7.2e-05,0.001,0.003242,0.000535,0.166,0.0,True,0.0,True,1.0,False,0.408,False,0.007,True,0.8300000000000001,False
bridge2algebra2006,0,global_s1,simplekt,valid,353631,-1,0.820995,0.003792,0.808154,0.012842,0.0,0.008748,-0.004956,0.0,0.820759,0.000236,0.381,0.003129,0.000663,0.251,0.821111,-0.000116,0.033,0.003242,0.00055,0.314,0.0,True,0.0,True,1.0,False,0.408,False,0.165,False,1.0,False
bridge2algebra2006,0,no_s3,simplekt,valid,353631,-1,0.81433,0.010814,0.808154,0.006177,0.0,0.008748,0.002066,0.001,0.820759,-0.006429,0.0,0.003129,0.007685,0.0,0.821111,-0.006781,0.0,0.003242,0.007572,0.0,0.0,True,0.008,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,1,full,akt,valid,353631,-1,0.816433,0.011548,0.807108,0.009325,0.0,0.006646,0.004901,0.0,0.822468,-0.006036,0.0,0.003673,0.007874,0.0,0.822941,-0.006508,0.0,0.004135,0.007413,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,1,no_s1,akt,valid,353631,-1,0.822861,0.0052,0.807108,0.015753,0.0,0.006646,-0.001447,0.015,0.822468,0.000392,0.124,0.003673,0.001527,0.004,0.822941,-8e-05,0.0,0.004135,0.001065,0.0,0.0,True,0.052,False,0.62,False,0.024,True,0.0,True,0.0,True
bridge2algebra2006,1,global_s1,akt,valid,353631,-1,0.822915,0.004879,0.807108,0.015807,0.0,0.006646,-0.001767,0.01,0.822468,0.000446,0.084,0.003673,0.001206,0.004,0.822941,-2.6e-05,0.646,0.004135,0.000745,0.005,0.0,True,0.05,True,0.504,False,0.024,True,0.886,False,0.045,True
bridge2algebra2006,1,no_s3,akt,valid,353631,-1,0.81663,0.01151,0.807108,0.009522,0.0,0.006646,0.004864,0.0,0.822468,-0.005838,0.0,0.003673,0.007837,0.0,0.822941,-0.00631,0.0,0.004135,0.007375,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,2,full,akt,valid,353631,-1,0.816831,0.011409,0.807853,0.008977,0.0,0.007181,0.004228,0.0,0.822513,-0.005682,0.0,0.003611,0.007798,0.0,0.822379,-0.005549,0.0,0.005171,0.006238,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,2,no_s1,akt,valid,353631,-1,0.822261,0.005236,0.807853,0.014407,0.0,0.007181,-0.001945,0.013,0.822513,-0.000252,0.353,0.003611,0.001625,0.0,0.822379,-0.000119,0.0,0.005171,6.5e-05,0.288,0.0,True,0.052,False,1.0,False,0.0,True,0.0,True,1.0,False
bridge2algebra2006,2,global_s1,akt,valid,353631,-1,0.822473,0.005316,0.807853,0.014619,0.0,0.007181,-0.001865,0.005,0.822513,-4e-05,0.877,0.003611,0.001705,0.007,0.822379,9.3e-05,0.108,0.005171,0.000145,0.833,0.0,True,0.03,True,1.0,False,0.028,True,0.432,False,1.0,False
bridge2algebra2006,2,no_s3,akt,valid,353631,-1,0.816947,0.010686,0.807853,0.009093,0.0,0.007181,0.003505,0.0,0.822513,-0.005566,0.0,0.003611,0.007075,0.0,0.822379,-0.005433,0.0,0.005171,0.005515,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,3,full,akt,valid,353631,-1,0.813851,0.012362,0.806142,0.007708,0.0,0.006656,0.005706,0.0,0.819399,-0.005548,0.0,0.004295,0.008067,0.0,0.820311,-0.006461,0.0,0.005135,0.007227,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,3,no_s1,akt,valid,353631,-1,0.820208,0.005962,0.806142,0.014065,0.0,0.006656,-0.000694,0.076,0.819399,0.000809,0.005,0.004295,0.001666,0.0,0.820311,-0.000104,0.0,0.005135,0.000827,0.046,0.0,True,0.152,False,0.035,True,0.0,True,0.0,True,0.322,False
bridge2algebra2006,3,global_s1,akt,valid,353631,-1,0.820236,0.006068,0.806142,0.014094,0.0,0.006656,-0.000588,0.136,0.819399,0.000837,0.003,0.004295,0.001773,0.0,0.820311,-7.5e-05,0.175,0.005135,0.000933,0.032,0.0,True,0.152,False,0.024,True,0.0,True,0.5249999999999999,False,0.256,False
bridge2algebra2006,3,no_s3,akt,valid,353631,-1,0.813979,0.01132,0.806142,0.007837,0.0,0.006656,0.004664,0.0,0.819399,-0.00542,0.0,0.004295,0.007025,0.0,0.820311,-0.006332,0.0,0.005135,0.006185,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,4,full,akt,valid,353631,-1,0.815023,0.010565,0.806228,0.008795,0.0,0.009248,0.001317,0.0,0.819331,-0.004309,0.0,0.0021,0.008464,0.0,0.821331,-0.006308,0.0,0.003642,0.006923,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
bridge2algebra2006,4,no_s1,akt,valid,353631,-1,0.821268,0.003837,0.806228,0.01504,0.0,0.009248,-0.005411,0.0,0.819331,0.001937,0.0,0.0021,0.001737,0.008,0.821331,-6.3e-05,0.003,0.003642,0.000195,0.312,0.0,True,0.0,True,0.0,True,0.028,True,0.018000000000000002,True,1.0,False
bridge2algebra2006,4,global_s1,akt,valid,353631,-1,0.821293,0.004244,0.806228,0.015065,0.0,0.009248,-0.005004,0.0,0.819331,0.001962,0.0,0.0021,0.002144,0.001,0.821331,-3.8e-05,0.443,0.003642,0.000602,0.065,0.0,True,0.0,True,0.0,True,0.007,True,0.886,False,0.39,False
bridge2algebra2006,4,no_s3,akt,valid,353631,-1,0.81519,0.010508,0.806228,0.008962,0.0,0.009248,0.00126,0.001,0.819331,-0.004142,0.0,0.0021,0.008408,0.0,0.821331,-0.006141,0.0,0.003642,0.006866,0.0,0.0,True,0.008,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,0,full,akt,valid,536087,-1,0.777309,0.005802,0.772909,0.004401,0.0,0.014972,-0.00917,0.0,0.777844,-0.000534,0.0,0.002034,0.003768,0.0,0.778567,-0.001258,0.0,0.001786,0.004016,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,0,no_s1,akt,valid,536087,-1,0.778508,0.002214,0.772909,0.0056,0.0,0.014972,-0.012758,0.0,0.777844,0.000665,0.0,0.002034,0.00018,0.94,0.778567,-5.9e-05,0.0,0.001786,0.000428,0.64,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2012,0,global_s1,akt,valid,536087,-1,0.778455,0.0019,0.772909,0.005546,0.0,0.014972,-0.013071,0.0,0.777844,0.000611,0.0,0.002034,-0.000133,0.695,0.778567,-0.000112,0.0,0.001786,0.000114,0.981,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2012,0,no_s3,akt,valid,536087,-1,0.777397,0.006202,0.772909,0.004489,0.0,0.014972,-0.00877,0.0,0.777844,-0.000446,0.007,0.002034,0.004168,0.0,0.778567,-0.00117,0.0,0.001786,0.004416,0.0,0.0,True,0.0,True,0.007,True,0.0,True,0.0,True,0.0,True
assist2012,1,full,akt,valid,536087,-1,0.777452,0.007038,0.772772,0.00468,0.0,0.014931,-0.007893,0.0,0.778036,-0.000583,0.0,0.002072,0.004967,0.0,0.778928,-0.001476,0.0,0.003211,0.003827,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,1,no_s1,akt,valid,536087,-1,0.77884,0.003913,0.772772,0.006067,0.0,0.014931,-0.011018,0.0,0.778036,0.000804,0.0,0.002072,0.001842,0.007,0.778928,-8.9e-05,0.0,0.003211,0.000702,0.191,0.0,True,0.0,True,0.0,True,0.07,False,0.0,True,1.0,False
assist2012,1,global_s1,akt,valid,536087,-1,0.778834,0.003735,0.772772,0.006061,0.0,0.014931,-0.011196,0.0,0.778036,0.000798,0.0,0.002072,0.001664,0.014,0.778928,-9.5e-05,0.0,0.003211,0.000524,0.28,0.0,True,0.0,True,0.0,True,0.126,False,0.0,True,1.0,False
assist2012,1,no_s3,akt,valid,536087,-1,0.77754,0.007784,0.772772,0.004768,0.0,0.014931,-0.007147,0.0,0.778036,-0.000496,0.0,0.002072,0.005712,0.0,0.778928,-0.001388,0.0,0.003211,0.004572,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,2,full,akt,valid,536087,-1,0.777008,0.006925,0.771734,0.005274,0.0,0.014765,-0.007841,0.0,0.777755,-0.000746,0.0,0.001817,0.005107,0.0,0.778502,-0.001494,0.0,0.002753,0.004172,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,2,no_s1,akt,valid,536087,-1,0.778439,0.002448,0.771734,0.006705,0.0,0.014765,-0.012318,0.0,0.777755,0.000685,0.0,0.001817,0.00063,0.719,0.778502,-6.3e-05,0.0,0.002753,-0.000305,0.728,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2012,2,global_s1,akt,valid,536087,-1,0.778425,0.002735,0.771734,0.006691,0.0,0.014765,-0.012031,0.0,0.777755,0.000671,0.0,0.001817,0.000917,0.454,0.778502,-7.7e-05,0.0,0.002753,-1.9e-05,0.855,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2012,2,no_s3,akt,valid,536087,-1,0.777065,0.007136,0.771734,0.005331,0.0,0.014765,-0.00763,0.0,0.777755,-0.000689,0.0,0.001817,0.005318,0.0,0.778502,-0.001437,0.0,0.002753,0.004382,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,3,full,akt,valid,536087,-1,0.777264,0.007866,0.771509,0.005755,0.0,0.01414,-0.006275,0.0,0.777817,-0.000553,0.0,0.001637,0.006228,0.0,0.778609,-0.001345,0.0,0.002627,0.005239,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,3,no_s1,akt,valid,536087,-1,0.778536,0.003067,0.771509,0.007027,0.0,0.01414,-0.011074,0.0,0.777817,0.000719,0.0,0.001637,0.001429,0.073,0.778609,-7.3e-05,0.0,0.002627,0.00044,0.417,0.0,True,0.0,True,0.0,True,0.511,False,0.0,True,1.0,False
assist2012,3,global_s1,akt,valid,536087,-1,0.778491,0.003158,0.771509,0.006982,0.0,0.01414,-0.010982,0.0,0.777817,0.000674,0.0,0.001637,0.001521,0.058,0.778609,-0.000118,0.0,0.002627,0.000532,0.336,0.0,True,0.0,True,0.0,True,0.464,False,0.0,True,1.0,False
assist2012,3,no_s3,akt,valid,536087,-1,0.777328,0.0083,0.771509,0.005819,0.0,0.01414,-0.005841,0.0,0.777817,-0.000489,0.0,0.001637,0.006662,0.0,0.778609,-0.001281,0.0,0.002627,0.005673,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,4,full,akt,valid,536087,-1,0.77727,0.007111,0.772492,0.004778,0.0,0.012622,-0.00551,0.0,0.778014,-0.000744,0.0,0.002029,0.005082,0.0,0.778707,-0.001436,0.0,0.002455,0.004657,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,4,no_s1,akt,valid,536087,-1,0.778635,0.002611,0.772492,0.006142,0.0,0.012622,-0.010011,0.0,0.778014,0.000621,0.0,0.002029,0.000582,0.317,0.778707,-7.2e-05,0.0,0.002455,0.000156,0.485,0.0,True,0.0,True,0.0,True,1.0,False,0.0,True,1.0,False
assist2012,4,global_s1,akt,valid,536087,-1,0.77871,0.002964,0.772492,0.006218,0.0,0.012622,-0.009658,0.0,0.778014,0.000696,0.0,0.002029,0.000935,0.278,0.778707,4e-06,0.859,0.002455,0.000509,0.435,0.0,True,0.0,True,0.0,True,1.0,False,0.859,False,1.0,False
assist2012,4,no_s3,akt,valid,536087,-1,0.777368,0.007107,0.772492,0.004875,0.0,0.012622,-0.005514,0.0,0.778014,-0.000646,0.0,0.002029,0.005079,0.0,0.778707,-0.001339,0.0,0.002455,0.004653,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,0,full,simplekt,valid,301372,-1,0.936588,0.012479,0.940611,-0.004022,0.0,0.02186,-0.009382,0.0,0.94067,-0.004082,0.0,0.006068,0.006411,0.0,0.940415,-0.003827,0.0,0.004495,0.007983,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,0,no_s1,simplekt,valid,301372,-1,0.940372,0.004779,0.940611,-0.000238,0.044,0.02186,-0.017081,0.0,0.94067,-0.000298,0.005,0.006068,-0.001289,0.072,0.940415,-4.3e-05,0.0,0.004495,0.000284,0.936,0.352,False,0.0,True,0.04,True,0.34500000000000003,False,0.0,True,1.0,False
ednet,0,global_s1,simplekt,valid,301372,-1,0.940592,0.00476,0.940611,-1.9e-05,0.849,0.02186,-0.017101,0.0,0.94067,-7.8e-05,0.491,0.006068,-0.001308,0.141,0.940415,0.000177,0.0,0.004495,0.000264,0.66,1.0,False,0.0,True,0.792,False,0.42299999999999993,False,0.0,True,1.0,False
ednet,0,no_s3,simplekt,valid,301372,-1,0.937593,0.011826,0.940611,-0.003018,0.0,0.02186,-0.010034,0.0,0.94067,-0.003077,0.0,0.006068,0.005758,0.0,0.940415,-0.002822,0.0,0.004495,0.007331,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,1,full,simplekt,valid,301372,-1,0.938436,0.011049,0.941215,-0.002779,0.0,0.013728,-0.002679,0.0,0.941491,-0.003055,0.0,0.009105,0.001944,0.0,0.941373,-0.002937,0.0,0.007975,0.003074,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,1,no_s1,simplekt,valid,301372,-1,0.94132,0.006817,0.941215,0.000105,0.348,0.013728,-0.006911,0.0,0.941491,-0.000171,0.09,0.009105,-0.002288,0.0,0.941373,-5.3e-05,0.0,0.007975,-0.001158,0.0,1.0,False,0.0,True,0.63,False,0.0,True,0.0,True,0.0,True
ednet,1,global_s1,simplekt,valid,301372,-1,0.941399,0.006923,0.941215,0.000185,0.1,0.013728,-0.006805,0.0,0.941491,-9.2e-05,0.374,0.009105,-0.002182,0.0,0.941373,2.7e-05,0.418,0.007975,-0.001052,0.0,0.5,False,0.0,True,0.792,False,0.0,True,0.488,False,0.0,True
ednet,1,no_s3,simplekt,valid,301372,-1,0.939344,0.00987,0.941215,-0.001871,0.0,0.013728,-0.003858,0.0,0.941491,-0.002148,0.0,0.009105,0.000765,0.069,0.941373,-0.002029,0.0,0.007975,0.001895,0.0,0.0,True,0.0,True,0.0,True,0.34500000000000003,False,0.0,True,0.0,True
ednet,2,full,simplekt,valid,301372,-1,0.936187,0.012297,0.940673,-0.004486,0.0,0.020558,-0.008261,0.0,0.940307,-0.004121,0.0,0.006546,0.005751,0.0,0.93995,-0.003763,0.0,0.003946,0.008351,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,2,no_s1,simplekt,valid,301372,-1,0.939906,0.004516,0.940673,-0.000767,0.0,0.020558,-0.016042,0.0,0.940307,-0.000402,0.001,0.006546,-0.002031,0.015,0.93995,-4.4e-05,0.0,0.003946,0.00057,0.679,0.0,True,0.0,True,0.009000000000000001,True,0.105,False,0.0,True,1.0,False
ednet,2,global_s1,simplekt,valid,301372,-1,0.94049,0.004469,0.940673,-0.000183,0.176,0.020558,-0.016089,0.0,0.940307,0.000182,0.128,0.006546,-0.002078,0.016,0.93995,0.00054,0.0,0.003946,0.000523,0.614,0.704,False,0.0,True,0.714,False,0.105,False,0.0,True,1.0,False
ednet,2,no_s3,simplekt,valid,301372,-1,0.937279,0.011246,0.940673,-0.003394,0.0,0.020558,-0.009312,0.0,0.940307,-0.003029,0.0,0.006546,0.0047,0.0,0.93995,-0.002671,0.0,0.003946,0.0073,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,3,full,simplekt,valid,301372,-1,0.937661,0.011425,0.940562,-0.0029,0.0,0.019548,-0.008123,0.0,0.940179,-0.002517,0.0,0.010599,0.000826,0.201,0.940029,-0.002368,0.0,0.007881,0.003544,0.0,0.0,True,0.0,True,0.0,True,0.42299999999999993,False,0.0,True,0.0,True
ednet,3,no_s1,simplekt,valid,301372,-1,0.93999,0.005181,0.940562,-0.000572,0.0,0.019548,-0.014367,0.0,0.940179,-0.000189,0.119,0.010599,-0.005417,0.0,0.940029,-3.9e-05,0.001,0.007881,-0.0027,0.0,0.0,True,0.0,True,0.714,False,0.0,True,0.003,True,0.0,True
ednet,3,global_s1,simplekt,valid,301372,-1,0.940581,0.005377,0.940562,1.9e-05,0.872,0.019548,-0.014172,0.0,0.940179,0.000402,0.0,0.010599,-0.005222,0.0,0.940029,0.000552,0.0,0.007881,-0.002505,0.0,1.0,False,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,3,no_s3,simplekt,valid,301372,-1,0.938599,0.010072,0.940562,-0.001963,0.0,0.019548,-0.009476,0.0,0.940179,-0.00158,0.0,0.010599,-0.000527,0.437,0.940029,-0.001431,0.0,0.007881,0.002191,0.0,0.0,True,0.0,True,0.0,True,0.437,False,0.0,True,0.0,True
ednet,4,full,simplekt,valid,301372,-1,0.937938,0.009923,0.940598,-0.00266,0.0,0.021363,-0.01144,0.0,0.940694,-0.002756,0.0,0.002106,0.007816,0.0,0.940855,-0.002918,0.0,0.002913,0.00701,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
ednet,4,no_s1,simplekt,valid,301372,-1,0.94082,0.003584,0.940598,0.000223,0.055,0.021363,-0.017779,0.0,0.940694,0.000126,0.205,0.002106,0.001478,0.004,0.940855,-3.5e-05,0.0,0.002913,0.000671,0.036,0.385,False,0.0,True,0.792,False,0.036000000000000004,True,0.0,True,0.21599999999999997,False
ednet,4,global_s1,simplekt,valid,301372,-1,0.940823,0.003876,0.940598,0.000225,0.059,0.021363,-0.017487,0.0,0.940694,0.000129,0.198,0.002106,0.00177,0.009,0.940855,-3.2e-05,0.244,0.002913,0.000963,0.051,0.385,False,0.0,True,0.792,False,0.072,False,0.488,False,0.255,False
ednet,4,no_s3,simplekt,valid,301372,-1,0.938314,0.009734,0.940598,-0.002284,0.0,0.021363,-0.011629,0.0,0.940694,-0.00238,0.0,0.002106,0.007627,0.0,0.940855,-0.002541,0.0,0.002913,0.006821,0.0,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True
