dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2017,0,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,0.770687,0.00478,0.183694,0.769958,0.004208,0.18388,0.76334,0.038864,0.188194,0.758263,0.015664,0.188321,0.763656,0.007332,0.18624,0.005393,-0.006302,-0.007031,-0.008332,0.003124,0.002552,0.770589,0.003822,0.18374,0.012326,0.000631,-9.8e-05,-0.011842,-0.000386,-0.000957,0.770348,0.00406,0.183827,0.012084,0.000389,-0.00034,-0.011604,-0.000148,-0.00072,0.763794,0.020853,0.18687,0.005531,-0.006164,-0.006893,0.005189,0.016645,0.016073
assist2017,1,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,0.771435,0.005043,0.183412,0.770683,0.004297,0.183613,0.763435,0.037727,0.188127,0.758171,0.015759,0.188319,0.764496,0.0074,0.186018,0.006324,-0.006187,-0.00694,-0.008359,0.003103,0.002357,0.771263,0.004931,0.18347,0.013092,0.000581,-0.000172,-0.010827,0.000634,-0.000112,0.771232,0.004694,0.183493,0.013061,0.000549,-0.000203,-0.011065,0.000397,-0.000349,0.764724,0.023317,0.186771,0.006553,-0.005958,-0.006711,0.007558,0.01902,0.018274
assist2017,2,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,0.769396,0.005833,0.184158,0.768838,0.006604,0.184331,0.76173,0.043908,0.189212,0.757625,0.017903,0.18869,0.762652,0.008281,0.186645,0.005027,-0.006186,-0.006743,-0.009622,0.001677,0.002448,0.769282,0.004909,0.184195,0.011657,0.000444,-0.000113,-0.012994,-0.001695,-0.000924,0.769158,0.004867,0.184229,0.011532,0.000319,-0.000238,-0.013035,-0.001736,-0.000965,0.762817,0.021864,0.187323,0.005191,-0.006021,-0.006579,0.003961,0.015261,0.016031
assist2017,3,concept,5,student,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,0.769895,0.00436,0.183863,0.769464,0.004129,0.184,0.763362,0.045767,0.188935,0.758611,0.017114,0.188194,0.763861,0.007397,0.186217,0.00525,-0.005603,-0.006034,-0.009717,0.003268,0.003037,0.769586,0.004526,0.183961,0.010976,0.000122,-0.000308,-0.012588,0.000397,0.000166,0.769679,0.004914,0.183989,0.011068,0.000215,-0.000215,-0.0122,0.000785,0.000554,0.763964,0.017931,0.186723,0.005354,-0.005499,-0.00593,0.000818,0.013802,0.013571
assist2017,4,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,0.772146,0.006403,0.183178,0.772106,0.007563,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188883,0.765392,0.008588,0.185713,0.007804,-0.006714,-0.006754,-0.02157,0.001026,0.002185,0.772091,0.004302,0.183204,0.014503,-1.4e-05,-5.5e-05,-0.025857,-0.003261,-0.002101,0.772073,0.004971,0.183192,0.014485,-3.2e-05,-7.3e-05,-0.025187,-0.002591,-0.001432,0.765544,0.02174,0.186369,0.007956,-0.006562,-0.006602,-0.008418,0.014178,0.015338
algebra2005,0,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,164550,134674,0.931894,0.005848,0.087731,0.930244,0.006775,0.088723,0.92735,0.012641,0.09073,0.92167,0.023673,0.09472,0.928359,0.008893,0.089836,0.006689,-0.001885,-0.003535,-0.01478,0.002118,0.003046,0.931849,0.005952,0.087768,0.010179,0.001605,-4.4e-05,-0.017721,-0.000823,0.000104,0.931845,0.006157,0.087746,0.010175,0.001601,-4.9e-05,-0.017516,-0.000618,0.00031,0.928426,0.01061,0.089811,0.006756,-0.001818,-0.003468,-0.013063,0.003835,0.004762
algebra2005,1,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,simplekt,163830,134674,0.930502,0.006174,0.088757,0.928356,0.006756,0.090061,0.925269,0.01372,0.092153,0.919094,0.006517,0.094264,0.927973,0.008549,0.090129,0.008879,-0.000383,-0.002529,0.002032,0.001793,0.002374,0.930461,0.005466,0.088753,0.011367,0.002105,-4.1e-05,-0.001051,-0.001289,-0.000708,0.930421,0.005624,0.088808,0.011327,0.002065,-8.1e-05,-0.000893,-0.001132,-0.000551,0.928019,0.007241,0.090092,0.008925,-0.000337,-0.002484,0.000724,0.000485,0.001067
algebra2005,2,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,146472,134674,0.931982,0.004561,0.087472,0.930254,0.005551,0.088618,0.926624,0.015585,0.091357,0.922659,0.029509,0.094508,0.928524,0.005514,0.089544,0.005865,-0.001729,-0.003457,-0.023996,-3.8e-05,0.000953,0.931914,0.004652,0.087506,0.009255,0.00166,-6.8e-05,-0.024857,-0.0009,9.1e-05,0.931923,0.004511,0.087468,0.009264,0.001669,-5.9e-05,-0.024998,-0.001041,-5e-05,0.92859,0.007719,0.089532,0.005931,-0.001664,-0.003392,-0.02179,0.002168,0.003158
algebra2005,3,concept,5,student,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,139259,134674,0.932104,0.002634,0.087274,0.930304,0.001564,0.088465,0.92682,0.012038,0.090827,0.923337,0.029115,0.09361,0.928339,0.005943,0.089441,0.005002,-0.001965,-0.003765,-0.023172,0.004379,0.003309,0.932016,0.003575,0.087298,0.008679,0.001712,-8.8e-05,-0.025539,0.002012,0.000941,0.931949,0.003606,0.087335,0.008612,0.001645,-0.000154,-0.025509,0.002042,0.000972,0.928401,0.009296,0.089476,0.005064,-0.001903,-0.003703,-0.019819,0.007732,0.006662
algebra2005,4,concept,5,student,"dkt,sakt,akt,simplekt",dkt,valid,simplekt,130601,134674,0.931189,0.002393,0.088172,0.929469,0.002459,0.089255,0.926522,0.01037,0.09107,0.920485,0.006696,0.093475,0.927836,0.005042,0.090169,0.007351,-0.001633,-0.003353,-0.001655,0.002583,0.002648,0.931065,0.003449,0.088283,0.01058,0.001596,-0.000124,-0.003247,0.00099,0.001055,0.930864,0.003228,0.088349,0.010379,0.001395,-0.000325,-0.003468,0.000769,0.000835,0.927872,0.008501,0.090211,0.007387,-0.001597,-0.003317,0.001805,0.006042,0.006108
