dataset,subset,aggregator,n_folds,mean_delta_auc,std_delta_auc,min_auc_p,n_folds_sig_auc_05,mean_delta_ece,std_delta_ece,min_ece_p,n_folds_sig_ece_05
assist2012,deep,arithmetic_mean,5,-0.000855,0.000401,0.0,4,0.010249,0.000754,0.0,5
assist2012,deep,geometric_mean,5,-0.000852,0.000415,0.0,4,0.00737,0.001244,0.0,5
assist2012,deep,logit_mean,5,0.000102,0.000426,0.008,1,0.005998,0.001447,0.0,5
assist2012,deep,rank_mean,5,-0.004508,0.000421,0.0,5,nan,nan,nan,0
assist2012,deep,median,5,-0.001666,0.000419,0.0,5,0.005711,0.000749,0.0,5
ednet,classical,arithmetic_mean,5,0.00122,0.005769,0.0,1,-0.021591,0.013353,0.0,4
ednet,classical,geometric_mean,5,0.001909,0.005751,0.0,1,-0.024726,0.01288,0.0,4
ednet,classical,logit_mean,5,4.4e-05,0.005846,0.0,1,-0.011349,0.013667,0.001,5
ednet,classical,rank_mean,5,0.004039,0.005758,0.0,1,nan,nan,nan,0
ednet,classical,median,5,-0.00058,0.005476,0.0,1,-0.021424,0.013826,0.0,4
ednet,deep,arithmetic_mean,5,-0.024912,0.001553,0.0,5,-0.056597,0.005749,0.0,5
ednet,deep,geometric_mean,5,-0.024758,0.001762,0.0,5,-0.053315,0.007092,0.0,5
ednet,deep,logit_mean,5,-0.020508,0.001555,0.0,5,-0.047674,0.005046,0.0,5
ednet,deep,rank_mean,5,-0.027412,0.001366,0.0,5,nan,nan,nan,0
ednet,deep,median,5,-0.033883,0.001462,0.0,5,-0.051833,0.005866,0.0,5
