dataset,fold,subset,aggregator,models_in_subset,best_single_model,best_single_selected_on,n_rows,n_students,ensemble_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,ensemble_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.773278,0.759104,0.014174,0.011004,0.017226,0.001,0.009934,0.025647,-0.015713,-0.023239,-0.004922,0.003998,0.025,True,0.035982,True
assist2009,2,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.7736,0.759104,0.014496,0.011251,0.017648,0.001,0.01749,0.025647,-0.008158,-0.018344,0.001392,0.101949,0.025,True,0.713643,False
assist2009,2,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.772783,0.759104,0.013679,0.010104,0.017126,0.001,,,,,,,0.025,True,0.731634,False
assist2009,2,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.770454,0.759104,0.01135,0.007528,0.015008,0.001,0.015548,0.025647,-0.0101,-0.019941,-0.000489,0.036982,0.025,True,0.295856,False
assist2009,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.732568,0.726632,0.005936,0.003293,0.008121,0.001,0.037035,0.019525,0.01751,0.008209,0.023133,0.001,0.025,True,0.025,True
assist2009,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.732632,0.726632,0.006,0.003273,0.008262,0.001,0.034476,0.019525,0.014952,0.005273,0.021108,0.004998,0.025,True,0.09996,False
assist2009,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.731687,0.726632,0.005055,0.002494,0.007214,0.001,0.031097,0.019525,0.011572,0.002806,0.017812,0.010995,0.025,True,0.17592,False
assist2009,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.734348,0.726632,0.007716,0.004935,0.010148,0.001,,,,,,,0.025,True,1.0,False
assist2009,3,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.728476,0.726632,0.001844,-0.000736,0.004078,0.155922,0.027592,0.019525,0.008067,-0.000792,0.014008,0.074963,0.16492,False,0.674667,False
assist2009,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.777574,0.767424,0.010151,0.006683,0.013582,0.001,0.017262,0.057253,-0.039991,-0.047476,-0.030605,0.001,0.025,True,0.025,True
assist2009,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.777264,0.767424,0.009841,0.006512,0.013201,0.001,0.009127,0.057253,-0.048126,-0.053051,-0.039325,0.001,0.025,True,0.025,True
assist2009,3,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.778727,0.767424,0.011303,0.008039,0.014568,0.001,0.021725,0.057253,-0.035528,-0.041817,-0.027683,0.001,0.025,True,0.025,True
assist2009,3,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.775525,0.767424,0.008101,0.004021,0.011892,0.001,,,,,,,0.025,True,0.731634,False
assist2009,3,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.772422,0.767424,0.004998,0.000627,0.009217,0.023988,0.018342,0.057253,-0.038911,-0.04577,-0.031521,0.001,0.047976,True,0.025,True
assist2009,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.73249,0.725994,0.006496,0.003794,0.00882,0.001,0.037019,0.020951,0.016069,0.006568,0.022891,0.003998,0.025,True,0.08395799999999999,False
assist2009,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.732532,0.725994,0.006538,0.003701,0.008975,0.001,0.034683,0.020951,0.013733,0.003688,0.020939,0.011994,0.025,True,0.17592,False
assist2009,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.731646,0.725994,0.005652,0.003026,0.007959,0.001,0.032197,0.020951,0.011247,0.001314,0.017921,0.021989,0.025,True,0.263868,False
assist2009,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.734187,0.725994,0.008193,0.005294,0.010709,0.001,,,,,,,0.025,True,1.0,False
assist2009,4,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,53148,770,0.728444,0.725994,0.00245,-0.000208,0.004763,0.069965,0.027115,0.020951,0.006164,-0.001873,0.013878,0.134933,0.16492,False,0.944531,False
assist2009,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.776597,0.766135,0.010462,0.006278,0.014513,0.001,0.029325,0.111292,-0.081967,-0.088155,-0.076225,0.001,0.025,True,0.025,True
assist2009,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,52254,770,0.775475,0.766135,0.00934,0.005086,0.013431,0.001,0.020998,0.111292,-0.090294,-0.094229,-0.086548,0.001,0.025,True,0.025,True
