dataset,fold,subset,aggregator,models_in_subset,best_single_model,best_single_selected_on,n_rows,n_students,ensemble_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,ensemble_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2017,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.763435,0.758171,0.005263,0.003928,0.006668,0.001,0.037705,0.01577,0.021935,0.017094,0.02658,0.001,0.025,True,0.025,True
assist2017,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.764007,0.758171,0.005836,0.004511,0.007214,0.001,0.035107,0.01577,0.019337,0.014403,0.024061,0.001,0.025,True,0.025,True
assist2017,1,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.764811,0.758171,0.00664,0.005322,0.00804,0.001,0.029354,0.01577,0.013584,0.008608,0.01824,0.001,0.025,True,0.025,True
assist2017,1,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.756677,0.758171,-0.001494,-0.002942,-2.2e-05,0.049975,,,,,,,0.09995,False,0.888559,False
assist2017,1,deep,median,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.761886,0.758171,0.003715,0.002436,0.005016,0.001,0.029094,0.01577,0.013324,0.008653,0.017826,0.001,0.025,True,0.025,True
assist2017,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647387,0.639874,0.007514,0.004004,0.011342,0.001999,0.029284,0.027428,0.001855,-0.000814,0.004771,0.165917,0.049975,True,1.0,False
assist2017,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.646727,0.639874,0.006853,0.003306,0.01069,0.001999,0.027971,0.027428,0.000542,-0.002176,0.003495,0.661669,0.049975,True,1.0,False
assist2017,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647188,0.639874,0.007315,0.003792,0.011137,0.001999,0.028017,0.027428,0.000589,-0.002101,0.003394,0.627686,0.049975,True,1.0,False
assist2017,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.645551,0.639874,0.005677,0.00211,0.009509,0.004998,,,,,,,0.049975,True,1.0,False
assist2017,2,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.640679,0.639874,0.000805,-0.003127,0.005111,0.681659,0.022317,0.027428,-0.005112,-0.007609,-0.001537,0.005997,1.0,False,0.125937,False
assist2017,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.76173,0.757625,0.004104,0.002978,0.005318,0.001,0.043886,0.017892,0.025994,0.021241,0.030081,0.001,0.025,True,0.025,True
assist2017,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.762638,0.757625,0.005013,0.003907,0.006223,0.001,0.042311,0.017892,0.02442,0.019336,0.028853,0.001,0.025,True,0.025,True
assist2017,2,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.76315,0.757625,0.005525,0.004424,0.006715,0.001,0.037418,0.017892,0.019527,0.014604,0.02365,0.001,0.025,True,0.025,True
assist2017,2,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.75548,0.757625,-0.002146,-0.003425,-0.000792,0.004998,,,,,,,0.025,True,0.888559,False
assist2017,2,deep,median,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.760017,0.757625,0.002392,0.001237,0.003601,0.001,0.035738,0.017892,0.017847,0.012923,0.021816,0.001,0.025,True,0.025,True
assist2017,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647484,0.640106,0.007378,0.00386,0.01118,0.001999,0.029463,0.028215,0.001248,-0.001672,0.003698,0.444778,0.049975,True,1.0,False
assist2017,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.646919,0.640106,0.006813,0.003268,0.010623,0.001999,0.02773,0.028215,-0.000485,-0.003162,0.002325,0.690655,0.049975,True,1.0,False
assist2017,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647318,0.640106,0.007212,0.003673,0.011031,0.001999,0.028057,0.028215,-0.000158,-0.003009,0.002385,0.781609,0.049975,True,1.0,False
assist2017,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.645891,0.640106,0.005785,0.002276,0.009479,0.003998,,,,,,,0.049975,True,1.0,False
assist2017,3,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.641105,0.640106,0.000999,-0.002912,0.005183,0.610695,0.022928,0.028215,-0.005286,-0.008146,-0.002599,0.001,1.0,False,0.025,True
assist2017,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.763362,0.758611,0.004751,0.00363,0.005914,0.001,0.045767,0.017125,0.028641,0.023615,0.032692,0.001,0.025,True,0.025,True
assist2017,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.763462,0.758611,0.004851,0.003736,0.00601,0.001,0.042556,0.017125,0.025431,0.020293,0.029833,0.001,0.025,True,0.025,True
assist2017,3,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.76429,0.758611,0.005679,0.00458,0.006816,0.001,0.037958,0.017125,0.020833,0.015876,0.024993,0.001,0.025,True,0.025,True
assist2017,3,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.757081,0.758611,-0.00153,-0.002895,-0.000192,0.026987,,,,,,,0.080961,False,0.888559,False
assist2017,3,deep,median,"dkt,sakt,akt,simplekt",akt,valid,177767,341,0.762087,0.758611,0.003476,0.0023,0.004621,0.001,0.037145,0.017125,0.02002,0.015344,0.024339,0.001,0.025,True,0.025,True
assist2017,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647439,0.640697,0.006742,0.003263,0.010425,0.001999,0.029344,0.028382,0.000961,-0.002108,0.003165,0.706647,0.049975,True,1.0,False
assist2017,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.646825,0.640697,0.006128,0.00262,0.009819,0.003998,0.027456,0.028382,-0.000927,-0.003478,0.001881,0.525737,0.049975,True,1.0,False
assist2017,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.647257,0.640697,0.00656,0.003072,0.010246,0.001999,0.027806,0.028382,-0.000577,-0.003345,0.001964,0.567716,0.049975,True,1.0,False
assist2017,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.645684,0.640697,0.004987,0.001473,0.008694,0.005997,,,,,,,0.049975,True,1.0,False
assist2017,4,classical,median,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,178823,341,0.640993,0.640697,0.000295,-0.003652,0.004479,0.867566,0.022391,0.028382,-0.005992,-0.008826,-0.0033,0.001,1.0,False,0.025,True
assist2017,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,177767,341,0.765056,0.757588,0.007468,0.005763,0.00917,0.001,0.043458,0.030158,0.013299,0.008272,0.017997,0.001,0.025,True,0.025,True
assist2017,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,177767,341,0.765438,0.757588,0.00785,0.006134,0.009513,0.001,0.039175,0.030158,0.009017,0.004021,0.013907,0.001999,0.025,True,0.025,True
assist2017,4,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,177767,341,0.766356,0.757588,0.008768,0.007092,0.010448,0.001,0.033957,0.030158,0.003799,-0.001093,0.008525,0.126937,0.025,True,0.888559,False
assist2017,4,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,177767,341,0.757464,0.757588,-0.000124,-0.001892,0.001625,0.903548,,,,,,,0.903548,False,0.888559,False
assist2017,4,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,177767,341,0.763481,0.757588,0.005893,0.004158,0.007612,0.001,0.033589,0.030158,0.003431,-0.001161,0.008084,0.145927,0.025,True,0.888559,False
algebra2005,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.755084,0.750809,0.004274,0.000343,0.007531,0.037981,0.025356,0.013983,0.011373,0.000386,0.017084,0.043978,0.835582,False,0.615692,False
algebra2005,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.755466,0.750809,0.004657,0.00064,0.007964,0.025987,0.032701,0.013983,0.018718,0.006973,0.023272,0.001,0.597701,False,0.025,True
algebra2005,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753659,0.750809,0.00285,-0.000958,0.005961,0.170915,0.022727,0.013983,0.008744,-0.001963,0.014103,0.11994,1.0,False,1.0,False
algebra2005,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753722,0.750809,0.002913,-0.001126,0.006226,0.176912,,,,,,,1.0,False,1.0,False
algebra2005,0,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.751116,0.750809,0.000307,-0.003198,0.003107,0.973513,0.019094,0.013983,0.005111,-0.004764,0.010192,0.372814,1.0,False,1.0,False
algebra2005,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.827474,0.813394,0.01408,0.012176,0.016195,0.001,0.015629,0.053947,-0.038319,-0.04269,-0.033749,0.001,0.025,True,0.025,True
algebra2005,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.827874,0.813394,0.01448,0.012576,0.016608,0.001,0.01357,0.053947,-0.040378,-0.043666,-0.034615,0.001,0.025,True,0.025,True
algebra2005,0,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.827221,0.813394,0.013826,0.01186,0.015752,0.001,0.024337,0.053947,-0.02961,-0.034632,-0.025546,0.001,0.025,True,0.025,True
algebra2005,0,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.825609,0.813394,0.012215,0.009984,0.014336,0.001,,,,,,,0.025,True,0.101952,False
algebra2005,0,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.822733,0.813394,0.009339,0.00711,0.011542,0.001,0.020814,0.053947,-0.033133,-0.037511,-0.028694,0.001,0.025,True,0.025,True
algebra2005,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.755001,0.750079,0.004921,0.000654,0.008239,0.021989,0.026816,0.01567,0.011146,0.001445,0.017364,0.026987,0.527736,False,0.458779,False
algebra2005,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.755473,0.750079,0.005393,0.001072,0.00876,0.015992,0.033807,0.01567,0.018138,0.007509,0.023598,0.001999,0.3998,False,0.041978999999999995,True
algebra2005,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753344,0.750079,0.003265,-0.000829,0.006363,0.14093,0.023513,0.01567,0.007843,-0.002214,0.014158,0.129935,1.0,False,1.0,False
algebra2005,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753897,0.750079,0.003818,-0.000353,0.007071,0.077961,,,,,,,1.0,False,1.0,False
algebra2005,1,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.751034,0.750079,0.000955,-0.002916,0.003848,0.685657,0.01882,0.01567,0.00315,-0.005178,0.009582,0.516742,1.0,False,1.0,False
algebra2005,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.82352,0.814078,0.009442,0.00769,0.011017,0.001,0.019776,0.048824,-0.029048,-0.030813,-0.02564,0.001,0.025,True,0.025,True
algebra2005,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.823722,0.814078,0.009643,0.007862,0.011249,0.001,0.01852,0.048824,-0.030304,-0.032659,-0.026806,0.001,0.025,True,0.025,True
algebra2005,1,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.823195,0.814078,0.009117,0.007386,0.010726,0.001,0.02989,0.048824,-0.018934,-0.021136,-0.016728,0.001,0.025,True,0.025,True
algebra2005,1,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.822385,0.814078,0.008307,0.006454,0.009948,0.001,,,,,,,0.025,True,0.101952,False
algebra2005,1,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.819792,0.814078,0.005713,0.003864,0.007382,0.001,0.027231,0.048824,-0.021593,-0.023725,-0.019395,0.001,0.025,True,0.025,True
algebra2005,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753908,0.750231,0.003677,-0.000375,0.006818,0.078961,0.027419,0.012839,0.014579,0.003523,0.019952,0.010995,1.0,False,0.21989999999999998,False
algebra2005,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.754346,0.750231,0.004115,4.9e-05,0.007326,0.049975,0.034583,0.012839,0.021743,0.010435,0.026177,0.001,1.0,False,0.025,True
algebra2005,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.752316,0.750231,0.002085,-0.001769,0.005031,0.313843,0.024978,0.012839,0.012139,0.000696,0.017141,0.034983,1.0,False,0.559728,False
algebra2005,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.752333,0.750231,0.002102,-0.001901,0.005276,0.34083,,,,,,,1.0,False,1.0,False
algebra2005,2,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.750192,0.750231,-3.9e-05,-0.003586,0.002737,0.857571,0.020316,0.012839,0.007477,-0.002226,0.013248,0.144928,1.0,False,1.0,False
algebra2005,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.825598,0.815247,0.010352,0.008377,0.012468,0.001,0.02127,0.06492,-0.04365,-0.045546,-0.040595,0.001,0.025,True,0.025,True
algebra2005,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.825584,0.815247,0.010338,0.008318,0.012528,0.001,0.020065,0.06492,-0.044855,-0.046584,-0.042226,0.001,0.025,True,0.025,True
algebra2005,2,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.826679,0.815247,0.011432,0.009655,0.013321,0.001,0.03409,0.06492,-0.03083,-0.032986,-0.028469,0.001,0.025,True,0.025,True
algebra2005,2,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.824869,0.815247,0.009623,0.00764,0.011739,0.001,,,,,,,0.025,True,0.101952,False
algebra2005,2,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.820567,0.815247,0.005321,0.003118,0.007525,0.001,0.027314,0.06492,-0.037606,-0.039313,-0.034707,0.001,0.025,True,0.025,True
algebra2005,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.753988,0.750609,0.003379,-0.000644,0.006579,0.111944,0.027804,0.014198,0.013606,0.003552,0.019665,0.010995,1.0,False,0.21989999999999998,False
algebra2005,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.754477,0.750609,0.003868,-0.000208,0.007146,0.063968,0.034699,0.014198,0.020501,0.009903,0.025481,0.001,1.0,False,0.025,True
algebra2005,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.752391,0.750609,0.001783,-0.001981,0.004787,0.411794,0.02523,0.014198,0.011032,0.000764,0.016821,0.036982,1.0,False,0.559728,False
algebra2005,3,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.75262,0.750609,0.002011,-0.001892,0.005134,0.35982,,,,,,,1.0,False,1.0,False
algebra2005,3,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.749811,0.750609,-0.000797,-0.004316,0.002002,0.498751,0.020174,0.014198,0.005976,-0.002407,0.012417,0.17991,1.0,False,1.0,False
algebra2005,3,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.826563,0.816694,0.009869,0.00759,0.011887,0.001,0.020265,0.066559,-0.046295,-0.048785,-0.042629,0.001,0.025,True,0.025,True
algebra2005,3,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.826319,0.816694,0.009625,0.00728,0.011692,0.001,0.018326,0.066559,-0.048233,-0.05041,-0.043745,0.001,0.025,True,0.025,True
algebra2005,3,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.827992,0.816694,0.011298,0.009355,0.013084,0.001,0.033506,0.066559,-0.033054,-0.035736,-0.03018,0.001,0.025,True,0.025,True
algebra2005,3,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.826444,0.816694,0.00975,0.007487,0.011771,0.001,,,,,,,0.025,True,0.101952,False
algebra2005,3,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,92945,114,0.82221,0.816694,0.005517,0.003143,0.00769,0.001,0.027976,0.066559,-0.038584,-0.041188,-0.035874,0.001,0.025,True,0.025,True
algebra2005,4,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.754031,0.750802,0.003229,-0.000852,0.006411,0.144928,0.02792,0.01546,0.01246,0.003192,0.019215,0.016992,1.0,False,0.305856,False
algebra2005,4,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.754535,0.750802,0.003733,-0.000414,0.007087,0.086957,0.034952,0.01546,0.019492,0.009821,0.025166,0.001,1.0,False,0.025,True
algebra2005,4,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.752307,0.750802,0.001505,-0.002357,0.004542,0.501749,0.02526,0.01546,0.0098,0.000341,0.016204,0.044978,1.0,False,0.615692,False
algebra2005,4,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.752654,0.750802,0.001852,-0.002094,0.005059,0.423788,,,,,,,1.0,False,1.0,False
algebra2005,4,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,93595,114,0.750232,0.750802,-0.00057,-0.004112,0.002303,0.602699,0.020567,0.01546,0.005107,-0.002587,0.012293,0.21989,1.0,False,1.0,False
algebra2005,4,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,92945,114,0.826365,0.813399,0.012967,0.011406,0.01429,0.001,0.018225,0.027323,-0.009098,-0.011355,-0.005348,0.001,0.025,True,0.025,True
algebra2005,4,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,92945,114,0.826385,0.813399,0.012987,0.011474,0.014279,0.001,0.017918,0.027323,-0.009405,-0.012098,-0.004295,0.001,0.025,True,0.025,True
algebra2005,4,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,92945,114,0.826058,0.813399,0.012659,0.011149,0.013962,0.001,0.025086,0.027323,-0.002237,-0.003901,-0.000448,0.016992,0.025,True,0.101952,False
algebra2005,4,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,92945,114,0.825398,0.813399,0.011999,0.010371,0.013395,0.001,,,,,,,0.025,True,0.101952,False
algebra2005,4,deep,median,"dkt,sakt,akt,simplekt",akt,valid,92945,114,0.822865,0.813399,0.009467,0.007931,0.010708,0.001,0.023152,0.027323,-0.004171,-0.005389,-0.001648,0.001,0.025,True,0.025,True
bridge2algebra2006,0,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.758094,0.74856,0.009534,0.007884,0.011057,0.001,0.032915,0.011658,0.021257,0.019484,0.02243,0.001,0.025,True,0.025,True
bridge2algebra2006,0,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.758206,0.74856,0.009645,0.007897,0.01125,0.001,0.032847,0.011658,0.021189,0.019452,0.022639,0.001,0.025,True,0.025,True
bridge2algebra2006,0,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757639,0.74856,0.009079,0.007672,0.010368,0.001,0.025999,0.011658,0.014341,0.012608,0.015351,0.001,0.025,True,0.025,True
bridge2algebra2006,0,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.755061,0.74856,0.0065,0.004761,0.008156,0.001,,,,,,,0.025,True,0.025,True
bridge2algebra2006,0,classical,median,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.753758,0.74856,0.005198,0.004175,0.006211,0.001,0.019115,0.011658,0.007457,0.00581,0.008359,0.001,0.025,True,0.025,True
bridge2algebra2006,0,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",simplekt,valid,352370,229,0.814689,0.807972,0.006716,0.005623,0.007743,0.001,0.012291,0.008721,0.00357,-0.001014,0.008021,0.150925,0.025,True,1.0,False
bridge2algebra2006,0,deep,geometric_mean,"dkt,sakt,akt,simplekt",simplekt,valid,352370,229,0.814908,0.807972,0.006936,0.005823,0.00797,0.001,0.010532,0.008721,0.001812,-0.001766,0.005897,0.348826,0.025,True,1.0,False
bridge2algebra2006,0,deep,logit_mean,"dkt,sakt,akt,simplekt",simplekt,valid,352370,229,0.815193,0.807972,0.007221,0.006228,0.008186,0.001,0.010472,0.008721,0.001752,-0.004184,0.00738,0.537731,0.025,True,1.0,False
bridge2algebra2006,0,deep,rank_mean,"dkt,sakt,akt,simplekt",simplekt,valid,352370,229,0.812655,0.807972,0.004682,0.003581,0.005737,0.001,,,,,,,0.025,True,1.0,False
bridge2algebra2006,0,deep,median,"dkt,sakt,akt,simplekt",simplekt,valid,352370,229,0.813154,0.807972,0.005181,0.004059,0.00627,0.001,0.008932,0.008721,0.000212,-0.00498,0.005442,0.912544,0.025,True,1.0,False
bridge2algebra2006,1,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,354262,229,0.7579,0.746771,0.01113,0.008781,0.013736,0.001,0.033924,0.010514,0.02341,0.019284,0.025839,0.001,0.025,True,0.025,True
bridge2algebra2006,1,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,354262,229,0.757997,0.746771,0.011226,0.008837,0.013858,0.001,0.03376,0.010514,0.023246,0.019283,0.025843,0.001,0.025,True,0.025,True
bridge2algebra2006,1,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,354262,229,0.757554,0.746771,0.010783,0.008479,0.01335,0.001,0.027216,0.010514,0.016702,0.012485,0.019143,0.001,0.025,True,0.025,True
bridge2algebra2006,1,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",bkt,valid,354262,229,0.754922,0.746771,0.008152,0.005747,0.011049,0.001,,,,,,,0.025,True,0.025,True
bridge2algebra2006,1,classical,median,"bkt,pfa,pfa_recency,elorasch",bkt,valid,354262,229,0.753487,0.746771,0.006716,0.004458,0.009239,0.001,0.02102,0.010514,0.010506,0.006233,0.013064,0.001,0.025,True,0.025,True
bridge2algebra2006,1,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.816829,0.806718,0.010111,0.00824,0.011861,0.001,0.013602,0.006749,0.006854,0.003486,0.009575,0.001,0.025,True,0.025,True
bridge2algebra2006,1,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.817006,0.806718,0.010289,0.008404,0.012069,0.001,0.010916,0.006749,0.004167,0.001288,0.007338,0.002999,0.025,True,0.053982,False
bridge2algebra2006,1,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.817452,0.806718,0.010735,0.009094,0.012324,0.001,0.013202,0.006749,0.006454,0.003116,0.009656,0.001999,0.025,True,0.037981,True
bridge2algebra2006,1,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.81443,0.806718,0.007713,0.005941,0.009376,0.001,,,,,,,0.025,True,1.0,False
bridge2algebra2006,1,deep,median,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.815003,0.806718,0.008286,0.006745,0.00972,0.001,0.011027,0.006749,0.004278,0.001171,0.007159,0.009995,0.025,True,0.149925,False
bridge2algebra2006,2,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757779,0.748654,0.009125,0.007468,0.010686,0.001,0.031696,0.011067,0.020629,0.018874,0.02203,0.001,0.025,True,0.025,True
bridge2algebra2006,2,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757817,0.748654,0.009163,0.007436,0.010807,0.001,0.032237,0.011067,0.02117,0.018894,0.022574,0.001,0.025,True,0.025,True
bridge2algebra2006,2,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757532,0.748654,0.008878,0.007484,0.010207,0.001,0.024817,0.011067,0.01375,0.011923,0.014735,0.001,0.025,True,0.025,True
bridge2algebra2006,2,classical,rank_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.754656,0.748654,0.006002,0.004232,0.007676,0.001,,,,,,,0.025,True,0.025,True
bridge2algebra2006,2,classical,median,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.75373,0.748654,0.005076,0.004082,0.006077,0.001,0.018203,0.011067,0.007136,0.005352,0.007924,0.001,0.025,True,0.025,True
bridge2algebra2006,2,deep,arithmetic_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.817075,0.807446,0.009629,0.007882,0.011178,0.001,0.013361,0.007236,0.006125,0.002725,0.009564,0.001,0.025,True,0.025,True
bridge2algebra2006,2,deep,geometric_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.817289,0.807446,0.009844,0.008062,0.011424,0.001,0.012801,0.007236,0.005566,0.00201,0.009005,0.001,0.025,True,0.025,True
bridge2algebra2006,2,deep,logit_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.817716,0.807446,0.01027,0.008743,0.011654,0.001,0.009712,0.007236,0.002476,-0.000798,0.005579,0.131934,0.025,True,1.0,False
bridge2algebra2006,2,deep,rank_mean,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.814825,0.807446,0.007379,0.005685,0.0089,0.001,,,,,,,0.025,True,1.0,False
bridge2algebra2006,2,deep,median,"dkt,sakt,akt,simplekt",akt,valid,352370,229,0.81545,0.807446,0.008004,0.00649,0.009293,0.001,0.008263,0.007236,0.001027,-0.002043,0.004239,0.482759,0.025,True,1.0,False
bridge2algebra2006,3,classical,arithmetic_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.758077,0.748474,0.009603,0.007908,0.011206,0.001,0.031557,0.011135,0.020422,0.018935,0.022173,0.001,0.025,True,0.025,True
bridge2algebra2006,3,classical,geometric_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.758158,0.748474,0.009684,0.007868,0.011354,0.001,0.031814,0.011135,0.020679,0.019157,0.022369,0.001,0.025,True,0.025,True
bridge2algebra2006,3,classical,logit_mean,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,354262,229,0.757659,0.748474,0.009184,0.00777,0.010516,0.001,0.024515,0.011135,0.01338,0.01185,0.014962,0.001,0.025,True,0.025,True
