dataset,fold,subset,models_in_subset,aggregator,n_rows,auc,ece,brier,best_single_model,best_single_selected_on,best_single_auc,delta_auc,best_single_ece,delta_ece,best_single_brier,delta_brier,best_single_on_test_model,best_single_on_test_auc,best_single_on_test_ece,delta_auc_vs_test_best
assist2017,2,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,178823,0.647387,0.029284,0.218717,elorasch,valid,0.639874,0.007514,0.027428,0.001855,0.220366,-0.001649,elorasch,0.639874,0.027428,0.007514
assist2017,2,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,178823,0.646727,0.027971,0.218846,elorasch,valid,0.639874,0.006853,0.027428,0.000542,0.220366,-0.00152,elorasch,0.639874,0.027428,0.006853
assist2017,2,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,178823,0.647188,0.028017,0.218684,elorasch,valid,0.639874,0.007315,0.027428,0.000589,0.220366,-0.001682,elorasch,0.639874,0.027428,0.007315
assist2017,2,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,178823,0.645551,nan,nan,elorasch,valid,0.639874,0.005677,0.027428,nan,0.220366,nan,elorasch,0.639874,0.027428,0.005677
assist2017,2,classical,"bkt,pfa,pfa_recency,elorasch",median,178823,0.640679,0.022317,0.219795,elorasch,valid,0.639874,0.000805,0.027428,-0.005112,0.220366,-0.000571,elorasch,0.639874,0.027428,0.000805
assist2017,2,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,177767,0.76173,0.043886,0.189212,akt,valid,0.757625,0.004104,0.017892,0.025994,0.18869,0.000523,akt,0.757625,0.017892,0.004104
assist2017,2,deep,"dkt,sakt,akt,simplekt",geometric_mean,177767,0.762638,0.042311,0.188968,akt,valid,0.757625,0.005013,0.017892,0.02442,0.18869,0.000278,akt,0.757625,0.017892,0.005013
assist2017,2,deep,"dkt,sakt,akt,simplekt",logit_mean,177767,0.76315,0.037418,0.187964,akt,valid,0.757625,0.005525,0.017892,0.019527,0.18869,-0.000725,akt,0.757625,0.017892,0.005525
assist2017,2,deep,"dkt,sakt,akt,simplekt",rank_mean,177767,0.75548,nan,nan,akt,valid,0.757625,-0.002146,0.017892,nan,0.18869,nan,akt,0.757625,0.017892,-0.002146
assist2017,2,deep,"dkt,sakt,akt,simplekt",median,177767,0.760017,0.035738,0.188956,akt,valid,0.757625,0.002392,0.017892,0.017847,0.18869,0.000266,akt,0.757625,0.017892,0.002392
assist2017,3,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,178823,0.647484,0.029463,0.218609,elorasch,valid,0.640106,0.007378,0.028215,0.001248,0.22037,-0.001761,elorasch,0.640106,0.028215,0.007378
assist2017,3,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,178823,0.646919,0.02773,0.218709,elorasch,valid,0.640106,0.006813,0.028215,-0.000485,0.22037,-0.001661,elorasch,0.640106,0.028215,0.006813
assist2017,3,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,178823,0.647318,0.028057,0.218569,elorasch,valid,0.640106,0.007212,0.028215,-0.000158,0.22037,-0.001801,elorasch,0.640106,0.028215,0.007212
assist2017,3,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,178823,0.645891,nan,nan,elorasch,valid,0.640106,0.005785,0.028215,nan,0.22037,nan,elorasch,0.640106,0.028215,0.005785
assist2017,3,classical,"bkt,pfa,pfa_recency,elorasch",median,178823,0.641105,0.022928,0.219649,elorasch,valid,0.640106,0.000999,0.028215,-0.005286,0.22037,-0.000722,elorasch,0.640106,0.028215,0.000999
assist2017,3,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,177767,0.763362,0.045767,0.188935,akt,valid,0.758611,0.004751,0.017125,0.028641,0.188194,0.000741,akt,0.758611,0.017125,0.004751
assist2017,3,deep,"dkt,sakt,akt,simplekt",geometric_mean,177767,0.763462,0.042556,0.188667,akt,valid,0.758611,0.004851,0.017125,0.025431,0.188194,0.000473,akt,0.758611,0.017125,0.004851
assist2017,3,deep,"dkt,sakt,akt,simplekt",logit_mean,177767,0.76429,0.037958,0.187643,akt,valid,0.758611,0.005679,0.017125,0.020833,0.188194,-0.000551,akt,0.758611,0.017125,0.005679
assist2017,3,deep,"dkt,sakt,akt,simplekt",rank_mean,177767,0.757081,nan,nan,akt,valid,0.758611,-0.00153,0.017125,nan,0.188194,nan,akt,0.758611,0.017125,-0.00153
assist2017,3,deep,"dkt,sakt,akt,simplekt",median,177767,0.762087,0.037145,0.188414,akt,valid,0.758611,0.003476,0.017125,0.02002,0.188194,0.00022,akt,0.758611,0.017125,0.003476
assist2017,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,178823,0.647439,0.029344,0.218683,elorasch,valid,0.640697,0.006742,0.028382,0.000961,0.220272,-0.001589,elorasch,0.640697,0.028382,0.006742
assist2017,4,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,178823,0.646825,0.027456,0.218799,elorasch,valid,0.640697,0.006128,0.028382,-0.000927,0.220272,-0.001474,elorasch,0.640697,0.028382,0.006128
assist2017,4,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,178823,0.647257,0.027806,0.218645,elorasch,valid,0.640697,0.00656,0.028382,-0.000577,0.220272,-0.001627,elorasch,0.640697,0.028382,0.00656
assist2017,4,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,178823,0.645684,nan,nan,elorasch,valid,0.640697,0.004987,0.028382,nan,0.220272,nan,elorasch,0.640697,0.028382,0.004987
assist2017,4,classical,"bkt,pfa,pfa_recency,elorasch",median,178823,0.640993,0.022391,0.219717,elorasch,valid,0.640697,0.000295,0.028382,-0.005992,0.220272,-0.000556,elorasch,0.640697,0.028382,0.000295
assist2017,4,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,177767,0.765056,0.043458,0.18816,simplekt,valid,0.757588,0.007468,0.030158,0.013299,0.188884,-0.000724,akt,0.759508,0.022009,0.005549
assist2017,4,deep,"dkt,sakt,akt,simplekt",geometric_mean,177767,0.765438,0.039175,0.187711,simplekt,valid,0.757588,0.00785,0.030158,0.009017,0.188884,-0.001173,akt,0.759508,0.022009,0.00593
assist2017,4,deep,"dkt,sakt,akt,simplekt",logit_mean,177767,0.766356,0.033957,0.186647,simplekt,valid,0.757588,0.008768,0.030158,0.003799,0.188884,-0.002236,akt,0.759508,0.022009,0.006848
assist2017,4,deep,"dkt,sakt,akt,simplekt",rank_mean,177767,0.757464,nan,nan,simplekt,valid,0.757588,-0.000124,0.030158,nan,0.188884,nan,akt,0.759508,0.022009,-0.002043
assist2017,4,deep,"dkt,sakt,akt,simplekt",median,177767,0.763481,0.033589,0.187722,simplekt,valid,0.757588,0.005893,0.030158,0.003431,0.188884,-0.001161,akt,0.759508,0.022009,0.003974
algebra2005,0,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,93595,0.755084,0.025356,0.152467,bkt,valid,0.750809,0.004274,0.013983,0.011373,0.152249,0.000218,bkt,0.750809,0.013983,0.004274
algebra2005,0,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,93595,0.755466,0.032701,0.153061,bkt,valid,0.750809,0.004657,0.013983,0.018718,0.152249,0.000812,bkt,0.750809,0.013983,0.004657
algebra2005,0,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,93595,0.753659,0.022727,0.152682,bkt,valid,0.750809,0.00285,0.013983,0.008744,0.152249,0.000433,bkt,0.750809,0.013983,0.00285
algebra2005,0,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,93595,0.753722,nan,nan,bkt,valid,0.750809,0.002913,0.013983,nan,0.152249,nan,bkt,0.750809,0.013983,0.002913
algebra2005,0,classical,"bkt,pfa,pfa_recency,elorasch",median,93595,0.751116,0.019094,0.153049,bkt,valid,0.750809,0.000307,0.013983,0.005111,0.152249,0.000801,bkt,0.750809,0.013983,0.000307
algebra2005,0,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,92945,0.827474,0.015629,0.133411,simplekt,valid,0.813394,0.01408,0.053947,-0.038319,0.142022,-0.008612,simplekt,0.813394,0.053947,0.01408
algebra2005,0,deep,"dkt,sakt,akt,simplekt",geometric_mean,92945,0.827874,0.01357,0.133335,simplekt,valid,0.813394,0.01448,0.053947,-0.040378,0.142022,-0.008687,simplekt,0.813394,0.053947,0.01448
algebra2005,0,deep,"dkt,sakt,akt,simplekt",logit_mean,92945,0.827221,0.024337,0.133964,simplekt,valid,0.813394,0.013826,0.053947,-0.02961,0.142022,-0.008058,simplekt,0.813394,0.053947,0.013826
algebra2005,0,deep,"dkt,sakt,akt,simplekt",rank_mean,92945,0.825609,nan,nan,simplekt,valid,0.813394,0.012215,0.053947,nan,0.142022,nan,simplekt,0.813394,0.053947,0.012215
algebra2005,0,deep,"dkt,sakt,akt,simplekt",median,92945,0.822733,0.020814,0.13528,simplekt,valid,0.813394,0.009339,0.053947,-0.033133,0.142022,-0.006742,simplekt,0.813394,0.053947,0.009339
algebra2005,1,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,93595,0.755001,0.026816,0.152536,bkt,valid,0.750079,0.004921,0.01567,0.011146,0.15231,0.000226,bkt,0.750079,0.01567,0.004921
algebra2005,1,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,93595,0.755473,0.033807,0.15311,bkt,valid,0.750079,0.005393,0.01567,0.018138,0.15231,0.0008,bkt,0.750079,0.01567,0.005393
algebra2005,1,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,93595,0.753344,0.023513,0.152735,bkt,valid,0.750079,0.003265,0.01567,0.007843,0.15231,0.000425,bkt,0.750079,0.01567,0.003265
algebra2005,1,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,93595,0.753897,nan,nan,bkt,valid,0.750079,0.003818,0.01567,nan,0.15231,nan,bkt,0.750079,0.01567,0.003818
algebra2005,1,classical,"bkt,pfa,pfa_recency,elorasch",median,93595,0.751034,0.01882,0.153047,bkt,valid,0.750079,0.000955,0.01567,0.00315,0.15231,0.000737,bkt,0.750079,0.01567,0.000955
algebra2005,1,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,92945,0.82352,0.019776,0.135234,simplekt,valid,0.814078,0.009442,0.048824,-0.029048,0.141077,-0.005843,simplekt,0.814078,0.048824,0.009442
algebra2005,1,deep,"dkt,sakt,akt,simplekt",geometric_mean,92945,0.823722,0.01852,0.135066,simplekt,valid,0.814078,0.009643,0.048824,-0.030304,0.141077,-0.006011,simplekt,0.814078,0.048824,0.009643
algebra2005,1,deep,"dkt,sakt,akt,simplekt",logit_mean,92945,0.823195,0.02989,0.135887,simplekt,valid,0.814078,0.009117,0.048824,-0.018934,0.141077,-0.005189,simplekt,0.814078,0.048824,0.009117
algebra2005,1,deep,"dkt,sakt,akt,simplekt",rank_mean,92945,0.822385,nan,nan,simplekt,valid,0.814078,0.008307,0.048824,nan,0.141077,nan,simplekt,0.814078,0.048824,0.008307
algebra2005,1,deep,"dkt,sakt,akt,simplekt",median,92945,0.819792,0.027231,0.13679,simplekt,valid,0.814078,0.005713,0.048824,-0.021593,0.141077,-0.004286,simplekt,0.814078,0.048824,0.005713
algebra2005,2,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,93595,0.753908,0.027419,0.15273,bkt,valid,0.750231,0.003677,0.012839,0.014579,0.152387,0.000342,bkt,0.750231,0.012839,0.003677
algebra2005,2,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,93595,0.754346,0.034583,0.15335,bkt,valid,0.750231,0.004115,0.012839,0.021743,0.152387,0.000963,bkt,0.750231,0.012839,0.004115
algebra2005,2,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,93595,0.752316,0.024978,0.152982,bkt,valid,0.750231,0.002085,0.012839,0.012139,0.152387,0.000595,bkt,0.750231,0.012839,0.002085
algebra2005,2,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,93595,0.752333,nan,nan,bkt,valid,0.750231,0.002102,0.012839,nan,0.152387,nan,bkt,0.750231,0.012839,0.002102
algebra2005,2,classical,"bkt,pfa,pfa_recency,elorasch",median,93595,0.750192,0.020316,0.15334,bkt,valid,0.750231,-3.9e-05,0.012839,0.007477,0.152387,0.000953,bkt,0.750231,0.012839,-3.9e-05
algebra2005,2,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,92945,0.825598,0.02127,0.134294,simplekt,valid,0.815247,0.010352,0.06492,-0.04365,0.1417,-0.007406,simplekt,0.815247,0.06492,0.010352
algebra2005,2,deep,"dkt,sakt,akt,simplekt",geometric_mean,92945,0.825584,0.020065,0.134149,simplekt,valid,0.815247,0.010338,0.06492,-0.044855,0.1417,-0.007551,simplekt,0.815247,0.06492,0.010338
algebra2005,2,deep,"dkt,sakt,akt,simplekt",logit_mean,92945,0.826679,0.03409,0.134873,simplekt,valid,0.815247,0.011432,0.06492,-0.03083,0.1417,-0.006827,simplekt,0.815247,0.06492,0.011432
algebra2005,2,deep,"dkt,sakt,akt,simplekt",rank_mean,92945,0.824869,nan,nan,simplekt,valid,0.815247,0.009623,0.06492,nan,0.1417,nan,simplekt,0.815247,0.06492,0.009623
algebra2005,2,deep,"dkt,sakt,akt,simplekt",median,92945,0.820567,0.027314,0.136147,simplekt,valid,0.815247,0.005321,0.06492,-0.037606,0.1417,-0.005553,simplekt,0.815247,0.06492,0.005321
algebra2005,3,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,93595,0.753988,0.027804,0.152761,bkt,valid,0.750609,0.003379,0.014198,0.013606,0.152319,0.000442,bkt,0.750609,0.014198,0.003379
algebra2005,3,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,93595,0.754477,0.034699,0.153308,bkt,valid,0.750609,0.003868,0.014198,0.020501,0.152319,0.000989,bkt,0.750609,0.014198,0.003868
algebra2005,3,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,93595,0.752391,0.02523,0.152976,bkt,valid,0.750609,0.001783,0.014198,0.011032,0.152319,0.000657,bkt,0.750609,0.014198,0.001783
algebra2005,3,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,93595,0.75262,nan,nan,bkt,valid,0.750609,0.002011,0.014198,nan,0.152319,nan,bkt,0.750609,0.014198,0.002011
algebra2005,3,classical,"bkt,pfa,pfa_recency,elorasch",median,93595,0.749811,0.020174,0.153381,bkt,valid,0.750609,-0.000797,0.014198,0.005976,0.152319,0.001062,bkt,0.750609,0.014198,-0.000797
algebra2005,3,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,92945,0.826563,0.020265,0.134031,simplekt,valid,0.816694,0.009869,0.066559,-0.046295,0.141712,-0.00768,simplekt,0.816694,0.066559,0.009869
algebra2005,3,deep,"dkt,sakt,akt,simplekt",geometric_mean,92945,0.826319,0.018326,0.13417,simplekt,valid,0.816694,0.009625,0.066559,-0.048233,0.141712,-0.007542,simplekt,0.816694,0.066559,0.009625
algebra2005,3,deep,"dkt,sakt,akt,simplekt",logit_mean,92945,0.827992,0.033506,0.134547,simplekt,valid,0.816694,0.011298,0.066559,-0.033054,0.141712,-0.007165,simplekt,0.816694,0.066559,0.011298
algebra2005,3,deep,"dkt,sakt,akt,simplekt",rank_mean,92945,0.826444,nan,nan,simplekt,valid,0.816694,0.00975,0.066559,nan,0.141712,nan,simplekt,0.816694,0.066559,0.00975
algebra2005,3,deep,"dkt,sakt,akt,simplekt",median,92945,0.82221,0.027976,0.135917,simplekt,valid,0.816694,0.005517,0.066559,-0.038584,0.141712,-0.005795,simplekt,0.816694,0.066559,0.005517
algebra2005,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,93595,0.754031,0.02792,0.152736,bkt,valid,0.750802,0.003229,0.01546,0.01246,0.152331,0.000405,bkt,0.750802,0.01546,0.003229
algebra2005,4,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,93595,0.754535,0.034952,0.153332,bkt,valid,0.750802,0.003733,0.01546,0.019492,0.152331,0.001001,bkt,0.750802,0.01546,0.003733
algebra2005,4,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,93595,0.752307,0.02526,0.153004,bkt,valid,0.750802,0.001505,0.01546,0.0098,0.152331,0.000673,bkt,0.750802,0.01546,0.001505
algebra2005,4,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,93595,0.752654,nan,nan,bkt,valid,0.750802,0.001852,0.01546,nan,0.152331,nan,bkt,0.750802,0.01546,0.001852
algebra2005,4,classical,"bkt,pfa,pfa_recency,elorasch",median,93595,0.750232,0.020567,0.153292,bkt,valid,0.750802,-0.00057,0.01546,0.005107,0.152331,0.000961,bkt,0.750802,0.01546,-0.00057
algebra2005,4,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,92945,0.826365,0.018225,0.134303,akt,valid,0.813399,0.012967,0.027323,-0.009098,0.139301,-0.004998,akt,0.813399,0.027323,0.012967
algebra2005,4,deep,"dkt,sakt,akt,simplekt",geometric_mean,92945,0.826385,0.017918,0.134584,akt,valid,0.813399,0.012987,0.027323,-0.009405,0.139301,-0.004717,akt,0.813399,0.027323,0.012987
algebra2005,4,deep,"dkt,sakt,akt,simplekt",logit_mean,92945,0.826058,0.025086,0.134931,akt,valid,0.813399,0.012659,0.027323,-0.002237,0.139301,-0.00437,akt,0.813399,0.027323,0.012659
algebra2005,4,deep,"dkt,sakt,akt,simplekt",rank_mean,92945,0.825398,nan,nan,akt,valid,0.813399,0.011999,0.027323,nan,0.139301,nan,akt,0.813399,0.027323,0.011999
algebra2005,4,deep,"dkt,sakt,akt,simplekt",median,92945,0.822865,0.023152,0.135863,akt,valid,0.813399,0.009467,0.027323,-0.004171,0.139301,-0.003438,akt,0.813399,0.027323,0.009467
bridge2algebra2006,0,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,354262,0.758094,0.032915,0.11638,pfa_recency,valid,0.74856,0.009534,0.011658,0.021257,0.117097,-0.000717,pfa_recency,0.74856,0.011658,0.009534
bridge2algebra2006,0,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,354262,0.758206,0.032847,0.11628,pfa_recency,valid,0.74856,0.009645,0.011658,0.021189,0.117097,-0.000816,pfa_recency,0.74856,0.011658,0.009645
bridge2algebra2006,0,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,354262,0.757639,0.025999,0.116031,pfa_recency,valid,0.74856,0.009079,0.011658,0.014341,0.117097,-0.001065,pfa_recency,0.74856,0.011658,0.009079
bridge2algebra2006,0,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,354262,0.755061,nan,nan,pfa_recency,valid,0.74856,0.0065,0.011658,nan,0.117097,nan,pfa_recency,0.74856,0.011658,0.0065
bridge2algebra2006,0,classical,"bkt,pfa,pfa_recency,elorasch",median,354262,0.753758,0.019115,0.116384,pfa_recency,valid,0.74856,0.005198,0.011658,0.007457,0.117097,-0.000713,pfa_recency,0.74856,0.011658,0.005198
bridge2algebra2006,0,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,352370,0.814689,0.012291,0.105762,simplekt,valid,0.807972,0.006716,0.008721,0.00357,0.107056,-0.001294,simplekt,0.807972,0.008721,0.006716
bridge2algebra2006,0,deep,"dkt,sakt,akt,simplekt",geometric_mean,352370,0.814908,0.010532,0.105475,simplekt,valid,0.807972,0.006936,0.008721,0.001812,0.107056,-0.001581,simplekt,0.807972,0.008721,0.006936
bridge2algebra2006,0,deep,"dkt,sakt,akt,simplekt",logit_mean,352370,0.815193,0.010472,0.105884,simplekt,valid,0.807972,0.007221,0.008721,0.001752,0.107056,-0.001172,simplekt,0.807972,0.008721,0.007221
bridge2algebra2006,0,deep,"dkt,sakt,akt,simplekt",rank_mean,352370,0.812655,nan,nan,simplekt,valid,0.807972,0.004682,0.008721,nan,0.107056,nan,simplekt,0.807972,0.008721,0.004682
bridge2algebra2006,0,deep,"dkt,sakt,akt,simplekt",median,352370,0.813154,0.008932,0.10608,simplekt,valid,0.807972,0.005181,0.008721,0.000212,0.107056,-0.000976,simplekt,0.807972,0.008721,0.005181
bridge2algebra2006,1,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,354262,0.7579,0.033924,0.116472,bkt,valid,0.746771,0.01113,0.010514,0.02341,0.116384,8.8e-05,pfa_recency,0.748356,0.011686,0.009544
bridge2algebra2006,1,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,354262,0.757997,0.03376,0.116366,bkt,valid,0.746771,0.011226,0.010514,0.023246,0.116384,-1.8e-05,pfa_recency,0.748356,0.011686,0.00964
bridge2algebra2006,1,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,354262,0.757554,0.027216,0.116124,bkt,valid,0.746771,0.010783,0.010514,0.016702,0.116384,-0.00026,pfa_recency,0.748356,0.011686,0.009198
bridge2algebra2006,1,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,354262,0.754922,nan,nan,bkt,valid,0.746771,0.008152,0.010514,nan,0.116384,nan,pfa_recency,0.748356,0.011686,0.006566
bridge2algebra2006,1,classical,"bkt,pfa,pfa_recency,elorasch",median,354262,0.753487,0.02102,0.116508,bkt,valid,0.746771,0.006716,0.010514,0.010506,0.116384,0.000123,pfa_recency,0.748356,0.011686,0.00513
bridge2algebra2006,1,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,352370,0.816829,0.013602,0.105225,akt,valid,0.806718,0.010111,0.006749,0.006854,0.107502,-0.002276,akt,0.806718,0.006749,0.010111
bridge2algebra2006,1,deep,"dkt,sakt,akt,simplekt",geometric_mean,352370,0.817006,0.010916,0.104883,akt,valid,0.806718,0.010289,0.006749,0.004167,0.107502,-0.002619,akt,0.806718,0.006749,0.010289
bridge2algebra2006,1,deep,"dkt,sakt,akt,simplekt",logit_mean,352370,0.817452,0.013202,0.105411,akt,valid,0.806718,0.010735,0.006749,0.006454,0.107502,-0.002091,akt,0.806718,0.006749,0.010735
bridge2algebra2006,1,deep,"dkt,sakt,akt,simplekt",rank_mean,352370,0.81443,nan,nan,akt,valid,0.806718,0.007713,0.006749,nan,0.107502,nan,akt,0.806718,0.006749,0.007713
bridge2algebra2006,1,deep,"dkt,sakt,akt,simplekt",median,352370,0.815003,0.011027,0.105643,akt,valid,0.806718,0.008286,0.006749,0.004278,0.107502,-0.001859,akt,0.806718,0.006749,0.008286
bridge2algebra2006,2,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,354262,0.757779,0.031696,0.116324,pfa_recency,valid,0.748654,0.009125,0.011067,0.020629,0.117095,-0.000771,pfa_recency,0.748654,0.011067,0.009125
bridge2algebra2006,2,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,354262,0.757817,0.032237,0.116247,pfa_recency,valid,0.748654,0.009163,0.011067,0.02117,0.117095,-0.000848,pfa_recency,0.748654,0.011067,0.009163
bridge2algebra2006,2,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,354262,0.757532,0.024817,0.115973,pfa_recency,valid,0.748654,0.008878,0.011067,0.01375,0.117095,-0.001122,pfa_recency,0.748654,0.011067,0.008878
bridge2algebra2006,2,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,354262,0.754656,nan,nan,pfa_recency,valid,0.748654,0.006002,0.011067,nan,0.117095,nan,pfa_recency,0.748654,0.011067,0.006002
bridge2algebra2006,2,classical,"bkt,pfa,pfa_recency,elorasch",median,354262,0.75373,0.018203,0.116332,pfa_recency,valid,0.748654,0.005076,0.011067,0.007136,0.117095,-0.000763,pfa_recency,0.748654,0.011067,0.005076
bridge2algebra2006,2,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,352370,0.817075,0.013361,0.105042,akt,valid,0.807446,0.009629,0.007236,0.006125,0.107317,-0.002274,akt,0.807446,0.007236,0.009629
bridge2algebra2006,2,deep,"dkt,sakt,akt,simplekt",geometric_mean,352370,0.817289,0.012801,0.104756,akt,valid,0.807446,0.009844,0.007236,0.005566,0.107317,-0.002561,akt,0.807446,0.007236,0.009844
bridge2algebra2006,2,deep,"dkt,sakt,akt,simplekt",logit_mean,352370,0.817716,0.009712,0.105109,akt,valid,0.807446,0.01027,0.007236,0.002476,0.107317,-0.002208,akt,0.807446,0.007236,0.01027
bridge2algebra2006,2,deep,"dkt,sakt,akt,simplekt",rank_mean,352370,0.814825,nan,nan,akt,valid,0.807446,0.007379,0.007236,nan,0.107317,nan,akt,0.807446,0.007236,0.007379
bridge2algebra2006,2,deep,"dkt,sakt,akt,simplekt",median,352370,0.81545,0.008263,0.105349,akt,valid,0.807446,0.008004,0.007236,0.001027,0.107317,-0.001968,akt,0.807446,0.007236,0.008004
bridge2algebra2006,3,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,354262,0.758077,0.031557,0.116307,pfa_recency,valid,0.748474,0.009603,0.011135,0.020422,0.117142,-0.000836,pfa_recency,0.748474,0.011135,0.009603
bridge2algebra2006,3,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,354262,0.758158,0.031814,0.116237,pfa_recency,valid,0.748474,0.009684,0.011135,0.020679,0.117142,-0.000906,pfa_recency,0.748474,0.011135,0.009684
bridge2algebra2006,3,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,354262,0.757659,0.024515,0.115968,pfa_recency,valid,0.748474,0.009184,0.011135,0.01338,0.117142,-0.001174,pfa_recency,0.748474,0.011135,0.009184
bridge2algebra2006,3,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,354262,0.754925,nan,nan,pfa_recency,valid,0.748474,0.00645,0.011135,nan,0.117142,nan,pfa_recency,0.748474,0.011135,0.00645
bridge2algebra2006,3,classical,"bkt,pfa,pfa_recency,elorasch",median,354262,0.753919,0.01731,0.116308,pfa_recency,valid,0.748474,0.005445,0.011135,0.006174,0.117142,-0.000835,pfa_recency,0.748474,0.011135,0.005445
bridge2algebra2006,3,deep,"dkt,sakt,akt,simplekt",arithmetic_mean,352370,0.813184,0.015552,0.106341,akt,valid,0.805745,0.007439,0.006766,0.008786,0.107702,-0.001361,akt,0.805745,0.006766,0.007439
bridge2algebra2006,3,deep,"dkt,sakt,akt,simplekt",geometric_mean,352370,0.813367,0.013014,0.105965,akt,valid,0.805745,0.007622,0.006766,0.006248,0.107702,-0.001737,akt,0.805745,0.006766,0.007622
bridge2algebra2006,3,deep,"dkt,sakt,akt,simplekt",logit_mean,352370,0.814129,0.015287,0.10649,akt,valid,0.805745,0.008384,0.006766,0.00852,0.107702,-0.001212,akt,0.805745,0.006766,0.008384
bridge2algebra2006,3,deep,"dkt,sakt,akt,simplekt",rank_mean,352370,0.811531,nan,nan,akt,valid,0.805745,0.005785,0.006766,nan,0.107702,nan,akt,0.805745,0.006766,0.005785
bridge2algebra2006,3,deep,"dkt,sakt,akt,simplekt",median,352370,0.810186,0.013389,0.107074,akt,valid,0.805745,0.004441,0.006766,0.006622,0.107702,-0.000628,akt,0.805745,0.006766,0.004441
bridge2algebra2006,4,classical,"bkt,pfa,pfa_recency,elorasch",arithmetic_mean,354262,0.757942,0.03226,0.116353,pfa_recency,valid,0.74841,0.009532,0.011269,0.020991,0.117124,-0.000771,pfa_recency,0.74841,0.011269,0.009532
bridge2algebra2006,4,classical,"bkt,pfa,pfa_recency,elorasch",geometric_mean,354262,0.75802,0.032772,0.116266,pfa_recency,valid,0.74841,0.00961,0.011269,0.021503,0.117124,-0.000858,pfa_recency,0.74841,0.011269,0.00961
bridge2algebra2006,4,classical,"bkt,pfa,pfa_recency,elorasch",logit_mean,354262,0.757579,0.025143,0.115993,pfa_recency,valid,0.74841,0.009169,0.011269,0.013874,0.117124,-0.001132,pfa_recency,0.74841,0.011269,0.009169
bridge2algebra2006,4,classical,"bkt,pfa,pfa_recency,elorasch",rank_mean,354262,0.754847,nan,nan,pfa_recency,valid,0.74841,0.006437,0.011269,nan,0.117124,nan,pfa_recency,0.74841,0.011269,0.006437
