dataset,fold,models_in_subset,best_single_model,n_valid,n_test,attn_train_sec,attn_auc,attn_ece,attn_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_attn_vs_best_auc,lift_attn_vs_best_ece,lift_attn_vs_mean_auc,lift_attn_vs_mean_ece,lift_attn_vs_stack_auc,lift_attn_vs_stack_ece,lift_attn_vs_static_auc,lift_attn_vs_static_ece,lift_attn_vs_ccce_auc,lift_attn_vs_ccce_ece
algebra2005,0,"dkt,sakt,akt,simplekt",simplekt,164550,134674,1.6,0.930743,0.007081,0.08839,0.931559,0.004841,0.08783,0.931516,0.006056,0.087883,0.929539,0.006256,0.089121,0.924607,0.021144,0.092754,0.92167,0.023673,0.09472,0.009073,-0.016592,0.006136,-0.014062,0.001204,0.000826,-0.000773,0.001025,-0.000815,0.00224
algebra2005,1,"dkt,sakt,akt,simplekt",simplekt,163830,134674,1.6,0.930006,0.010911,0.089144,0.930556,0.005977,0.088643,0.930665,0.00606,0.088615,0.92905,0.007012,0.089508,0.922156,0.020288,0.094113,0.919922,0.013081,0.095062,0.010084,-0.00217,0.00785,-0.009378,0.000956,0.003899,-0.00066,0.004851,-0.000551,0.004934
algebra2005,2,"dkt,sakt,akt,simplekt",simplekt,146472,134674,1.5,0.930937,0.018043,0.089041,0.931904,0.004619,0.087498,0.931894,0.004537,0.08748,0.929765,0.004402,0.088931,0.9237,0.022673,0.093504,0.922659,0.029509,0.094508,0.008277,-0.011466,0.007237,-0.00463,0.001171,0.01364,-0.000958,0.013506,-0.000968,0.013424
algebra2005,3,"dkt,sakt,akt,simplekt",simplekt,139259,134674,1.6,0.930843,0.013547,0.088476,0.931539,0.003308,0.087513,0.931764,0.002401,0.087398,0.930081,0.00243,0.088577,0.924152,0.019354,0.092617,0.923337,0.029115,0.09361,0.007506,-0.015567,0.00669,-0.005806,0.000762,0.011117,-0.000921,0.011146,-0.000696,0.010239
algebra2005,4,"dkt,sakt,akt,simplekt",simplekt,130601,134674,1.6,0.930606,0.006269,0.088619,0.930459,0.003716,0.088551,0.930607,0.002859,0.088462,0.929196,0.003482,0.08937,0.922727,0.016898,0.093464,0.920613,0.01831,0.09498,0.009994,-0.012042,0.00788,-0.01063,0.00141,0.002787,-1e-06,0.003409,0.000148,0.002553
bridge2algebra2006,0,"dkt,sakt,akt,simplekt",simplekt,277809,353631,3.3,0.817724,0.011126,0.104886,0.819216,0.004415,0.104238,0.819495,0.003667,0.104169,0.817467,0.00381,0.104714,0.806099,0.015488,0.107731,0.808154,0.008748,0.107026,0.009571,0.002378,0.011626,-0.004362,0.000258,0.007316,-0.001771,0.007459,-0.001492,0.006711
bridge2algebra2006,1,"dkt,sakt,akt,simplekt",simplekt,287732,353631,3.0,0.821856,0.011736,0.103901,0.821768,0.004233,0.103544,0.821778,0.0041,0.103523,0.819495,0.004376,0.104121,0.809838,0.016669,0.106969,0.806248,0.012327,0.1066,0.015609,-0.00059,0.012018,-0.004933,0.002361,0.00736,7.8e-05,0.007636,8.8e-05,0.007504
bridge2algebra2006,2,"dkt,sakt,akt,simplekt",simplekt,302714,353631,3.2,0.822675,0.011084,0.103487,0.821501,0.005048,0.103504,0.821477,0.005364,0.103468,0.820351,0.004542,0.103898,0.811569,0.018278,0.106505,0.807025,0.019036,0.107032,0.01565,-0.007952,0.011106,-0.007194,0.002324,0.006542,0.001197,0.00572,0.001174,0.006036
bridge2algebra2006,3,"dkt,sakt,akt,simplekt",simplekt,308962,353631,3.4,0.814873,0.01482,0.105933,0.818713,0.004738,0.104309,0.81925,0.00459,0.104213,0.816041,0.004551,0.105217,0.804013,0.01692,0.108379,0.804825,0.029778,0.108854,0.010048,-0.014958,0.010859,-0.0021,-0.001168,0.010269,-0.004378,0.01023,-0.003841,0.010082
bridge2algebra2006,4,"dkt,sakt,akt,simplekt",simplekt,283782,353631,2.9,0.815717,0.017769,0.105099,0.820239,0.004249,0.104112,0.820283,0.003531,0.104059,0.817072,0.004209,0.104457,0.80585,0.018162,0.107611,0.804794,0.027284,0.108345,0.010923,-0.009515,0.009867,-0.000393,-0.001355,0.01356,-0.004566,0.014238,-0.004521,0.01352
assist2012,0,"dkt,sakt,akt,simplekt",simplekt,439766,536087,3.8,0.773226,0.019399,0.168254,0.775635,0.002398,0.167053,0.775765,0.002045,0.167014,0.773737,0.002733,0.167616,0.759152,0.025787,0.173227,0.769188,0.017698,0.169463,0.004038,0.001702,0.014074,-0.006388,-0.000511,0.016666,-0.002539,0.017355,-0.002409,0.017002
assist2012,1,"dkt,sakt,akt,simplekt",simplekt,432602,536087,4.4,0.773872,0.018375,0.168072,0.776613,0.002798,0.166779,0.776676,0.003181,0.166749,0.77471,0.002436,0.167381,0.760293,0.024414,0.172833,0.770273,0.019178,0.169345,0.003599,-0.000802,0.013579,-0.006039,-0.000838,0.015939,-0.002804,0.015194,-0.002741,0.015577
assist2012,2,"dkt,sakt,akt,simplekt",simplekt,424912,536087,4.8,0.773871,0.016079,0.168018,0.775696,0.001762,0.166985,0.775755,0.001598,0.166969,0.774473,0.002951,0.167375,0.758807,0.02548,0.173348,0.771,0.008504,0.168528,0.002872,0.007575,0.015065,-0.009401,-0.000602,0.013128,-0.001883,0.014481,-0.001825,0.014317
assist2012,3,"dkt,sakt,akt,simplekt",simplekt,419158,536087,4.2,0.77389,0.015337,0.167932,0.776083,0.003472,0.166935,0.776208,0.002533,0.166876,0.774735,0.001998,0.167312,0.759627,0.022237,0.1729,0.770207,0.015383,0.169089,0.003683,-4.5e-05,0.014263,-0.0069,-0.000845,0.013339,-0.002318,0.012804,-0.002193,0.011865
assist2012,4,"dkt,sakt,akt,simplekt",simplekt,423475,536087,4.4,0.773302,0.011649,0.168082,0.775307,0.003656,0.16713,0.775387,0.002485,0.167085,0.77387,0.002622,0.167568,0.758974,0.023578,0.173299,0.770697,0.015604,0.168812,0.002604,-0.003955,0.014327,-0.011928,-0.000568,0.009028,-0.002085,0.009165,-0.002005,0.007994
ednet,0,"dkt,sakt,akt,simplekt",simplekt,181289,301372,2.2,0.940707,0.006991,0.086908,0.940562,0.004897,0.086921,0.94037,0.00502,0.087115,0.940695,0.0063,0.086917,0.936077,0.015181,0.090376,0.940611,0.02186,0.088204,9.6e-05,-0.014869,0.00463,-0.00819,1.1e-05,0.000691,0.000337,0.001972,0.000145,0.002094
ednet,1,"dkt,sakt,akt,simplekt",simplekt,258480,301372,2.9,0.941426,0.005565,0.086486,0.941442,0.007198,0.086471,0.941366,0.008358,0.086602,0.941521,0.009069,0.086559,0.936059,0.013598,0.09018,0.941215,0.013728,0.087027,0.000212,-0.008163,0.005367,-0.008033,-9.4e-05,-0.003504,6e-05,-0.002794,-1.6e-05,-0.001634
ednet,2,"dkt,sakt,akt,simplekt",simplekt,191811,301372,2.1,0.940545,0.008405,0.087087,0.940442,0.004533,0.086985,0.939869,0.004381,0.087439,0.940228,0.006436,0.087218,0.936098,0.015814,0.090357,0.940673,0.020558,0.088107,-0.000128,-0.012153,0.004447,-0.007409,0.000317,0.001969,0.000676,0.004024,0.000103,0.003872
ednet,3,"dkt,sakt,akt,simplekt",simplekt,215928,301372,2.3,0.940282,0.006587,0.087114,0.940542,0.00631,0.086871,0.939925,0.008326,0.087405,0.940168,0.011343,0.087388,0.936061,0.015713,0.09035,0.940562,0.019548,0.087984,-0.000279,-0.012961,0.004221,-0.009125,0.000114,-0.004755,0.000358,-0.001739,-0.00026,0.000277
ednet,4,"dkt,sakt,akt,simplekt",simplekt,215744,301372,2.6,0.940485,0.013311,0.087407,0.940836,0.003372,0.086775,0.94083,0.002944,0.086811,0.940698,0.002476,0.08688,0.935634,0.017286,0.090765,0.940598,0.021363,0.088375,-0.000113,-0.008052,0.00485,-0.003975,-0.000213,0.010836,-0.000345,0.010368,-0.000351,0.009939
