dataset,fold,granularity,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
bridge2algebra2006,4,question,full,akt,valid,352370,229,0.813923,0.010572,0.805861,0.008062,0.001,0.009314,0.001259,0.082959,0.818336,-0.004413,0.001,0.002115,0.008458,0.001,0.820222,-0.006299,0.001,0.0037,0.006872,0.001,0.02,True,0.76962,False,0.02,True,0.02,True,0.02,True,0.02,True
bridge2algebra2006,4,question,no_s1,akt,valid,352370,229,0.82015,0.004054,0.805861,0.014289,0.001,0.009314,-0.005259,0.001,0.818336,0.001814,0.001,0.002115,0.00194,0.048976,0.820222,-7.2e-05,0.001,0.0037,0.000354,0.074963,0.02,True,0.02,True,0.02,True,0.391808,False,0.02,True,0.524741,False
bridge2algebra2006,4,question,global_s1,akt,valid,352370,229,0.820212,0.004184,0.805861,0.014351,0.001,0.009314,-0.005129,0.001,0.818336,0.001876,0.001,0.002115,0.00207,0.016992,0.820222,-1e-05,0.876562,0.0037,0.000484,0.030985,0.02,True,0.02,True,0.02,True,0.16992000000000002,False,1.0,False,0.278865,False
bridge2algebra2006,4,question,no_s3,akt,valid,352370,229,0.814086,0.010358,0.805861,0.008225,0.001,0.009314,0.001044,0.13993,0.818336,-0.00425,0.001,0.002115,0.008243,0.001,0.820222,-0.006135,0.001,0.0037,0.006658,0.001,0.02,True,0.951524,False,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,0,question,full,akt,valid,536087,5497,0.777308,0.006081,0.772909,0.0044,0.001,0.014961,-0.00888,0.001,0.777844,-0.000535,0.001999,0.002019,0.004062,0.001,0.778567,-0.001259,0.001,0.001781,0.004299,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,0,question,no_s1,akt,valid,536087,5497,0.778512,0.002217,0.772909,0.005603,0.001,0.014961,-0.012744,0.001,0.777844,0.000668,0.001,0.002019,0.000198,0.870565,0.778567,-5.5e-05,0.001,0.001781,0.000435,0.641679,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2012,0,question,global_s1,akt,valid,536087,5497,0.778451,0.001859,0.772909,0.005543,0.001,0.014961,-0.013101,0.001,0.777844,0.000608,0.001,0.002019,-0.00016,0.648676,0.778567,-0.000116,0.001,0.001781,7.8e-05,0.924538,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2012,0,question,no_s3,akt,valid,536087,5497,0.777385,0.006114,0.772909,0.004477,0.001,0.014961,-0.008846,0.001,0.777844,-0.000458,0.008996,0.002019,0.004095,0.001,0.778567,-0.001182,0.001,0.001781,0.004333,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,1,question,full,akt,valid,536087,5497,0.777452,0.007065,0.772772,0.004679,0.001,0.014935,-0.00787,0.001,0.778036,-0.000584,0.001,0.002064,0.005001,0.001,0.778928,-0.001477,0.001,0.003226,0.003838,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,1,question,no_s1,akt,valid,536087,5497,0.778838,0.003848,0.772772,0.006066,0.001,0.014935,-0.011087,0.001,0.778036,0.000803,0.001,0.002064,0.001784,0.043978,0.778928,-9e-05,0.001,0.003226,0.000622,0.368816,0.02,True,0.02,True,0.02,True,0.39580200000000004,False,0.02,True,1.0,False
assist2012,1,question,global_s1,akt,valid,536087,5497,0.77884,0.004006,0.772772,0.006067,0.001,0.014935,-0.010929,0.001,0.778036,0.000804,0.001,0.002064,0.001942,0.01999,0.778928,-8.9e-05,0.001,0.003226,0.000779,0.206897,0.02,True,0.02,True,0.02,True,0.19990000000000002,False,0.02,True,1.0,False
assist2012,1,question,no_s3,akt,valid,536087,5497,0.777545,0.007766,0.772772,0.004773,0.001,0.014935,-0.007169,0.001,0.778036,-0.00049,0.002999,0.002064,0.005702,0.001,0.778928,-0.001383,0.001,0.003226,0.00454,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,2,question,full,akt,valid,536087,5497,0.777015,0.006592,0.771735,0.005281,0.001,0.014769,-0.008178,0.001,0.777755,-0.00074,0.001,0.001825,0.004767,0.001,0.778502,-0.001487,0.001,0.002746,0.003846,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,2,question,no_s1,akt,valid,536087,5497,0.778439,0.002354,0.771735,0.006704,0.001,0.014769,-0.012415,0.001,0.777755,0.000684,0.001,0.001825,0.000529,0.77961,0.778502,-6.3e-05,0.001,0.002746,-0.000392,0.762619,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2012,2,question,global_s1,akt,valid,536087,5497,0.778444,0.002523,0.771735,0.006709,0.001,0.014769,-0.012246,0.001,0.777755,0.000689,0.001,0.001825,0.000698,0.61969,0.778502,-5.9e-05,0.016992,0.002746,-0.000223,0.993503,0.02,True,0.02,True,0.02,True,1.0,False,0.033984,True,1.0,False
assist2012,2,question,no_s3,akt,valid,536087,5497,0.777074,0.007111,0.771735,0.00534,0.001,0.014769,-0.007659,0.001,0.777755,-0.000681,0.001,0.001825,0.005286,0.001,0.778502,-0.001428,0.001,0.002746,0.004365,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,3,question,full,akt,valid,536087,5497,0.777274,0.008087,0.771509,0.005765,0.001,0.014137,-0.00605,0.001,0.777817,-0.000543,0.001999,0.001666,0.006421,0.001,0.778609,-0.001336,0.001,0.002641,0.005446,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,3,question,no_s1,akt,valid,536087,5497,0.778538,0.003007,0.771509,0.007029,0.001,0.014137,-0.011129,0.001,0.777817,0.00072,0.001,0.001666,0.001342,0.094953,0.778609,-7.2e-05,0.001,0.002641,0.000366,0.526737,0.02,True,0.02,True,0.02,True,0.671664,False,0.02,True,1.0,False
assist2012,3,question,global_s1,akt,valid,536087,5497,0.778509,0.003128,0.771509,0.007,0.001,0.014137,-0.011009,0.001,0.777817,0.000692,0.001,0.001666,0.001462,0.083958,0.778609,-0.0001,0.001,0.002641,0.000487,0.391804,0.02,True,0.02,True,0.02,True,0.671664,False,0.02,True,1.0,False
assist2012,3,question,no_s3,akt,valid,536087,5497,0.777332,0.008318,0.771509,0.005824,0.001,0.014137,-0.005819,0.001,0.777817,-0.000485,0.001999,0.001666,0.006652,0.001,0.778609,-0.001277,0.001,0.002641,0.005676,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,4,question,full,akt,valid,536087,5497,0.777269,0.006959,0.772492,0.004776,0.001,0.01261,-0.005652,0.001,0.778014,-0.000745,0.001,0.002003,0.004956,0.001,0.778707,-0.001438,0.001,0.00244,0.004519,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2012,4,question,no_s1,akt,valid,536087,5497,0.778634,0.002643,0.772492,0.006141,0.001,0.01261,-0.009967,0.001,0.778014,0.00062,0.001,0.002003,0.00064,0.372814,0.778707,-7.3e-05,0.001,0.00244,0.000203,0.484758,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2012,4,question,global_s1,akt,valid,536087,5497,0.778728,0.002772,0.772492,0.006235,0.001,0.01261,-0.009838,0.001,0.778014,0.000714,0.001,0.002003,0.000769,0.375812,0.778707,2.1e-05,0.416792,0.00244,0.000332,0.542729,0.02,True,0.02,True,0.02,True,1.0,False,0.416792,False,1.0,False
assist2012,4,question,no_s3,akt,valid,536087,5497,0.777369,0.007002,0.772492,0.004877,0.001,0.01261,-0.005608,0.001,0.778014,-0.000645,0.001,0.002003,0.004999,0.001,0.778707,-0.001337,0.001,0.00244,0.004562,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
ednet,0,question,full,simplekt,valid,132209,937,0.685011,0.022655,0.658462,0.026549,0.001,0.148408,-0.125754,0.001,0.665357,0.019654,0.001,0.015092,0.007563,0.073963,0.679223,0.005788,0.001,0.015646,0.007009,0.055972,0.02,True,0.02,True,0.02,True,0.7196400000000001,False,0.02,True,0.7276360000000001,False
ednet,0,question,no_s1,simplekt,valid,132209,937,0.67905,0.010129,0.658462,0.020588,0.001,0.148408,-0.138279,0.001,0.665357,0.013693,0.001,0.015092,-0.004963,0.050975,0.679223,-0.000174,0.006997,0.015646,-0.005517,0.022989,0.02,True,0.02,True,0.02,True,0.662675,False,0.062973,False,0.367824,False
ednet,0,question,global_s1,simplekt,valid,132209,937,0.679211,0.013822,0.658462,0.020749,0.001,0.148408,-0.134587,0.001,0.665357,0.013854,0.001,0.015092,-0.00127,0.283858,0.679223,-1.2e-05,0.941529,0.015646,-0.001824,0.267866,0.02,True,0.02,True,0.02,True,1.0,False,0.941529,False,1.0,False
ednet,0,question,no_s3,simplekt,valid,132209,937,0.684799,0.023453,0.658462,0.026337,0.001,0.148408,-0.124955,0.001,0.665357,0.019442,0.001,0.015092,0.008361,0.071964,0.679223,0.005576,0.001,0.015646,0.007807,0.071964,0.02,True,0.02,True,0.02,True,0.7196400000000001,False,0.02,True,0.863568,False
ednet,1,question,full,simplekt,valid,132209,937,0.687563,0.02428,0.659407,0.028156,0.001,0.132468,-0.108188,0.001,0.664904,0.022658,0.001,0.028481,-0.004201,0.118941,0.682024,0.005539,0.001,0.026042,-0.001762,0.212894,0.02,True,0.02,True,0.02,True,0.8325870000000001,False,0.02,True,1.0,False
ednet,1,question,no_s1,simplekt,valid,132209,937,0.681887,0.021682,0.659407,0.02248,0.001,0.132468,-0.110786,0.001,0.664904,0.016982,0.001,0.028481,-0.006799,0.001,0.682024,-0.000137,0.012994,0.026042,-0.004361,0.006997,0.02,True,0.02,True,0.02,True,0.02,True,0.103952,False,0.118949,False
ednet,1,question,global_s1,simplekt,valid,132209,937,0.683055,0.020974,0.659407,0.023648,0.001,0.132468,-0.111494,0.001,0.664904,0.01815,0.001,0.028481,-0.007507,0.001,0.682024,0.001031,0.135932,0.026042,-0.005068,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.543728,False,0.02,True
ednet,1,question,no_s3,simplekt,valid,132209,937,0.687046,0.025354,0.659407,0.02764,0.001,0.132468,-0.107114,0.001,0.664904,0.022142,0.001,0.028481,-0.003127,0.268866,0.682024,0.005023,0.001,0.026042,-0.000688,0.5997,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
ednet,2,question,full,simplekt,valid,132209,937,0.682993,0.023006,0.657867,0.025126,0.001,0.146561,-0.123555,0.001,0.662051,0.020942,0.001,0.013229,0.009778,0.056972,0.676976,0.006017,0.001,0.0176,0.005406,0.210895,0.02,True,0.02,True,0.02,True,0.683664,False,0.02,True,1.0,False
ednet,2,question,no_s1,simplekt,valid,132209,937,0.676902,0.007751,0.657867,0.019035,0.001,0.146561,-0.138811,0.001,0.662051,0.014851,0.001,0.013229,-0.005478,0.04098,0.676976,-7.5e-05,0.187906,0.0176,-0.00985,0.048976,0.02,True,0.02,True,0.02,True,0.57372,False,0.543728,False,0.7046549999999999,False
ednet,2,question,global_s1,simplekt,valid,132209,937,0.679598,0.009868,0.657867,0.021732,0.001,0.146561,-0.136693,0.001,0.662051,0.017547,0.001,0.013229,-0.00336,0.076962,0.676976,0.002622,0.001,0.0176,-0.007732,0.046977,0.02,True,0.02,True,0.02,True,0.7196400000000001,False,0.02,True,0.7046549999999999,False
ednet,2,question,no_s3,simplekt,valid,132209,937,0.682975,0.02258,0.657867,0.025108,0.001,0.146561,-0.123982,0.001,0.662051,0.020924,0.001,0.013229,0.009351,0.063968,0.676976,0.005999,0.001,0.0176,0.004979,0.268866,0.02,True,0.02,True,0.02,True,0.7036479999999999,False,0.02,True,1.0,False
ednet,3,question,full,simplekt,valid,132209,937,0.683214,0.024853,0.65679,0.026424,0.001,0.145087,-0.120234,0.001,0.659729,0.023485,0.001,0.022827,0.002026,0.687656,0.676326,0.006888,0.001,0.027809,-0.002957,0.237881,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
ednet,3,question,no_s1,simplekt,valid,132209,937,0.676641,0.018321,0.65679,0.019851,0.001,0.145087,-0.126766,0.001,0.659729,0.016911,0.001,0.022827,-0.004506,0.003998,0.676326,0.000314,0.026987,0.027809,-0.009488,0.001,0.02,True,0.02,True,0.02,True,0.067966,False,0.188909,False,0.02,True
ednet,3,question,global_s1,simplekt,valid,132209,937,0.677218,0.019651,0.65679,0.020428,0.001,0.145087,-0.125436,0.001,0.659729,0.017489,0.001,0.022827,-0.003176,0.024988,0.676326,0.000892,0.153923,0.027809,-0.008158,0.001,0.02,True,0.02,True,0.02,True,0.37482,False,0.543728,False,0.02,True
ednet,3,question,no_s3,simplekt,valid,132209,937,0.682862,0.023686,0.65679,0.026072,0.001,0.145087,-0.121401,0.001,0.659729,0.023133,0.001,0.022827,0.000859,0.84058,0.676326,0.006536,0.001,0.027809,-0.004123,0.262869,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
ednet,4,question,full,simplekt,valid,132209,937,0.685137,0.01798,0.653691,0.031447,0.001,0.142891,-0.124911,0.001,0.660204,0.024933,0.001,0.017402,0.000578,0.983508,0.676922,0.008215,0.001,0.014804,0.003177,0.451774,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
ednet,4,question,no_s1,simplekt,valid,132209,937,0.67673,0.007611,0.653691,0.02304,0.001,0.142891,-0.135281,0.001,0.660204,0.016526,0.001,0.017402,-0.009792,0.001,0.676922,-0.000192,0.043978,0.014804,-0.007193,0.084958,0.02,True,0.02,True,0.02,True,0.02,True,0.263868,False,0.9345380000000001,False
ednet,4,question,global_s1,simplekt,valid,132209,937,0.678133,0.008306,0.653691,0.024442,0.001,0.142891,-0.134585,0.001,0.660204,0.017929,0.001,0.017402,-0.009096,0.008996,0.676922,0.001211,0.044978,0.014804,-0.006498,0.215892,0.02,True,0.02,True,0.02,True,0.143936,False,0.263868,False,1.0,False
ednet,4,question,no_s3,simplekt,valid,132209,937,0.685137,0.017923,0.653691,0.031447,0.001,0.142891,-0.124968,0.001,0.660204,0.024933,0.001,0.017402,0.000521,0.994503,0.676922,0.008215,0.001,0.014804,0.00312,0.488756,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
