dataset,fold,granularity,variant,best_single_model,best_single_selected_on,n_test,n_students,ccce_auc,ccce_ece,best_auc,delta_auc_vs_best,auc_p_vs_best,best_ece,delta_ece_vs_best,ece_p_vs_best,stack_auc,delta_auc_vs_stack,auc_p_vs_stack,stack_ece,delta_ece_vs_stack,ece_p_vs_stack,static_auc,delta_auc_vs_static,auc_p_vs_static,static_ece,delta_ece_vs_static,ece_p_vs_static,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm,auc_p_vs_static_holm,auc_p_vs_static_reject_holm,ece_p_vs_static_holm,ece_p_vs_static_reject_holm
assist2009,4,question,no_s1,simplekt,valid,52254,770,0.785979,0.010291,0.766135,0.019844,0.001,0.111292,-0.101002,0.001,0.782027,0.003952,0.001,0.010668,-0.000378,0.688656,0.786151,-0.000172,0.004998,0.011105,-0.000814,0.824588,0.02,True,0.02,True,0.02,True,1.0,False,0.04998,True,1.0,False
assist2009,4,question,global_s1,simplekt,valid,52254,770,0.785662,0.011538,0.766135,0.019527,0.001,0.111292,-0.099754,0.001,0.782027,0.003635,0.001,0.010668,0.000869,0.64068,0.786151,-0.000489,0.004998,0.011105,0.000433,0.892554,0.02,True,0.02,True,0.02,True,1.0,False,0.04998,True,1.0,False
assist2009,4,question,no_s3,simplekt,valid,52254,770,0.782925,0.023718,0.766135,0.01679,0.001,0.111292,-0.087574,0.001,0.782027,0.000899,0.368816,0.010668,0.01305,0.001,0.786151,-0.003226,0.003998,0.011105,0.012614,0.001,0.02,True,0.02,True,1.0,False,0.02,True,0.047976,True,0.02,True
assist2017,0,question,full,akt,valid,177767,341,0.768595,0.012731,0.758263,0.010332,0.001,0.015686,-0.002955,0.008996,0.769958,-0.001363,0.001,0.004197,0.008535,0.001,0.770687,-0.002092,0.001,0.004779,0.007952,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,0,question,no_s1,akt,valid,177767,341,0.770539,0.005174,0.758263,0.012276,0.001,0.015686,-0.010513,0.001,0.769958,0.000581,0.021989,0.004197,0.000977,0.287856,0.770687,-0.000149,0.001,0.004779,0.000394,0.721639,0.02,True,0.02,True,0.175912,False,1.0,False,0.02,True,1.0,False
assist2017,0,question,global_s1,akt,valid,177767,341,0.770406,0.005353,0.758263,0.012142,0.001,0.015686,-0.010333,0.001,0.769958,0.000448,0.082959,0.004197,0.001157,0.230885,0.770687,-0.000282,0.001,0.004779,0.000574,0.595702,0.02,True,0.02,True,0.580713,False,1.0,False,0.02,True,1.0,False
assist2017,0,question,no_s3,akt,valid,177767,341,0.768698,0.011042,0.758263,0.010435,0.001,0.015686,-0.004644,0.009995,0.769958,-0.00126,0.001,0.004197,0.006846,0.001,0.770687,-0.001989,0.001,0.004779,0.006263,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,1,question,full,akt,valid,177767,341,0.769157,0.011496,0.758171,0.010986,0.001,0.01577,-0.004274,0.001,0.770683,-0.001525,0.001,0.004285,0.00721,0.001,0.771435,-0.002278,0.001,0.005054,0.006442,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,1,question,no_s1,akt,valid,177767,341,0.771325,0.005058,0.758171,0.013154,0.001,0.01577,-0.010712,0.001,0.770683,0.000643,0.001,0.004285,0.000773,0.264868,0.771435,-0.00011,0.001,0.005054,4e-06,0.422789,0.02,True,0.02,True,0.02,True,1.0,False,0.02,True,1.0,False
assist2017,1,question,global_s1,akt,valid,177767,341,0.771314,0.005373,0.758171,0.013143,0.001,0.01577,-0.010397,0.001,0.770683,0.000631,0.001,0.004285,0.001088,0.204898,0.771435,-0.000121,0.023988,0.005054,0.000319,0.323838,0.02,True,0.02,True,0.02,True,1.0,False,0.05997,False,1.0,False
assist2017,1,question,no_s3,akt,valid,177767,341,0.769359,0.010067,0.758171,0.011187,0.001,0.01577,-0.005703,0.002999,0.770683,-0.001324,0.001,0.004285,0.005782,0.001,0.771435,-0.002077,0.001,0.005054,0.005013,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,2,question,full,akt,valid,177767,341,0.767232,0.011895,0.757625,0.009607,0.001,0.017892,-0.005997,0.001,0.768838,-0.001606,0.001,0.006615,0.00528,0.001,0.769395,-0.002163,0.001,0.005821,0.006074,0.001,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True,0.02,True
assist2017,2,question,no_s1,akt,valid,177767,341,0.769295,0.006111,0.757625,0.01167,0.001,0.017892,-0.01178,0.001,0.768838,0.000457,0.101949,0.006615,-0.000503,0.987506,0.769395,-0.0001,0.001,0.005821,0.00029,0.762619,0.02,True,0.02,True,0.611694,False,1.0,False,0.02,True,1.0,False
