dataset,fold,granularity,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,k_top,moe_train_sec,moe_auc,moe_ece,moe_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_moe_vs_best_auc,lift_moe_vs_best_ece,lift_moe_vs_mean_auc,lift_moe_vs_mean_ece,lift_moe_vs_stack_auc,lift_moe_vs_stack_ece,lift_moe_vs_static_auc,lift_moe_vs_static_ece,lift_moe_vs_ccce_auc,lift_moe_vs_ccce_ece
algebra2005,4,question,"dkt,sakt,akt,simplekt",akt,valid,akt,89450,92945,2,0.8,0.82962,0.013827,0.132505,0.837089,0.006523,0.128891,0.837544,0.00504,0.128704,0.830624,0.014112,0.131937,0.826365,0.018225,0.134303,0.813399,0.027323,0.139301,0.016221,-0.013496,0.003255,-0.004398,-0.001005,-0.000285,-0.007924,0.008788,-0.007469,0.007305
bridge2algebra2006,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,276786,352370,2,1.2,0.816304,0.004814,0.105007,0.819853,0.003934,0.10408,0.81998,0.003223,0.10403,0.819735,0.003304,0.104387,0.814689,0.012291,0.105762,0.807972,0.008721,0.107056,0.008331,-0.003907,0.001615,-0.007477,-0.003432,0.00151,-0.003676,0.001591,-0.00355,0.000879
bridge2algebra2006,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,286535,352370,2,2.7,0.816848,0.004802,0.104604,0.821822,0.005114,0.103561,0.821856,0.004136,0.103532,0.821489,0.00363,0.103709,0.816829,0.013602,0.105225,0.806718,0.006749,0.107502,0.01013,-0.001947,2e-05,-0.008801,-0.004641,0.001172,-0.005008,0.000666,-0.004974,-0.000312
bridge2algebra2006,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,301562,352370,2,2.3,0.81716,0.004622,0.104593,0.821187,0.005359,0.103628,0.821136,0.005448,0.103629,0.821535,0.003645,0.103815,0.817075,0.013361,0.105042,0.807446,0.007236,0.107317,0.009714,-0.002614,8.5e-05,-0.00874,-0.004374,0.000976,-0.003975,-0.000826,-0.004026,-0.000738
bridge2algebra2006,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,307842,352370,2,2.9,0.815412,0.005295,0.105112,0.819266,0.005835,0.104217,0.819319,0.005199,0.10421,0.818379,0.004311,0.104758,0.813184,0.015552,0.106341,0.805745,0.006766,0.107702,0.009666,-0.001471,0.002227,-0.010257,-0.002967,0.000984,-0.003907,9.7e-05,-0.003854,-0.00054
bridge2algebra2006,4,question,"dkt,sakt,akt,simplekt",akt,valid,akt,282684,352370,2,1.7,0.815106,0.009991,0.105293,0.820212,0.004184,0.104171,0.820222,0.0037,0.104148,0.818336,0.002115,0.104515,0.812273,0.015749,0.10594,0.805861,0.009314,0.107894,0.009245,0.000677,0.002833,-0.005758,-0.00323,0.007876,-0.005116,0.00629,-0.005106,0.005806
assist2012,0,question,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,2,1.9,0.77355,0.005189,0.167696,0.778451,0.001859,0.166107,0.778567,0.001781,0.166071,0.777844,0.002019,0.166303,0.771622,0.026273,0.169221,0.772909,0.014961,0.168261,0.000641,-0.009771,0.001928,-0.021083,-0.004294,0.00317,-0.005017,0.003408,-0.004901,0.00333
assist2012,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,2,4.1,0.773088,0.004389,0.167815,0.77884,0.004006,0.166046,0.778928,0.003226,0.166014,0.778036,0.002064,0.166272,0.771671,0.024466,0.169108,0.772772,0.014935,0.168316,0.000316,-0.010545,0.001417,-0.020077,-0.004947,0.002326,-0.00584,0.001163,-0.005751,0.000384
assist2012,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,2,1.5,0.774564,0.004953,0.16739,0.778444,0.002523,0.166141,0.778502,0.002746,0.16613,0.777755,0.001825,0.16635,0.770889,0.024337,0.169446,0.771735,0.014769,0.168718,0.002829,-0.009817,0.003675,-0.019385,-0.003191,0.003128,-0.003938,0.002207,-0.00388,0.00243
assist2012,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,2,3.0,0.774277,0.003569,0.167507,0.778509,0.003128,0.166164,0.778609,0.002641,0.166109,0.777817,0.001666,0.166318,0.771283,0.024788,0.169284,0.771509,0.014137,0.168699,0.002769,-0.010568,0.002994,-0.021219,-0.00354,0.001903,-0.004332,0.000928,-0.004232,0.000441
assist2012,4,question,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,2,2.0,0.774724,0.004053,0.167449,0.778728,0.002772,0.166049,0.778707,0.00244,0.166066,0.778014,0.002003,0.166279,0.771679,0.022791,0.169189,0.772492,0.01261,0.168315,0.002231,-0.008557,0.003045,-0.018738,-0.00329,0.002051,-0.003983,0.001614,-0.004004,0.001281
ednet,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,77883,132209,2,0.8,0.636883,0.084092,0.223793,0.679211,0.013822,0.203979,0.679223,0.015646,0.204232,0.665357,0.015092,0.207719,0.63232,0.086524,0.227431,0.658462,0.148408,0.237773,-0.021579,-0.064316,0.004562,-0.002432,-0.028474,0.069001,-0.042341,0.068446,-0.042328,0.07027
ednet,1,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,110391,132209,2,1.1,0.638983,0.084265,0.223677,0.683055,0.020974,0.203316,0.682024,0.026042,0.203889,0.664904,0.028481,0.208277,0.63288,0.085113,0.227789,0.659407,0.132468,0.232739,-0.020424,-0.048203,0.006103,-0.000848,-0.025922,0.055784,-0.043041,0.058223,-0.044072,0.063291
ednet,2,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,85108,132209,2,0.9,0.638129,0.080688,0.223402,0.679598,0.009868,0.203997,0.676976,0.0176,0.204734,0.662051,0.013229,0.208276,0.632649,0.087569,0.22719,0.657867,0.146561,0.237687,-0.019738,-0.065874,0.005479,-0.006881,-0.023922,0.067459,-0.038848,0.063087,-0.04147,0.07082
ednet,3,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,90433,132209,2,0.9,0.638949,0.08008,0.222292,0.677218,0.019651,0.204435,0.676326,0.027809,0.205063,0.659729,0.022827,0.209043,0.632972,0.085275,0.226925,0.65679,0.145087,0.237052,-0.017841,-0.065007,0.005977,-0.005195,-0.02078,0.057253,-0.037377,0.052271,-0.038269,0.060429
ednet,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,92249,132209,2,0.7,0.631088,0.088669,0.226652,0.678133,0.008306,0.204145,0.676922,0.014804,0.204474,0.660204,0.017402,0.208855,0.630837,0.08795,0.229484,0.653691,0.142891,0.238855,-0.022602,-0.054222,0.000252,0.00072,-0.029115,0.071267,-0.045834,0.073866,-0.047045,0.080364
