dataset,n_rows_question,auc_best_question,n_rows_concept,auc_best_concept,expansion
algebra2005,92945,0.8145622636753483,134674,0.9214490102328264,1.4489644413362741
assist2009,52254,0.7633826857509313,61904,0.8302182764674996,1.1846748574271826
assist2012,536087,0.7722833024306801,536087,0.772283329175991,1.0
assist2015,-1,,134592,0.7268129122698582,
assist2017,177767,0.7580517119418442,177767,0.7580516751792065,1.0
bridge2algebra2006,352370,0.806748397483832,353631,0.8070970180774155,1.0035786247410392
ednet,132209,0.6572432254629146,301372,0.9407314532404241,2.2795119848119265
