dataset,fold,granularity,cross_fit,cross_fit_unit,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,ccce_full_auc,ccce_full_ece,ccce_full_brier,lift_full_vs_best_auc,lift_full_vs_stack_auc,lift_full_vs_static_auc,lift_full_vs_best_ece,lift_full_vs_stack_ece,lift_full_vs_static_ece,ccce_no_s1_auc,ccce_no_s1_ece,ccce_no_s1_brier,lift_no_s1_vs_best_auc,lift_no_s1_vs_stack_auc,lift_no_s1_vs_static_auc,lift_no_s1_vs_best_ece,lift_no_s1_vs_stack_ece,lift_no_s1_vs_static_ece,ccce_global_s1_auc,ccce_global_s1_ece,ccce_global_s1_brier,lift_global_s1_vs_best_auc,lift_global_s1_vs_stack_auc,lift_global_s1_vs_static_auc,lift_global_s1_vs_best_ece,lift_global_s1_vs_stack_ece,lift_global_s1_vs_static_ece,ccce_no_s3_auc,ccce_no_s3_ece,ccce_no_s3_brier,lift_no_s3_vs_best_auc,lift_no_s3_vs_stack_auc,lift_no_s3_vs_static_auc,lift_no_s3_vs_best_ece,lift_no_s3_vs_stack_ece,lift_no_s3_vs_static_ece
assist2017,0,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,153067,177767,0.770687,0.00478,0.183694,0.769958,0.004208,0.18388,0.76334,0.038864,0.188194,0.758263,0.015664,0.188321,0.768565,0.012513,0.184987,0.010302,-0.001393,-0.002123,-0.003151,0.008305,0.007733,0.770546,0.00502,0.183776,0.012282,0.000587,-0.000142,-0.010643,0.000813,0.000241,0.770396,0.00514,0.183849,0.012133,0.000438,-0.000291,-0.010523,0.000933,0.000361,0.768676,0.011021,0.184953,0.010413,-0.001282,-0.002011,-0.004643,0.006813,0.006241
assist2017,1,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,141938,177767,0.771435,0.005043,0.183412,0.770683,0.004297,0.183613,0.763435,0.037727,0.188127,0.758171,0.015759,0.188319,0.769152,0.011989,0.184801,0.010981,-0.001531,-0.002284,-0.00377,0.007692,0.006946,0.771315,0.005217,0.183487,0.013144,0.000632,-0.000121,-0.010541,0.00092,0.000174,0.771347,0.00596,0.183458,0.013176,0.000665,-8.8e-05,-0.009798,0.001663,0.000917,0.769349,0.0103,0.184728,0.011178,-0.001333,-0.002086,-0.005458,0.006003,0.005257
assist2017,2,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,145879,177767,0.769396,0.005833,0.184158,0.768838,0.006604,0.184331,0.76173,0.043908,0.189212,0.757625,0.017903,0.18869,0.767215,0.011925,0.185377,0.00959,-0.001623,-0.00218,-0.005978,0.005321,0.006092,0.769275,0.006262,0.184201,0.01165,0.000437,-0.000121,-0.011641,-0.000341,0.000429,0.769123,0.006862,0.18427,0.011498,0.000285,-0.000273,-0.011041,0.000258,0.001029,0.767363,0.010407,0.185345,0.009738,-0.001475,-0.002033,-0.007495,0.003804,0.004575
assist2017,3,concept,0,row,"dkt,sakt,akt,simplekt",akt,valid,akt,168980,177767,0.769895,0.00436,0.183863,0.769464,0.004129,0.184,0.763362,0.045767,0.188935,0.758611,0.017114,0.188194,0.768204,0.013568,0.18515,0.009593,-0.00126,-0.00169,-0.003546,0.009439,0.009208,0.769742,0.005451,0.183988,0.011131,0.000278,-0.000152,-0.011663,0.001322,0.001091,0.769831,0.006278,0.183977,0.01122,0.000367,-6.3e-05,-0.010836,0.002149,0.001918,0.76839,0.011671,0.185055,0.009779,-0.001074,-0.001505,-0.005443,0.007542,0.007311
assist2017,4,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,akt,149617,177767,0.772146,0.006403,0.183178,0.772106,0.007563,0.183199,0.765056,0.043458,0.18816,0.757588,0.030158,0.188883,0.769998,0.011681,0.184586,0.01241,-0.002108,-0.002148,-0.018478,0.004118,0.005278,0.772033,0.004449,0.183214,0.014445,-7.3e-05,-0.000113,-0.025709,-0.003113,-0.001954,0.772137,0.004302,0.183168,0.014549,3.1e-05,-9e-06,-0.025856,-0.00326,-0.0021,0.770165,0.010931,0.18454,0.012577,-0.001941,-0.001981,-0.019228,0.003368,0.004528
algebra2005,0,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,164550,134674,0.931894,0.005848,0.087731,0.930244,0.006775,0.088723,0.92735,0.012641,0.09073,0.92167,0.023673,0.09472,0.930009,0.007768,0.088322,0.008339,-0.000235,-0.001884,-0.015905,0.000993,0.001921,0.931792,0.004956,0.087753,0.010122,0.001548,-0.000102,-0.018717,-0.001819,-0.000892,0.931907,0.005133,0.087676,0.010237,0.001663,1.3e-05,-0.01854,-0.001642,-0.000714,0.930696,0.007424,0.088263,0.009026,0.000452,-0.001198,-0.016249,0.000649,0.001577
algebra2005,1,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,simplekt,163830,134674,0.930502,0.006174,0.088757,0.928356,0.006756,0.090061,0.925269,0.01372,0.092153,0.919094,0.006517,0.094264,0.928815,0.008677,0.089423,0.009721,0.000459,-0.001687,0.00216,0.001922,0.002503,0.930441,0.005889,0.088798,0.011347,0.002085,-6.1e-05,-0.000628,-0.000867,-0.000285,0.930495,0.006175,0.088769,0.011401,0.002139,-7e-06,-0.000342,-0.00058,1e-06,0.929384,0.008487,0.089361,0.01029,0.001028,-0.001118,0.00197,0.001731,0.002313
algebra2005,2,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,146472,134674,0.931982,0.004561,0.087472,0.930254,0.005551,0.088618,0.926624,0.015585,0.091357,0.922659,0.029509,0.094508,0.930193,0.007179,0.088083,0.007534,-6e-05,-0.001788,-0.02233,0.001627,0.002618,0.931904,0.004797,0.087518,0.009245,0.00165,-7.8e-05,-0.024712,-0.000754,0.000236,0.932012,0.004834,0.087435,0.009353,0.001759,3.1e-05,-0.024675,-0.000717,0.000274,0.930791,0.006827,0.088057,0.008132,0.000538,-0.00119,-0.022682,0.001276,0.002266
algebra2005,3,concept,0,row,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,139259,134674,0.932104,0.002634,0.087274,0.930304,0.001564,0.088465,0.92682,0.012038,0.090827,0.923337,0.029115,0.09361,0.929673,0.006402,0.088131,0.006336,-0.000631,-0.002431,-0.022713,0.004838,0.003768,0.932021,0.003531,0.08728,0.008684,0.001717,-8.3e-05,-0.025584,0.001967,0.000897,0.931946,0.003546,0.087358,0.008609,0.001642,-0.000158,-0.025569,0.001982,0.000912,0.930462,0.006215,0.088098,0.007125,0.000158,-0.001642,-0.022899,0.004652,0.003581
algebra2005,4,concept,0,row,"dkt,sakt,akt,simplekt",dkt,valid,simplekt,130601,134674,0.931189,0.002393,0.088172,0.929469,0.002459,0.089255,0.926522,0.01037,0.09107,0.920485,0.006696,0.093475,0.928697,0.006843,0.089097,0.008212,-0.000773,-0.002493,0.000147,0.004384,0.004449,0.931094,0.004121,0.088263,0.010609,0.001625,-9.5e-05,-0.002575,0.001662,0.001727,0.931004,0.003301,0.088276,0.010519,0.001535,-0.000185,-0.003395,0.000842,0.000907,0.929528,0.00581,0.089011,0.009043,5.9e-05,-0.001662,-0.000886,0.003351,0.003417
