dataset,fold,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,n_concepts_fit,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2012,2,global_stack_concept_intercept,bkt,valid,542817,5497,cluster,208,0.698965,0.004508,0.680908,0.018057,0.016584,0.0194,0.0,0.00762,-0.003112,0.0,0.696493,0.002471,0.001923,0.003036,0.0,0.003988,0.00052,0.319,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,2,linear_gating,bkt,valid,542817,5497,cluster,-1,0.686972,0.025119,0.680908,0.006064,0.005189,0.006829,0.0,0.00762,0.017499,0.0,0.696493,-0.009521,-0.010337,-0.008766,0.0,0.003988,0.021132,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,3,static_concept_weights,bkt,valid,542817,5497,cluster,205,0.698774,0.00478,0.680942,0.017832,0.016335,0.019297,0.0,0.008015,-0.003235,0.0,0.696656,0.002117,0.001499,0.002713,0.0,0.004079,0.000701,0.361,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,3,global_stack_concept_intercept,bkt,valid,542817,5497,cluster,205,0.698821,0.004906,0.680942,0.017879,0.016432,0.019263,0.0,0.008015,-0.003109,0.0,0.696656,0.002165,0.001651,0.002686,0.0,0.004079,0.000827,0.176,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,3,linear_gating,bkt,valid,542817,5497,cluster,-1,0.688004,0.025783,0.680942,0.007062,0.006189,0.007829,0.0,0.008015,0.017768,0.0,0.696656,-0.008653,-0.009404,-0.007941,0.0,0.004079,0.021703,0.0,0.0,True,0.0,True,0.0,True,0.0,True
assist2012,4,static_concept_weights,bkt,valid,542817,5497,cluster,209,0.698722,0.002723,0.680866,0.017856,0.016347,0.019349,0.0,0.008151,-0.005428,0.0,0.696552,0.00217,0.001516,0.002795,0.0,0.004083,-0.001361,0.15,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,4,global_stack_concept_intercept,bkt,valid,542817,5497,cluster,209,0.699018,0.003739,0.680866,0.018153,0.016661,0.019561,0.0,0.008151,-0.004411,0.0,0.696552,0.002467,0.001965,0.002965,0.0,0.004083,-0.000344,0.411,0.0,True,0.0,True,0.0,True,1.0,False
assist2012,4,linear_gating,bkt,valid,542817,5497,cluster,-1,0.687443,0.025274,0.680866,0.006577,0.005721,0.007362,0.0,0.008151,0.017124,0.0,0.696552,-0.009109,-0.009876,-0.008374,0.0,0.004083,0.021191,0.0,0.0,True,0.0,True,0.0,True,0.0,True
ednet,0,static_concept_weights,elorasch,valid,133974,937,cluster,91,0.644662,0.014172,0.641491,0.003171,-0.000635,0.007764,0.11,0.047139,-0.032967,0.0,0.647552,-0.00289,-0.005958,0.00014,0.069,0.011674,0.002498,0.223,0.11,False,0.0,True,0.48300000000000004,False,1.0,False
ednet,0,global_stack_concept_intercept,elorasch,valid,133974,937,cluster,91,0.647092,0.014895,0.641491,0.005601,0.003009,0.008747,0.0,0.047139,-0.032244,0.0,0.647552,-0.00046,-0.001847,0.001065,0.569,0.011674,0.003221,0.201,0.0,True,0.0,True,1.0,False,1.0,False
ednet,0,linear_gating,elorasch,valid,133974,937,cluster,-1,0.635242,0.04406,0.641491,-0.006249,-0.009464,-0.002162,0.002,0.047139,-0.003079,0.505,0.647552,-0.012311,-0.014694,-0.010023,0.0,0.011674,0.032386,0.0,0.014,True,1.0,False,0.0,True,0.0,True
ednet,1,static_concept_weights,elorasch,valid,133974,937,cluster,91,0.647448,0.007227,0.640902,0.006546,0.004007,0.009711,0.0,0.04591,-0.038683,0.0,0.646918,0.00053,-0.000864,0.002032,0.46,0.010888,-0.00366,0.066,0.0,True,0.0,True,1.0,False,0.5940000000000001,False
ednet,1,global_stack_concept_intercept,elorasch,valid,133974,937,cluster,91,0.648329,0.0082,0.640902,0.007427,0.005408,0.010031,0.0,0.04591,-0.03771,0.0,0.646918,0.001411,0.000422,0.00246,0.008,0.010888,-0.002688,0.203,0.0,True,0.0,True,0.07200000000000001,False,1.0,False
ednet,1,linear_gating,elorasch,valid,133974,937,cluster,-1,0.63573,0.042276,0.640902,-0.005172,-0.008365,-0.001244,0.009,0.04591,-0.003634,0.43,0.646918,-0.011188,-0.013741,-0.008658,0.0,0.010888,0.031388,0.0,0.045,True,1.0,False,0.0,True,0.0,True
ednet,2,static_concept_weights,elorasch,valid,133974,937,cluster,90,0.645971,0.012143,0.641586,0.004385,0.001664,0.007823,0.002,0.04684,-0.034697,0.0,0.647616,-0.001645,-0.003104,1.7e-05,0.052,0.011909,0.000234,0.956,0.014,True,0.0,True,0.416,False,1.0,False
ednet,2,global_stack_concept_intercept,elorasch,valid,133974,937,cluster,90,0.647311,0.014009,0.641586,0.005724,0.003302,0.008689,0.0,0.04684,-0.032831,0.0,0.647616,-0.000305,-0.001194,0.00075,0.547,0.011909,0.0021,0.342,0.0,True,0.0,True,1.0,False,1.0,False
ednet,2,linear_gating,elorasch,valid,133974,937,cluster,-1,0.636461,0.043047,0.641586,-0.005126,-0.008408,-0.000876,0.019,0.04684,-0.003793,0.402,0.647616,-0.011155,-0.013223,-0.009011,0.0,0.011909,0.031138,0.0,0.076,False,1.0,False,0.0,True,0.0,True
ednet,3,static_concept_weights,bkt,valid,133974,937,cluster,91,0.641091,0.013328,0.628835,0.012257,0.006446,0.017109,0.0,0.018296,-0.004967,0.191,0.646137,-0.005046,-0.00862,-0.001283,0.002,0.016856,-0.003528,0.11,0.0,True,1.0,False,0.02,True,0.88,False
ednet,3,global_stack_concept_intercept,bkt,valid,133974,937,cluster,91,0.64599,0.013578,0.628835,0.017155,0.011054,0.023495,0.0,0.018296,-0.004718,0.402,0.646137,-0.000147,-0.001138,0.000835,0.777,0.016856,-0.003278,0.014,0.0,True,1.0,False,1.0,False,0.14,False
ednet,3,linear_gating,bkt,valid,133974,937,cluster,-1,0.636994,0.038932,0.628835,0.008159,0.000648,0.016501,0.026,0.018296,0.020637,0.0,0.646137,-0.009144,-0.011719,-0.006753,0.0,0.016856,0.022076,0.0,0.076,False,0.0,True,0.0,True,0.0,True
ednet,4,static_concept_weights,elorasch,valid,133974,937,cluster,91,0.647337,0.009911,0.641109,0.006228,0.003487,0.009723,0.0,0.045742,-0.035831,0.0,0.647645,-0.000308,-0.002275,0.001872,0.804,0.010886,-0.000975,0.981,0.0,True,0.0,True,1.0,False,1.0,False
ednet,4,global_stack_concept_intercept,elorasch,valid,133974,937,cluster,91,0.64833,0.009909,0.641109,0.007222,0.004966,0.009974,0.0,0.045742,-0.035833,0.0,0.647645,0.000685,-0.000325,0.001811,0.178,0.010886,-0.000977,0.784,0.0,True,0.0,True,1.0,False,1.0,False
ednet,4,linear_gating,elorasch,valid,133974,937,cluster,-1,0.636376,0.042439,0.641109,-0.004732,-0.007876,-0.000597,0.02,0.045742,-0.003303,0.558,0.647645,-0.011269,-0.013369,-0.009072,0.0,0.010886,0.031553,0.0,0.076,False,1.0,False,0.0,True,0.0,True
