dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2015,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",106663,138458,100,0.709649,0.008728,0.174918,0.699152,0.027099,0.178072,0.706939,0.006968,0.175452,bkt,valid,bkt,0.698996,0.00726,0.177033,0.010498,0.010653,0.00271,-0.01837,0.001468,0.00176
assist2015,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",106663,138458,-1,0.697525,0.017643,0.178077,0.699152,0.027099,0.178072,0.706939,0.006968,0.175452,bkt,valid,bkt,0.698996,0.00726,0.177033,-0.001626,-0.001471,-0.009414,-0.009456,0.010383,0.010675
assist2015,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",107443,138458,99,0.70852,0.007594,0.17523,0.699187,0.026672,0.17803,0.707186,0.00737,0.175453,bkt,valid,bkt,0.699136,0.006997,0.177004,0.009333,0.009384,0.001333,-0.019078,0.000596,0.000224
assist2015,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",107443,138458,99,0.709949,0.007797,0.174872,0.699187,0.026672,0.17803,0.707186,0.00737,0.175453,bkt,valid,bkt,0.699136,0.006997,0.177004,0.010762,0.010814,0.002763,-0.018875,0.0008,0.000427
assist2015,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",107443,138458,-1,0.697662,0.01777,0.178065,0.699187,0.026672,0.17803,0.707186,0.00737,0.175453,bkt,valid,bkt,0.699136,0.006997,0.177004,-0.001526,-0.001474,-0.009525,-0.008902,0.010773,0.0104
assist2015,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",112027,138458,100,0.708939,0.00599,0.17513,0.699111,0.026045,0.177987,0.706967,0.004517,0.175448,bkt,valid,bkt,0.698987,0.008391,0.177025,0.009828,0.009953,0.001972,-0.020055,-0.002401,0.001473
assist2015,3,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",112027,138458,100,0.710153,0.005031,0.174763,0.699111,0.026045,0.177987,0.706967,0.004517,0.175448,bkt,valid,bkt,0.698987,0.008391,0.177025,0.011042,0.011167,0.003186,-0.021014,-0.00336,0.000514
assist2015,3,linear_gating,"bkt,pfa,pfa_recency,elorasch",112027,138458,-1,0.697456,0.017683,0.178063,0.699111,0.026045,0.177987,0.706967,0.004517,0.175448,bkt,valid,bkt,0.698987,0.008391,0.177025,-0.001655,-0.001531,-0.009511,-0.008362,0.009292,0.013166
assist2015,4,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",112375,138458,100,0.707412,0.004477,0.175264,0.699579,0.02628,0.177901,0.706652,0.006304,0.175527,bkt,valid,bkt,0.699203,0.007015,0.177002,0.007833,0.008209,0.00076,-0.021802,-0.002538,-0.001827
assist2015,4,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",112375,138458,100,0.70963,0.005077,0.174869,0.699579,0.02628,0.177901,0.706652,0.006304,0.175527,bkt,valid,bkt,0.699203,0.007015,0.177002,0.01005,0.010427,0.002977,-0.021203,-0.001938,-0.001227
assist2015,4,linear_gating,"bkt,pfa,pfa_recency,elorasch",112375,138458,-1,0.700072,0.018593,0.177591,0.699579,0.02628,0.177901,0.706652,0.006304,0.175527,bkt,valid,bkt,0.699203,0.007015,0.177002,0.000493,0.00087,-0.00658,-0.007686,0.011579,0.01229
assist2017,0,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",153980,178823,90,0.655344,0.008371,0.215676,0.647658,0.029685,0.218684,0.654412,0.010094,0.215882,elorasch,valid,elorasch,0.639886,0.028824,0.220465,0.007686,0.015458,0.000932,-0.021314,-0.020454,-0.001723
assist2017,0,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",153980,178823,90,0.655277,0.009718,0.215576,0.647658,0.029685,0.218684,0.654412,0.010094,0.215882,elorasch,valid,elorasch,0.639886,0.028824,0.220465,0.007619,0.015392,0.000866,-0.019967,-0.019107,-0.000376
assist2017,0,linear_gating,"bkt,pfa,pfa_recency,elorasch",153980,178823,-1,0.650355,0.027905,0.217935,0.647658,0.029685,0.218684,0.654412,0.010094,0.215882,elorasch,valid,elorasch,0.639886,0.028824,0.220465,0.002697,0.010469,-0.004057,-0.00178,-0.000919,0.017811
assist2017,1,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",142789,178823,89,0.655947,0.010111,0.215549,0.647425,0.028879,0.218684,0.654456,0.010512,0.215893,elorasch,valid,elorasch,0.640084,0.027391,0.220339,0.008522,0.015864,0.001492,-0.018768,-0.01728,-0.000401
assist2017,1,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",142789,178823,89,0.656229,0.008885,0.215441,0.647425,0.028879,0.218684,0.654456,0.010512,0.215893,elorasch,valid,elorasch,0.640084,0.027391,0.220339,0.008804,0.016146,0.001774,-0.019994,-0.018506,-0.001627
assist2017,1,linear_gating,"bkt,pfa,pfa_recency,elorasch",142789,178823,-1,0.650412,0.027787,0.217959,0.647425,0.028879,0.218684,0.654456,0.010512,0.215893,elorasch,valid,elorasch,0.640084,0.027391,0.220339,0.002987,0.010329,-0.004043,-0.001092,0.000396,0.017275
assist2017,2,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",146749,178823,89,0.655889,0.008934,0.215587,0.647387,0.029284,0.218717,0.654314,0.01149,0.215933,elorasch,valid,elorasch,0.639874,0.027428,0.220366,0.008501,0.016015,0.001575,-0.020349,-0.018494,-0.002555
assist2017,2,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",146749,178823,89,0.65582,0.009204,0.215536,0.647387,0.029284,0.218717,0.654314,0.01149,0.215933,elorasch,valid,elorasch,0.639874,0.027428,0.220366,0.008433,0.015947,0.001507,-0.020079,-0.018224,-0.002285
assist2017,2,linear_gating,"bkt,pfa,pfa_recency,elorasch",146749,178823,-1,0.650127,0.027399,0.218013,0.647387,0.029284,0.218717,0.654314,0.01149,0.215933,elorasch,valid,elorasch,0.639874,0.027428,0.220366,0.00274,0.010254,-0.004186,-0.001884,-2.9e-05,0.01591
assist2017,3,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",169963,178823,91,0.656514,0.011023,0.215487,0.647484,0.029463,0.218609,0.654629,0.011962,0.215965,elorasch,valid,elorasch,0.640106,0.028215,0.22037,0.009029,0.016407,0.001884,-0.01844,-0.017191,-0.000938
assist2017,3,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",169963,178823,91,0.656578,0.011658,0.215485,0.647484,0.029463,0.218609,0.654629,0.011962,0.215965,elorasch,valid,elorasch,0.640106,0.028215,0.22037,0.009093,0.016471,0.001948,-0.017805,-0.016557,-0.000304
assist2017,3,linear_gating,"bkt,pfa,pfa_recency,elorasch",169963,178823,-1,0.649744,0.026427,0.217965,0.647484,0.029463,0.218609,0.654629,0.011962,0.215965,elorasch,valid,elorasch,0.640106,0.028215,0.22037,0.00226,0.009638,-0.004885,-0.003036,-0.001787,0.014466
assist2017,4,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",150510,178823,90,0.656064,0.009809,0.215552,0.647439,0.029344,0.218683,0.654598,0.010716,0.21588,elorasch,valid,elorasch,0.640697,0.028382,0.220272,0.008625,0.015367,0.001466,-0.019535,-0.018574,-0.000907
assist2017,4,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",150510,178823,90,0.655962,0.009659,0.215497,0.647439,0.029344,0.218683,0.654598,0.010716,0.21588,elorasch,valid,elorasch,0.640697,0.028382,0.220272,0.008523,0.015265,0.001365,-0.019685,-0.018724,-0.001058
assist2017,4,linear_gating,"bkt,pfa,pfa_recency,elorasch",150510,178823,-1,0.649561,0.026341,0.218061,0.647439,0.029344,0.218683,0.654598,0.010716,0.21588,elorasch,valid,elorasch,0.640697,0.028382,0.220272,0.002122,0.008864,-0.005037,-0.003003,-0.002042,0.015625
algebra2005,0,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",113657,93595,61,0.76232,0.008682,0.149323,0.755084,0.025356,0.152467,0.758411,0.014264,0.15031,bkt,valid,bkt,0.750809,0.013983,0.152249,0.007237,0.011511,0.003909,-0.016674,-0.005301,-0.005582
algebra2005,0,global_stack_concept_intercept,"bkt,pfa,pfa_recency,elorasch",113657,93595,61,0.762031,0.008773,0.149254,0.755084,0.025356,0.152467,0.758411,0.014264,0.15031,bkt,valid,bkt,0.750809,0.013983,0.152249,0.006947,0.011222,0.00362,-0.016583,-0.00521,-0.005491
algebra2005,0,linear_gating,"bkt,pfa,pfa_recency,elorasch",113657,93595,-1,0.753072,0.016091,0.152233,0.755084,0.025356,0.152467,0.758411,0.014264,0.15031,bkt,valid,bkt,0.750809,0.013983,0.152249,-0.002012,0.002262,-0.005339,-0.009265,0.002108,0.001827
algebra2005,1,static_concept_weights,"bkt,pfa,pfa_recency,elorasch",112651,93595,65,0.763057,0.016333,0.149364,0.755001,0.026816,0.152536,0.758625,0.017044,0.150641,bkt,valid,bkt,0.750079,0.01567,0.15231,0.008056,0.012977,0.004432,-0.010483,0.000664,-0.000711
