dataset,fold,granularity,models_in_subset,best_single_model,best_single_selected_on,best_single_on_test_model,n_valid,n_test,attn_train_sec,attn_auc,attn_ece,attn_brier,ccce_auc,ccce_ece,ccce_brier,static_auc,static_ece,static_brier,stack_auc,stack_ece,stack_brier,mean_auc,mean_ece,mean_brier,best_auc,best_ece,best_brier,lift_attn_vs_best_auc,lift_attn_vs_best_ece,lift_attn_vs_mean_auc,lift_attn_vs_mean_ece,lift_attn_vs_stack_auc,lift_attn_vs_stack_ece,lift_attn_vs_static_auc,lift_attn_vs_static_ece,lift_attn_vs_ccce_auc,lift_attn_vs_ccce_ece
bridge2algebra2006,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,276786,352370,2.5,0.820183,0.007445,0.104232,0.819853,0.003934,0.10408,0.81998,0.003223,0.10403,0.819735,0.003304,0.104387,0.814689,0.012291,0.105762,0.807972,0.008721,0.107056,0.012211,-0.001276,0.005494,-0.004846,0.000448,0.004141,0.000204,0.004222,0.00033,0.00351
bridge2algebra2006,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,286535,352370,2.6,0.822465,0.008467,0.103607,0.821822,0.005114,0.103561,0.821856,0.004136,0.103532,0.821489,0.00363,0.103709,0.816829,0.013602,0.105225,0.806718,0.006749,0.107502,0.015747,0.001719,0.005636,-0.005135,0.000976,0.004837,0.000609,0.004332,0.000642,0.003353
bridge2algebra2006,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,301562,352370,2.7,0.822473,0.008373,0.103505,0.821187,0.005359,0.103628,0.821136,0.005448,0.103629,0.821535,0.003645,0.103815,0.817075,0.013361,0.105042,0.807446,0.007236,0.107317,0.015028,0.001137,0.005398,-0.004988,0.000939,0.004728,0.001338,0.002926,0.001287,0.003014
bridge2algebra2006,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,307842,352370,2.7,0.819134,0.009192,0.104548,0.819266,0.005835,0.104217,0.819319,0.005199,0.10421,0.818379,0.004311,0.104758,0.813184,0.015552,0.106341,0.805745,0.006766,0.107702,0.013388,0.002426,0.005949,-0.00636,0.000755,0.004881,-0.000185,0.003994,-0.000132,0.003357
bridge2algebra2006,4,question,"dkt,sakt,akt,simplekt",akt,valid,akt,282684,352370,2.6,0.818777,0.012341,0.104482,0.820212,0.004184,0.104171,0.820222,0.0037,0.104148,0.818336,0.002115,0.104515,0.812273,0.015749,0.10594,0.805861,0.009314,0.107894,0.012916,0.003028,0.006504,-0.003407,0.000441,0.010227,-0.001445,0.008641,-0.001435,0.008157
assist2012,0,question,"dkt,sakt,akt,simplekt",akt,valid,akt,439766,536087,3.9,0.777775,0.01286,0.166555,0.778451,0.001859,0.166107,0.778567,0.001781,0.166071,0.777844,0.002019,0.166303,0.771622,0.026273,0.169221,0.772909,0.014961,0.168261,0.004866,-0.002101,0.006152,-0.013413,-6.9e-05,0.010841,-0.000792,0.011078,-0.000677,0.011
assist2012,1,question,"dkt,sakt,akt,simplekt",akt,valid,akt,432602,536087,3.9,0.777973,0.011869,0.166488,0.77884,0.004006,0.166046,0.778928,0.003226,0.166014,0.778036,0.002064,0.166272,0.771671,0.024466,0.169108,0.772772,0.014935,0.168316,0.005201,-0.003066,0.006302,-0.012597,-6.2e-05,0.009805,-0.000955,0.008643,-0.000866,0.007863
assist2012,2,question,"dkt,sakt,akt,simplekt",akt,valid,akt,424912,536087,3.7,0.777751,0.01172,0.166593,0.778444,0.002523,0.166141,0.778502,0.002746,0.16613,0.777755,0.001825,0.16635,0.770889,0.024337,0.169446,0.771735,0.014769,0.168718,0.006016,-0.00305,0.006862,-0.012618,-4e-06,0.009895,-0.000751,0.008974,-0.000693,0.009197
assist2012,3,question,"dkt,sakt,akt,simplekt",akt,valid,akt,419158,536087,3.8,0.777707,0.01134,0.166568,0.778509,0.003128,0.166164,0.778609,0.002641,0.166109,0.777817,0.001666,0.166318,0.771283,0.024788,0.169284,0.771509,0.014137,0.168699,0.006198,-0.002797,0.006424,-0.013448,-0.00011,0.009674,-0.000902,0.008699,-0.000802,0.008212
assist2012,4,question,"dkt,sakt,akt,simplekt",akt,valid,akt,423475,536087,3.7,0.77811,0.010455,0.166444,0.778728,0.002772,0.166049,0.778707,0.00244,0.166066,0.778014,0.002003,0.166279,0.771679,0.022791,0.169189,0.772492,0.01261,0.168315,0.005618,-0.002156,0.006431,-0.012337,9.6e-05,0.008452,-0.000597,0.008015,-0.000617,0.007683
ednet,0,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,77883,132209,0.9,0.641586,0.079174,0.222276,0.679211,0.013822,0.203979,0.679223,0.015646,0.204232,0.665357,0.015092,0.207719,0.63232,0.086524,0.227431,0.658462,0.148408,0.237773,-0.016876,-0.069235,0.009266,-0.00735,-0.023771,0.064082,-0.037637,0.063528,-0.037625,0.065352
ednet,1,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,110391,132209,1.1,0.644465,0.076903,0.221628,0.683055,0.020974,0.203316,0.682024,0.026042,0.203889,0.664904,0.028481,0.208277,0.63288,0.085113,0.227789,0.659407,0.132468,0.232739,-0.014941,-0.055565,0.011585,-0.00821,-0.020439,0.048422,-0.037558,0.050861,-0.038589,0.055929
ednet,2,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,85108,132209,0.9,0.641027,0.073469,0.221506,0.679598,0.009868,0.203997,0.676976,0.0176,0.204734,0.662051,0.013229,0.208276,0.632649,0.087569,0.22719,0.657867,0.146561,0.237687,-0.016839,-0.073092,0.008378,-0.0141,-0.021024,0.060241,-0.035949,0.055869,-0.038571,0.063601
ednet,3,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,90433,132209,1.0,0.641806,0.074536,0.221141,0.677218,0.019651,0.204435,0.676326,0.027809,0.205063,0.659729,0.022827,0.209043,0.632972,0.085275,0.226925,0.65679,0.145087,0.237052,-0.014984,-0.070551,0.008835,-0.010739,-0.017923,0.051709,-0.03452,0.046726,-0.035411,0.054885
ednet,4,question,"dkt,sakt,akt,simplekt",simplekt,valid,simplekt,92249,132209,1.0,0.638422,0.084661,0.224433,0.678133,0.008306,0.204145,0.676922,0.014804,0.204474,0.660204,0.017402,0.208855,0.630837,0.08795,0.229484,0.653691,0.142891,0.238855,-0.015269,-0.05823,0.007585,-0.003289,-0.021782,0.067259,-0.038501,0.069857,-0.039711,0.076355
