dataset,fold,meta_learner,models_in_subset,n_valid,n_test,n_concepts_fit,gated_auc,gated_ece,gated_brier,mean_auc,mean_ece,mean_brier,stacked_auc,stacked_ece,stacked_brier,best_single_model,best_single_selected_on,best_single_on_test_model,best_single_auc,best_single_ece,best_single_brier,lift_gated_vs_mean_auc,lift_gated_vs_best_auc,lift_gated_vs_stack_auc,lift_gated_vs_mean_ece,lift_gated_vs_best_ece,lift_gated_vs_stack_ece
assist2015,3,static_concept_weights,"dkt,sakt,akt,simplekt",108932,134592,100,0.728826,0.005198,0.169874,0.728095,0.004987,0.169991,0.730201,0.003706,0.169532,dkt,valid,dkt,0.726627,0.010432,0.170593,0.000732,0.002199,-0.001375,0.000211,-0.005234,0.001492
assist2015,3,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",108932,134592,100,0.730522,0.003204,0.169492,0.728095,0.004987,0.169991,0.730201,0.003706,0.169532,dkt,valid,dkt,0.726627,0.010432,0.170593,0.002428,0.003896,0.000321,-0.001783,-0.007228,-0.000502
assist2015,3,linear_gating,"dkt,sakt,akt,simplekt",108932,134592,-1,0.72258,0.029337,0.171991,0.728095,0.004987,0.169991,0.730201,0.003706,0.169532,dkt,valid,dkt,0.726627,0.010432,0.170593,-0.005515,-0.004047,-0.007621,0.02435,0.018905,0.025631
assist2015,4,static_concept_weights,"dkt,sakt,akt,simplekt",109271,134592,100,0.728809,0.007489,0.169999,0.728607,0.015553,0.170224,0.730614,0.004721,0.169506,dkt,valid,dkt,0.727083,0.006999,0.170468,0.000203,0.001726,-0.001805,-0.008064,0.00049,0.002768
assist2015,4,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",109271,134592,100,0.730485,0.006203,0.169542,0.728607,0.015553,0.170224,0.730614,0.004721,0.169506,dkt,valid,dkt,0.727083,0.006999,0.170468,0.001878,0.003402,-0.000129,-0.00935,-0.000796,0.001482
assist2015,4,linear_gating,"dkt,sakt,akt,simplekt",109271,134592,-1,0.723867,0.038579,0.172505,0.728607,0.015553,0.170224,0.730614,0.004721,0.169506,dkt,valid,dkt,0.727083,0.006999,0.170468,-0.00474,-0.003216,-0.006747,0.023026,0.031581,0.033858
assist2017,0,static_concept_weights,"dkt,sakt,akt,simplekt",153067,177767,90,0.770687,0.00478,0.183694,0.76334,0.038864,0.188194,0.769958,0.004208,0.18388,akt,valid,akt,0.758263,0.015664,0.188321,0.007348,0.012424,0.000729,-0.034084,-0.010884,0.000572
assist2017,0,global_stack_concept_intercept,"dkt,sakt,akt,simplekt",153067,177767,90,0.770828,0.005061,0.183609,0.76334,0.038864,0.188194,0.769958,0.004208,0.18388,akt,valid,akt,0.758263,0.015664,0.188321,0.007488,0.012564,0.000869,-0.033803,-0.010603,0.000853
assist2017,0,linear_gating,"dkt,sakt,akt,simplekt",153067,177767,-1,0.764521,0.032602,0.187637,0.76334,0.038864,0.188194,0.769958,0.004208,0.18388,akt,valid,akt,0.758263,0.015664,0.188321,0.001181,0.006258,-0.005438,-0.006261,0.016939,0.028395
assist2017,1,static_concept_weights,"dkt,sakt,akt,simplekt",141938,177767,88,0.771435,0.005043,0.183412,0.763435,0.037727,0.188127,0.770683,0.004297,0.183613,akt,valid,akt,0.758171,0.015759,0.188319,0.008001,0.013264,0.000753,-0.032684,-0.010716,0.000746
