dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2009,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,44631,53148,770,0.740584,0.72581,0.014774,0.011187,0.018086,0.0,0.007556,0.018534,-0.010978,-0.018061,-0.004502,0.001,0.0,True,0.021,True
assist2009,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775593,0.759104,0.016489,0.01384,0.019075,0.0,0.012698,0.025647,-0.012949,-0.021892,-0.00356,0.001,0.0,True,0.004,True
assist2009,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775593,0.759104,0.016489,0.01384,0.019074,0.0,0.012697,0.025647,-0.01295,-0.021903,-0.003517,0.001,0.0,True,0.004,True
assist2009,2,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.760565,0.759104,0.001461,-0.003177,0.005871,0.529,0.018517,0.025647,-0.00713,-0.013177,-0.000794,0.028,1.0,False,0.028,True
assist2009,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.775889,0.759104,0.016785,0.014235,0.019224,0.0,0.010952,0.025647,-0.014695,-0.02214,-0.005472,0.001,0.0,True,0.004,True
assist2009,2,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,43884,52254,770,0.77642,0.759104,0.017316,0.014705,0.019783,0.0,0.00656,0.025647,-0.019087,-0.024468,-0.007826,0.0,0.0,True,0.0,True
assist2009,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,50615,53148,770,0.741027,0.726632,0.014395,0.011288,0.017181,0.0,0.012802,0.019525,-0.006723,-0.012598,-0.002539,0.003,0.0,True,0.033,True
assist2009,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,50615,53148,770,0.741027,0.726632,0.014395,0.011288,0.017181,0.0,0.012802,0.019525,-0.006723,-0.012598,-0.002539,0.003,0.0,True,0.033,True
assist2009,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,50615,53148,770,0.726632,0.726632,0.0,0.0,0.0,1.0,0.019525,0.019525,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2009,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,50615,53148,770,0.742028,0.726632,0.015396,0.012303,0.018271,0.0,0.011134,0.019525,-0.008391,-0.014103,-0.004092,0.0,0.0,True,0.0,True
assist2009,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,50615,53148,770,0.741454,0.726632,0.014822,0.011612,0.01769,0.0,0.009038,0.019525,-0.010487,-0.015542,-0.004057,0.001,0.0,True,0.021,True
assist2009,3,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,49836,52254,770,0.781343,0.767424,0.013919,0.011391,0.016442,0.0,0.013,0.057253,-0.044253,-0.050669,-0.035281,0.0,0.0,True,0.0,True
assist2009,3,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,49836,52254,770,0.781343,0.767424,0.013919,0.011391,0.016442,0.0,0.012999,0.057253,-0.044254,-0.050669,-0.035283,0.0,0.0,True,0.0,True
assist2009,3,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,49836,52254,770,0.758337,0.767424,-0.009087,-0.014154,-0.004333,0.0,0.019604,0.057253,-0.037649,-0.041893,-0.032143,0.0,0.0,True,0.0,True
assist2009,3,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,49836,52254,770,0.780367,0.767424,0.012943,0.010418,0.015501,0.0,0.011983,0.057253,-0.045269,-0.051464,-0.036294,0.0,0.0,True,0.0,True
assist2009,3,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,49836,52254,770,0.781249,0.767424,0.013825,0.011286,0.016319,0.0,0.009009,0.057253,-0.048244,-0.054085,-0.037043,0.0,0.0,True,0.0,True
assist2009,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,45637,53148,770,0.740513,0.725994,0.014519,0.011392,0.017377,0.0,0.011005,0.020951,-0.009946,-0.016957,-0.003477,0.002,0.0,True,0.032,True
assist2009,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,45637,53148,770,0.740513,0.725994,0.014519,0.011392,0.017377,0.0,0.011005,0.020951,-0.009946,-0.016957,-0.003477,0.002,0.0,True,0.032,True
assist2009,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,45637,53148,770,0.725994,0.725994,0.0,0.0,0.0,1.0,0.020951,0.020951,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2009,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,45637,53148,770,0.740778,0.725994,0.014784,0.011246,0.017911,0.0,0.007095,0.020951,-0.013855,-0.019964,-0.00628,0.0,0.0,True,0.0,True
assist2009,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,45637,53148,770,0.740783,0.725994,0.014789,0.01155,0.017785,0.0,0.014723,0.020951,-0.006227,-0.012493,0.00018,0.057,0.0,True,0.399,False
