dataset,fold,subset,meta_learner,models_in_subset,best_single_model,best_single_selected_on,n_valid,n_test,n_students,stacked_auc,best_single_auc,delta_auc,auc_ci_low,auc_ci_high,auc_p,stacked_ece,best_single_ece,delta_ece,ece_ci_low,ece_ci_high,ece_p,auc_p_holm,auc_p_reject_holm,ece_p_holm,ece_p_reject_holm
assist2017,1,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,141938,177767,341,0.771243,0.758171,0.013071,0.011849,0.014365,0.0,0.010345,0.01577,-0.005425,-0.009916,-0.001028,0.018,0.0,True,0.10799999999999998,False
assist2017,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,146749,178823,341,0.654314,0.639874,0.01444,0.011573,0.017234,0.0,0.01149,0.027428,-0.015939,-0.017966,-0.012264,0.0,0.0,True,0.0,True
assist2017,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,146749,178823,341,0.654326,0.639874,0.014452,0.011593,0.01725,0.0,0.011526,0.027428,-0.015903,-0.017981,-0.012215,0.0,0.0,True,0.0,True
assist2017,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,146749,178823,341,0.639874,0.639874,0.0,0.0,0.0,1.0,0.027428,0.027428,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,146749,178823,341,0.661093,0.639874,0.021219,0.018807,0.023581,0.0,0.007017,0.027428,-0.020411,-0.022376,-0.014164,0.0,0.0,True,0.0,True
assist2017,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,146749,178823,341,0.65558,0.639874,0.015706,0.013092,0.018263,0.0,0.012038,0.027428,-0.01539,-0.017522,-0.011536,0.0,0.0,True,0.0,True
assist2017,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,145879,177767,341,0.768838,0.757625,0.011213,0.010222,0.012239,0.0,0.006615,0.017892,-0.011277,-0.013649,-0.008553,0.0,0.0,True,0.0,True
assist2017,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,145879,177767,341,0.768838,0.757625,0.011213,0.010222,0.012239,0.0,0.006615,0.017892,-0.011277,-0.013649,-0.008553,0.0,0.0,True,0.0,True
assist2017,2,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,145879,177767,341,0.757625,0.757625,0.0,0.0,0.0,1.0,0.017892,0.017892,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,145879,177767,341,0.76857,0.757625,0.010945,0.009806,0.01208,0.0,0.006188,0.017892,-0.011704,-0.013285,-0.00919,0.0,0.0,True,0.0,True
assist2017,2,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,145879,177767,341,0.768971,0.757625,0.011346,0.010369,0.012366,0.0,0.008221,0.017892,-0.00967,-0.012886,-0.005119,0.0,0.0,True,0.0,True
assist2017,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,169963,178823,341,0.654629,0.640106,0.014523,0.011741,0.01723,0.0,0.011962,0.028215,-0.016253,-0.018859,-0.012064,0.0,0.0,True,0.0,True
assist2017,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,169963,178823,341,0.65463,0.640106,0.014524,0.01175,0.017237,0.0,0.011958,0.028215,-0.016257,-0.018829,-0.012082,0.0,0.0,True,0.0,True
assist2017,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,169963,178823,341,0.640106,0.640106,0.0,0.0,0.0,1.0,0.028215,0.028215,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,169963,178823,341,0.661878,0.640106,0.021772,0.019265,0.024351,0.0,0.009976,0.028215,-0.018239,-0.022546,-0.012937,0.0,0.0,True,0.0,True
assist2017,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,169963,178823,341,0.655339,0.640106,0.015233,0.01268,0.017754,0.0,0.011361,0.028215,-0.016854,-0.022448,-0.009503,0.0,0.0,True,0.0,True
assist2017,3,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,168980,177767,341,0.769464,0.758611,0.010853,0.009857,0.011879,0.0,0.004106,0.017125,-0.013019,-0.014979,-0.009018,0.0,0.0,True,0.0,True
assist2017,3,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,168980,177767,341,0.769464,0.758611,0.010853,0.009857,0.011879,0.0,0.004106,0.017125,-0.013019,-0.014979,-0.009018,0.0,0.0,True,0.0,True
assist2017,3,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,168980,177767,341,0.758611,0.758611,0.0,0.0,0.0,1.0,0.017125,0.017125,0.0,0.0,0.0,1.0,1.0,False,1.0,False
assist2017,3,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,168980,177767,341,0.769647,0.758611,0.011036,0.009924,0.012189,0.0,0.004353,0.017125,-0.012772,-0.014071,-0.008868,0.0,0.0,True,0.0,True
assist2017,3,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,168980,177767,341,0.770097,0.758611,0.011486,0.010434,0.012577,0.0,0.006951,0.017125,-0.010174,-0.011988,-0.007322,0.0,0.0,True,0.0,True
assist2017,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,150510,178823,341,0.654598,0.640697,0.013901,0.011172,0.016575,0.0,0.010716,0.028382,-0.017666,-0.020059,-0.014075,0.0,0.0,True,0.0,True
assist2017,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,150510,178823,341,0.654608,0.640697,0.013911,0.011184,0.016583,0.0,0.010794,0.028382,-0.017588,-0.020005,-0.014068,0.0,0.0,True,0.0,True
assist2017,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,150510,178823,341,0.640697,0.640697,0.0,0.0,0.0,1.0,0.028382,0.028382,0.0,0.0,0.0,0.035,1.0,False,0.14,False
assist2017,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,150510,178823,341,0.661456,0.640697,0.020759,0.018428,0.023127,0.0,0.005622,0.028382,-0.022761,-0.024939,-0.018011,0.0,0.0,True,0.0,True
assist2017,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",elorasch,valid,150510,178823,341,0.655673,0.640697,0.014975,0.0125,0.017462,0.0,0.005354,0.028382,-0.023028,-0.02499,-0.018817,0.0,0.0,True,0.0,True
assist2017,4,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,149617,177767,341,0.772106,0.757588,0.014518,0.013208,0.015875,0.0,0.007574,0.030158,-0.022585,-0.026066,-0.018218,0.0,0.0,True,0.0,True
assist2017,4,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,149617,177767,341,0.772107,0.757588,0.014519,0.013211,0.015877,0.0,0.007765,0.030158,-0.022393,-0.026019,-0.018075,0.0,0.0,True,0.0,True
assist2017,4,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,149617,177767,341,0.759508,0.757588,0.00192,0.000163,0.003667,0.026,0.022009,0.030158,-0.008149,-0.011129,-0.005198,0.0,0.13,False,0.0,True
assist2017,4,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,149617,177767,341,0.772182,0.757588,0.014594,0.013268,0.01599,0.0,0.004694,0.030158,-0.025464,-0.027249,-0.020517,0.0,0.0,True,0.0,True
assist2017,4,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,149617,177767,341,0.772383,0.757588,0.014796,0.013537,0.016124,0.0,0.01205,0.030158,-0.018108,-0.02153,-0.014393,0.0,0.0,True,0.0,True
algebra2005,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,113657,93595,114,0.758091,0.750809,0.007282,0.004087,0.010019,0.0,0.015396,0.013983,0.001413,-0.005559,0.006426,0.829,0.0,True,1.0,False
algebra2005,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,113657,93595,114,0.758102,0.750809,0.007293,0.004077,0.010038,0.0,0.015386,0.013983,0.001403,-0.005934,0.006574,0.833,0.0,True,1.0,False
algebra2005,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,113657,93595,114,0.750809,0.750809,0.0,0.0,0.0,1.0,0.013983,0.013983,0.0,0.0,0.0,1.0,1.0,False,1.0,False
algebra2005,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,113657,93595,114,0.76209,0.750809,0.011281,0.006884,0.014778,0.0,0.009554,0.013983,-0.004429,-0.01317,0.000657,0.08,0.0,True,1.0,False
algebra2005,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,113657,93595,114,0.759657,0.750809,0.008848,0.004598,0.012288,0.0,0.016662,0.013983,0.002679,-0.007885,0.007046,0.765,0.0,True,1.0,False
algebra2005,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,112859,92945,114,0.831646,0.813394,0.018252,0.016721,0.020044,0.0,0.009994,0.053947,-0.043954,-0.048163,-0.035301,0.0,0.0,True,0.0,True
algebra2005,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,112859,92945,114,0.831664,0.813394,0.01827,0.016745,0.020059,0.0,0.010202,0.053947,-0.043745,-0.048051,-0.035155,0.0,0.0,True,0.0,True
algebra2005,0,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,112859,92945,114,0.80977,0.813394,-0.003624,-0.006794,-0.000213,0.037,0.019175,0.053947,-0.034773,-0.042065,-0.025705,0.0,0.074,False,0.0,True
algebra2005,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,112859,92945,114,0.833485,0.813394,0.020091,0.018292,0.022037,0.0,0.00791,0.053947,-0.046037,-0.051991,-0.035678,0.0,0.0,True,0.0,True
algebra2005,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,112859,92945,114,0.832834,0.813394,0.01944,0.017758,0.02137,0.0,0.00926,0.053947,-0.044687,-0.052053,-0.034917,0.0,0.0,True,0.0,True
algebra2005,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112651,93595,114,0.758625,0.750079,0.008545,0.004733,0.011747,0.0,0.017044,0.01567,0.001374,-0.004737,0.007984,0.572,0.0,True,1.0,False
algebra2005,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112651,93595,114,0.758625,0.750079,0.008546,0.004733,0.011747,0.0,0.017067,0.01567,0.001397,-0.004735,0.007982,0.57,0.0,True,1.0,False
algebra2005,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112651,93595,114,0.750079,0.750079,0.0,0.0,0.0,1.0,0.01567,0.01567,0.0,0.0,0.0,1.0,1.0,False,1.0,False
algebra2005,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112651,93595,114,0.762464,0.750079,0.012384,0.007742,0.016112,0.0,0.016093,0.01567,0.000424,-0.007268,0.005578,0.906,0.0,True,1.0,False
algebra2005,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,112651,93595,114,0.759389,0.750079,0.009309,0.004905,0.012776,0.0,0.014737,0.01567,-0.000932,-0.007526,0.004061,0.58,0.0,True,1.0,False
algebra2005,1,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,111871,92945,114,0.827877,0.814078,0.013799,0.012214,0.015239,0.0,0.013655,0.048824,-0.035169,-0.040517,-0.025829,0.0,0.0,True,0.0,True
algebra2005,1,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,111871,92945,114,0.827891,0.814078,0.013813,0.012228,0.01525,0.0,0.013633,0.048824,-0.035191,-0.04039,-0.025777,0.0,0.0,True,0.0,True
algebra2005,1,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,111871,92945,114,0.808036,0.814078,-0.006042,-0.009114,-0.003383,0.0,0.009147,0.048824,-0.039677,-0.043117,-0.029717,0.0,0.0,True,0.0,True
algebra2005,1,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,111871,92945,114,0.8301,0.814078,0.016022,0.014477,0.017495,0.0,0.008783,0.048824,-0.040041,-0.048229,-0.026427,0.0,0.0,True,0.0,True
algebra2005,1,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,111871,92945,114,0.830248,0.814078,0.01617,0.014726,0.017564,0.0,0.00943,0.048824,-0.039394,-0.047966,-0.025442,0.0,0.0,True,0.0,True
algebra2005,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,101425,93595,114,0.75754,0.750231,0.007309,0.003995,0.01013,0.0,0.011937,0.012839,-0.000902,-0.004534,0.003381,0.792,0.0,True,1.0,False
algebra2005,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,101425,93595,114,0.757539,0.750231,0.007308,0.003997,0.010129,0.0,0.011921,0.012839,-0.000918,-0.004546,0.003402,0.795,0.0,True,1.0,False
algebra2005,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,101425,93595,114,0.750231,0.750231,0.0,0.0,0.0,1.0,0.012839,0.012839,0.0,0.0,0.0,1.0,1.0,False,1.0,False
algebra2005,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,101425,93595,114,0.76135,0.750231,0.011119,0.006561,0.014687,0.0,0.006367,0.012839,-0.006472,-0.011111,-0.002012,0.005,0.0,True,0.115,False
algebra2005,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,101425,93595,114,0.759168,0.750231,0.008937,0.004517,0.012458,0.0,0.011035,0.012839,-0.001804,-0.009504,0.003271,0.56,0.0,True,1.0,False
algebra2005,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,100740,92945,114,0.831876,0.815247,0.01663,0.014967,0.018504,0.0,0.010298,0.06492,-0.054622,-0.058621,-0.045446,0.0,0.0,True,0.0,True
algebra2005,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,100740,92945,114,0.831903,0.815247,0.016657,0.015003,0.018519,0.0,0.010307,0.06492,-0.054613,-0.058598,-0.045466,0.0,0.0,True,0.0,True
algebra2005,2,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,100740,92945,114,0.808664,0.815247,-0.006582,-0.009947,-0.003107,0.0,0.010157,0.06492,-0.054763,-0.059938,-0.042013,0.0,0.0,True,0.0,True
algebra2005,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,100740,92945,114,0.833615,0.815247,0.018369,0.016663,0.020331,0.0,0.004957,0.06492,-0.059963,-0.063841,-0.04581,0.0,0.0,True,0.0,True
algebra2005,2,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,100740,92945,114,0.833543,0.815247,0.018296,0.016452,0.020412,0.0,0.023889,0.06492,-0.041031,-0.05132,-0.026183,0.0,0.0,True,0.0,True
algebra2005,3,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,95608,93595,114,0.757821,0.750609,0.007213,0.003967,0.009971,0.0,0.013048,0.014198,-0.001151,-0.006143,0.002364,0.42,0.0,True,1.0,False
algebra2005,3,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,95608,93595,114,0.757821,0.750609,0.007213,0.003967,0.00997,0.0,0.013029,0.014198,-0.001169,-0.006145,0.002388,0.421,0.0,True,1.0,False
algebra2005,3,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,95608,93595,114,0.750609,0.750609,0.0,0.0,0.0,1.0,0.014198,0.014198,0.0,0.0,0.0,1.0,1.0,False,1.0,False
algebra2005,3,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,95608,93595,114,0.761452,0.750609,0.010843,0.006701,0.01419,0.0,0.005331,0.014198,-0.008867,-0.01238,-0.00373,0.0,0.0,True,0.0,True
algebra2005,3,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,95608,93595,114,0.758348,0.750609,0.007739,0.003918,0.010988,0.0,0.009012,0.014198,-0.005186,-0.009261,-0.001243,0.016,0.0,True,0.336,False
algebra2005,3,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,94885,92945,114,0.832396,0.816694,0.015702,0.014288,0.0171,0.0,0.011969,0.066559,-0.05459,-0.058573,-0.047921,0.0,0.0,True,0.0,True
algebra2005,3,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,94885,92945,114,0.832425,0.816694,0.015731,0.014308,0.01712,0.0,0.012088,0.066559,-0.054471,-0.058395,-0.047806,0.0,0.0,True,0.0,True
algebra2005,3,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,94885,92945,114,0.80915,0.816694,-0.007544,-0.011214,-0.004159,0.0,0.010041,0.066559,-0.056518,-0.06396,-0.042581,0.0,0.0,True,0.0,True
algebra2005,3,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,94885,92945,114,0.833762,0.816694,0.017068,0.015652,0.018499,0.0,0.005209,0.066559,-0.06135,-0.064264,-0.051167,0.0,0.0,True,0.0,True
algebra2005,3,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,94885,92945,114,0.83375,0.816694,0.017056,0.0156,0.018486,0.0,0.005333,0.066559,-0.061226,-0.063446,-0.053536,0.0,0.0,True,0.0,True
algebra2005,4,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,90089,93595,114,0.758038,0.750802,0.007236,0.003796,0.01016,0.0,0.011547,0.01546,-0.003913,-0.008448,0.000393,0.072,0.0,True,1.0,False
algebra2005,4,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,90089,93595,114,0.758039,0.750802,0.007236,0.003796,0.010161,0.0,0.01155,0.01546,-0.00391,-0.008451,0.000395,0.073,0.0,True,1.0,False
algebra2005,4,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,90089,93595,114,0.750802,0.750802,0.0,0.0,0.0,1.0,0.01546,0.01546,0.0,0.0,0.0,1.0,1.0,False,1.0,False
algebra2005,4,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,90089,93595,114,0.760516,0.750802,0.009714,0.005146,0.01317,0.0,0.005081,0.01546,-0.010379,-0.012476,-0.004395,0.0,0.0,True,0.0,True
algebra2005,4,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,90089,93595,114,0.758609,0.750802,0.007806,0.003753,0.011166,0.0,0.007765,0.01546,-0.007695,-0.011345,-0.001567,0.013,0.0,True,0.286,False
algebra2005,4,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,89450,92945,114,0.830624,0.813399,0.017226,0.015602,0.018738,0.0,0.014112,0.027323,-0.013211,-0.016379,-0.008647,0.0,0.0,True,0.0,True
algebra2005,4,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,89450,92945,114,0.830673,0.813399,0.017274,0.015659,0.018773,0.0,0.014355,0.027323,-0.012968,-0.016113,-0.008289,0.0,0.0,True,0.0,True
algebra2005,4,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,89450,92945,114,0.811403,0.813399,-0.001996,-0.00475,0.0005,0.116,0.012945,0.027323,-0.014378,-0.019282,-0.005738,0.0,0.116,False,0.0,True
algebra2005,4,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,89450,92945,114,0.833427,0.813399,0.020028,0.018336,0.021644,0.0,0.005814,0.027323,-0.02151,-0.024313,-0.014382,0.0,0.0,True,0.0,True
algebra2005,4,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,89450,92945,114,0.8329,0.813399,0.019501,0.017845,0.021087,0.0,0.005841,0.027323,-0.021482,-0.02568,-0.009462,0.0,0.0,True,0.0,True
bridge2algebra2006,0,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,278277,354262,229,0.758376,0.74856,0.009816,0.008095,0.011395,0.0,0.006262,0.011658,-0.005396,-0.00743,-0.002281,0.0,0.0,True,0.0,True
bridge2algebra2006,0,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,278277,354262,229,0.758396,0.74856,0.009836,0.008115,0.01141,0.0,0.006233,0.011658,-0.005425,-0.007457,-0.002295,0.0,0.0,True,0.0,True
bridge2algebra2006,0,classical,bma,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,278277,354262,229,0.74681,0.74856,-0.00175,-0.004829,0.00111,0.227,0.00952,0.011658,-0.002138,-0.004213,0.001965,0.395,0.735,False,1.0,False
bridge2algebra2006,0,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,278277,354262,229,0.761402,0.74856,0.012842,0.011246,0.014396,0.0,0.002847,0.011658,-0.008811,-0.011031,-0.006006,0.0,0.0,True,0.0,True
bridge2algebra2006,0,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,278277,354262,229,0.759511,0.74856,0.010951,0.009281,0.012543,0.0,0.005836,0.011658,-0.005822,-0.008496,-0.002653,0.0,0.0,True,0.0,True
bridge2algebra2006,0,deep,logistic_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,276786,352370,229,0.819735,0.807972,0.011763,0.0109,0.012568,0.0,0.003304,0.008721,-0.005416,-0.006422,-0.002225,0.0,0.0,True,0.0,True
bridge2algebra2006,0,deep,ridge_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,276786,352370,229,0.819735,0.807972,0.011763,0.0109,0.012568,0.0,0.003304,0.008721,-0.005416,-0.006422,-0.002225,0.0,0.0,True,0.0,True
bridge2algebra2006,0,deep,bma,"dkt,sakt,akt,simplekt",simplekt,valid,276786,352370,229,0.807972,0.807972,0.0,0.0,0.0,1.0,0.008721,0.008721,0.0,0.0,0.0,1.0,1.0,False,1.0,False
bridge2algebra2006,0,deep,xgb_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,276786,352370,229,0.82008,0.807972,0.012108,0.01124,0.012915,0.0,0.002735,0.008721,-0.005986,-0.006882,-0.002447,0.0,0.0,True,0.0,True
bridge2algebra2006,0,deep,mlp_stacked,"dkt,sakt,akt,simplekt",simplekt,valid,276786,352370,229,0.820254,0.807972,0.012282,0.011405,0.013094,0.0,0.003158,0.008721,-0.005562,-0.007667,-0.001601,0.005,0.0,True,0.095,False
bridge2algebra2006,1,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,288069,354262,229,0.757933,0.746771,0.011163,0.009262,0.013207,0.0,0.007707,0.010514,-0.002807,-0.004965,-0.000638,0.012,0.0,True,0.096,False
bridge2algebra2006,1,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,288069,354262,229,0.757979,0.746771,0.011208,0.009309,0.013247,0.0,0.007603,0.010514,-0.00291,-0.004948,-0.000668,0.009,0.0,True,0.08099999999999999,False
bridge2algebra2006,1,classical,bma,"bkt,pfa,pfa_recency,elorasch",bkt,valid,288069,354262,229,0.746771,0.746771,0.0,0.0,0.0,1.0,0.010514,0.010514,0.0,0.0,0.0,1.0,1.0,False,1.0,False
bridge2algebra2006,1,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,288069,354262,229,0.76078,0.746771,0.01401,0.01178,0.016558,0.0,0.003602,0.010514,-0.006912,-0.009479,-0.004028,0.0,0.0,True,0.0,True
bridge2algebra2006,1,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",bkt,valid,288069,354262,229,0.759497,0.746771,0.012726,0.010459,0.015233,0.0,0.003745,0.010514,-0.006768,-0.008355,-0.003266,0.0,0.0,True,0.0,True
bridge2algebra2006,1,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,286535,352370,229,0.821489,0.806718,0.014771,0.01306,0.01642,0.0,0.00363,0.006749,-0.003119,-0.005402,0.000807,0.12,0.0,True,1.0,False
bridge2algebra2006,1,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,286535,352370,229,0.821488,0.806718,0.014771,0.01306,0.01642,0.0,0.003636,0.006749,-0.003113,-0.005402,0.000807,0.12,0.0,True,1.0,False
bridge2algebra2006,1,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,286535,352370,229,0.806718,0.806718,0.0,0.0,0.0,1.0,0.006749,0.006749,0.0,0.0,0.0,1.0,1.0,False,1.0,False
bridge2algebra2006,1,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,286535,352370,229,0.822175,0.806718,0.015458,0.013805,0.017095,0.0,0.003311,0.006749,-0.003438,-0.005339,0.00063,0.093,0.0,True,1.0,False
bridge2algebra2006,1,deep,mlp_stacked,"dkt,sakt,akt,simplekt",akt,valid,286535,352370,229,0.822402,0.806718,0.015685,0.013994,0.017327,0.0,0.003728,0.006749,-0.003021,-0.005418,0.001132,0.162,0.0,True,1.0,False
bridge2algebra2006,2,classical,logistic_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,303170,354262,229,0.758282,0.748654,0.009628,0.007977,0.011174,0.0,0.007817,0.011067,-0.003249,-0.005507,-0.000508,0.02,0.0,True,0.12,False
bridge2algebra2006,2,classical,ridge_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,303170,354262,229,0.758288,0.748654,0.009635,0.007988,0.011179,0.0,0.007763,0.011067,-0.003304,-0.005539,-0.000559,0.017,0.0,True,0.11900000000000001,False
bridge2algebra2006,2,classical,bma,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,303170,354262,229,0.746254,0.748654,-0.0024,-0.005766,0.000762,0.147,0.008851,0.011067,-0.002216,-0.00428,0.003028,0.589,0.735,False,1.0,False
bridge2algebra2006,2,classical,xgb_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,303170,354262,229,0.761124,0.748654,0.01247,0.010933,0.013896,0.0,0.004179,0.011067,-0.006887,-0.009047,-0.00367,0.0,0.0,True,0.0,True
bridge2algebra2006,2,classical,mlp_stacked,"bkt,pfa,pfa_recency,elorasch",pfa_recency,valid,303170,354262,229,0.759458,0.748654,0.010804,0.00929,0.012258,0.0,0.005774,0.011067,-0.005292,-0.007528,-0.002387,0.0,0.0,True,0.0,True
bridge2algebra2006,2,deep,logistic_stacked,"dkt,sakt,akt,simplekt",akt,valid,301562,352370,229,0.821535,0.807446,0.014089,0.012504,0.015509,0.0,0.003645,0.007236,-0.00359,-0.005872,0.0005,0.096,0.0,True,1.0,False
bridge2algebra2006,2,deep,ridge_stacked,"dkt,sakt,akt,simplekt",akt,valid,301562,352370,229,0.821535,0.807446,0.014089,0.012504,0.015509,0.0,0.003645,0.007236,-0.00359,-0.005872,0.0005,0.096,0.0,True,1.0,False
bridge2algebra2006,2,deep,bma,"dkt,sakt,akt,simplekt",akt,valid,301562,352370,229,0.807446,0.807446,0.0,0.0,0.0,1.0,0.007236,0.007236,0.0,0.0,0.0,1.0,1.0,False,1.0,False
bridge2algebra2006,2,deep,xgb_stacked,"dkt,sakt,akt,simplekt",akt,valid,301562,352370,229,0.822236,0.807446,0.01479,0.013298,0.016169,0.0,0.002893,0.007236,-0.004342,-0.005882,-0.000593,0.024,0.0,True,0.40800000000000003,False
