dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2017,1,question,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.771339,0.004133,0.758171,0.013168,0.01199,0.014357,0.001,0.01577,-0.011637,0.001,0.770683,0.000656,0.00036,0.000953,0.001,0.004285,-0.000153,0.733633,0.015,True,0.015,True,0.015,True,1.0,False
assist2017,1,question,linear_gating,akt,valid,177767,341,cluster,0.764966,0.034089,0.758171,0.006795,0.005523,0.008129,0.001,0.01577,0.018319,0.001,0.770683,-0.005717,-0.006423,-0.00506,0.001,0.004285,0.029804,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,2,question,static_concept_weights,akt,valid,177767,341,cluster,0.769395,0.005821,0.757625,0.01177,0.010575,0.01301,0.001,0.017892,-0.01207,0.001,0.768838,0.000557,1.9e-05,0.001106,0.04098,0.006615,-0.000793,0.909545,0.015,True,0.015,True,0.12294000000000001,False,1.0,False
assist2017,2,question,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.769299,0.007187,0.757625,0.011674,0.010609,0.012818,0.001,0.017892,-0.010705,0.001,0.768838,0.000461,0.0001,0.000831,0.018991,0.006615,0.000572,0.615692,0.015,True,0.015,True,0.09495500000000001,False,1.0,False
assist2017,2,question,linear_gating,akt,valid,177767,341,cluster,0.764089,0.039423,0.757625,0.006464,0.005369,0.007639,0.001,0.017892,0.021532,0.001,0.768838,-0.004749,-0.005399,-0.004143,0.001,0.006615,0.032809,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,3,question,static_concept_weights,akt,valid,177767,341,cluster,0.769895,0.004348,0.758611,0.011284,0.010157,0.012424,0.001,0.017125,-0.012777,0.001,0.769464,0.000431,-1.8e-05,0.000917,0.064968,0.004106,0.000242,0.717641,0.015,True,0.015,True,0.129936,False,1.0,False
assist2017,3,question,global_stack_concept_intercept,akt,valid,177767,341,cluster,0.770005,0.003387,0.758611,0.011394,0.010313,0.012488,0.001,0.017125,-0.013738,0.001,0.769464,0.000541,0.000196,0.000891,0.001999,0.004106,-0.00072,0.612694,0.015,True,0.015,True,0.015992,True,1.0,False
assist2017,3,question,linear_gating,akt,valid,177767,341,cluster,0.763321,0.040386,0.758611,0.00471,0.003651,0.005802,0.001,0.017125,0.023261,0.001,0.769464,-0.006143,-0.006999,-0.005372,0.001,0.004106,0.03628,0.001,0.015,True,0.015,True,0.015,True,0.015,True
assist2017,4,question,static_concept_weights,simplekt,valid,177767,341,cluster,0.772146,0.006403,0.757588,0.014558,0.013159,0.015968,0.001,0.030158,-0.023756,0.001,0.772106,4e-05,-0.000447,0.000536,0.853573,0.007574,-0.001171,0.374813,0.015,True,0.015,True,0.853573,False,1.0,False
assist2017,4,question,global_stack_concept_intercept,simplekt,valid,177767,341,cluster,0.772488,0.006354,0.757588,0.0149,0.013523,0.016324,0.001,0.030158,-0.023804,0.001,0.772106,0.000382,4.2e-05,0.000733,0.024988,0.007574,-0.001219,0.534733,0.015,True,0.015,True,0.099952,False,1.0,False
assist2017,4,question,linear_gating,simplekt,valid,177767,341,cluster,0.766051,0.036905,0.757588,0.008463,0.007003,0.009925,0.001,0.030158,0.006747,0.017991,0.772106,-0.006055,-0.006718,-0.005409,0.001,0.007574,0.029331,0.001,0.015,True,0.017991,True,0.015,True,0.015,True
algebra2005,0,question,static_concept_weights,simplekt,valid,92945,114,cluster,0.839452,0.008327,0.813394,0.026058,0.023701,0.02863,0.001,0.053947,-0.04562,0.001,0.831646,0.007806,0.006491,0.009261,0.001,0.009994,-0.001666,0.452774,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,0,question,global_stack_concept_intercept,simplekt,valid,92945,114,cluster,0.832274,0.010123,0.813394,0.01888,0.016927,0.021002,0.001,0.053947,-0.043825,0.001,0.831646,0.000628,-0.000214,0.001488,0.137931,0.009994,0.000129,0.957521,0.015,True,0.015,True,0.275862,False,1.0,False
algebra2005,0,question,linear_gating,simplekt,valid,92945,114,cluster,0.821981,0.035066,0.813394,0.008587,0.006387,0.010421,0.001,0.053947,-0.018882,0.001,0.831646,-0.009665,-0.011588,-0.008057,0.001,0.009994,0.025072,0.001,0.015,True,0.015,True,0.015,True,0.015,True
algebra2005,1,question,static_concept_weights,simplekt,valid,92945,114,cluster,0.836504,0.009083,0.814078,0.022426,0.020322,0.024411,0.001,0.048824,-0.039741,0.001,0.827877,0.008627,0.007372,0.009905,0.001,0.013655,-0.004572,0.018991,0.015,True,0.015,True,0.015,True,0.151928,False
algebra2005,1,question,global_stack_concept_intercept,simplekt,valid,92945,114,cluster,0.828434,0.010568,0.814078,0.014355,0.012375,0.016094,0.001,0.048824,-0.038256,0.001,0.827877,0.000557,-0.000282,0.00137,0.217891,0.013655,-0.003087,0.007996,0.015,True,0.015,True,0.275862,False,0.07996,False
algebra2005,1,question,linear_gating,simplekt,valid,92945,114,cluster,0.818253,0.040697,0.814078,0.004175,0.002298,0.005834,0.001,0.048824,-0.008127,0.001,0.827877,-0.009624,-0.010951,-0.008343,0.001,0.013655,0.027042,0.001,0.015,True,0.015,True,0.015,True,0.015,True
algebra2005,2,question,static_concept_weights,simplekt,valid,92945,114,cluster,0.838781,0.006005,0.815247,0.023535,0.021305,0.026,0.001,0.06492,-0.058915,0.001,0.831876,0.006905,0.005757,0.008015,0.001,0.010298,-0.004294,0.304848,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,2,question,global_stack_concept_intercept,simplekt,valid,92945,114,cluster,0.832697,0.010522,0.815247,0.01745,0.015455,0.019573,0.001,0.06492,-0.054398,0.001,0.831876,0.000821,0.00029,0.001408,0.002999,0.010298,0.000223,0.466767,0.015,True,0.015,True,0.015,True,1.0,False
algebra2005,2,question,linear_gating,simplekt,valid,92945,114,cluster,0.825795,0.046901,0.815247,0.010548,0.009257,0.01198,0.001,0.06492,-0.018019,0.001,0.831876,-0.006081,-0.007278,-0.005034,0.001,0.010298,0.036602,0.001,0.015,True,0.015,True,0.015,True,0.015,True
algebra2005,3,question,static_concept_weights,simplekt,valid,92945,114,cluster,0.839617,0.004824,0.816694,0.022923,0.020723,0.02505,0.001,0.066559,-0.061735,0.001,0.832396,0.00722,0.005697,0.008697,0.001,0.011969,-0.007145,0.027986,0.015,True,0.015,True,0.015,True,0.195902,False
algebra2005,3,question,global_stack_concept_intercept,simplekt,valid,92945,114,cluster,0.83359,0.011395,0.816694,0.016897,0.015354,0.018509,0.001,0.066559,-0.055164,0.001,0.832396,0.001194,0.000593,0.00186,0.001,0.011969,-0.000574,0.786607,0.015,True,0.015,True,0.015,True,1.0,False
