dataset,fold,granularity,meta_learner,best_single_model,best_single_selected_on,n_test,n_students,bootstrap_method,gated_auc,gated_ece,best_single_auc,delta_auc_vs_best,auc_ci_low_vs_best,auc_ci_high_vs_best,auc_p_vs_best,best_single_ece,delta_ece_vs_best,ece_p_vs_best,stacked_auc,delta_auc_vs_stack,auc_ci_low_vs_stack,auc_ci_high_vs_stack,auc_p_vs_stack,stacked_ece,delta_ece_vs_stack,ece_p_vs_stack,auc_p_vs_best_holm,auc_p_vs_best_reject_holm,ece_p_vs_best_holm,ece_p_vs_best_reject_holm,auc_p_vs_stack_holm,auc_p_vs_stack_reject_holm,ece_p_vs_stack_holm,ece_p_vs_stack_reject_holm
assist2012,3,question,linear_gating,akt,valid,536087,5497,cluster,0.771371,0.031247,0.771509,-0.000138,-0.000643,0.000397,0.631684,0.014137,0.017111,0.001,0.777817,-0.006446,-0.006829,-0.006081,0.001,0.001666,0.029582,0.001,0.631684,False,0.015,True,0.015,True,0.015,True
assist2012,4,question,static_concept_weights,akt,valid,536087,5497,cluster,0.778707,0.00244,0.772492,0.006214,0.005743,0.00669,0.001,0.01261,-0.010171,0.001,0.778014,0.000693,0.000415,0.000974,0.001,0.002003,0.000437,0.592704,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,4,question,global_stack_concept_intercept,akt,valid,536087,5497,cluster,0.778611,0.002326,0.772492,0.006119,0.005654,0.00656,0.001,0.01261,-0.010285,0.001,0.778014,0.000597,0.000426,0.000767,0.001,0.002003,0.000323,0.817591,0.015,True,0.015,True,0.015,True,1.0,False
assist2012,4,question,linear_gating,akt,valid,536087,5497,cluster,0.769629,0.039323,0.772492,-0.002864,-0.003526,-0.002244,0.001,0.01261,0.026712,0.001,0.778014,-0.008385,-0.008856,-0.007915,0.001,0.002003,0.03732,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,0,question,static_concept_weights,simplekt,valid,132209,937,cluster,0.679223,0.015646,0.658462,0.020761,0.018311,0.02316,0.001,0.148408,-0.132762,0.001,0.665357,0.013866,0.011411,0.016071,0.001,0.015092,0.000554,0.943528,0.015,True,0.015,True,0.015,True,1.0,False
ednet,0,question,global_stack_concept_intercept,simplekt,valid,132209,937,cluster,0.668941,0.020378,0.658462,0.010479,0.008638,0.012259,0.001,0.148408,-0.12803,0.001,0.665357,0.003584,0.002402,0.004753,0.001,0.015092,0.005286,0.024988,0.015,True,0.015,True,0.015,True,0.224892,False
ednet,0,question,linear_gating,simplekt,valid,132209,937,cluster,0.644863,0.11161,0.658462,-0.013599,-0.01549,-0.011796,0.001,0.148408,-0.036798,0.001,0.665357,-0.020494,-0.024016,-0.017458,0.001,0.015092,0.096518,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,1,question,static_concept_weights,simplekt,valid,132209,937,cluster,0.682024,0.026042,0.659407,0.022617,0.019828,0.02521,0.001,0.132468,-0.106426,0.001,0.664904,0.017119,0.014378,0.019541,0.001,0.028481,-0.002439,0.209895,0.015,True,0.015,True,0.015,True,1.0,False
ednet,1,question,global_stack_concept_intercept,simplekt,valid,132209,937,cluster,0.667811,0.029704,0.659407,0.008405,0.005838,0.010884,0.001,0.132468,-0.102764,0.001,0.664904,0.002907,0.001393,0.004592,0.001999,0.028481,0.001223,0.271864,0.015,True,0.015,True,0.015,True,1.0,False
ednet,1,question,linear_gating,simplekt,valid,132209,937,cluster,0.644277,0.10408,0.659407,-0.01513,-0.017184,-0.013284,0.001,0.132468,-0.028388,0.001,0.664904,-0.020628,-0.024407,-0.017296,0.001,0.028481,0.075599,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,2,question,static_concept_weights,simplekt,valid,132209,937,cluster,0.676976,0.0176,0.657867,0.019109,0.016442,0.021518,0.001,0.146561,-0.128961,0.001,0.662051,0.014925,0.012345,0.017262,0.001,0.013229,0.004372,0.334833,0.015,True,0.015,True,0.015,True,1.0,False
ednet,2,question,global_stack_concept_intercept,simplekt,valid,132209,937,cluster,0.665003,0.016501,0.657867,0.007136,0.005652,0.008866,0.001,0.146561,-0.130061,0.001,0.662051,0.002952,0.001764,0.004339,0.001,0.013229,0.003272,0.393803,0.015,True,0.015,True,0.015,True,1.0,False
ednet,2,question,linear_gating,simplekt,valid,132209,937,cluster,0.646997,0.111396,0.657867,-0.01087,-0.012588,-0.009224,0.001,0.146561,-0.035165,0.001,0.662051,-0.015054,-0.01783,-0.012673,0.001,0.013229,0.098167,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,3,question,static_concept_weights,simplekt,valid,132209,937,cluster,0.676326,0.027809,0.65679,0.019536,0.01713,0.021825,0.001,0.145087,-0.117278,0.001,0.659729,0.016597,0.014126,0.018975,0.001,0.022827,0.004982,0.161919,0.015,True,0.015,True,0.015,True,1.0,False
ednet,3,question,global_stack_concept_intercept,simplekt,valid,132209,937,cluster,0.663323,0.027735,0.65679,0.006533,0.004867,0.008236,0.001,0.145087,-0.117352,0.001,0.659729,0.003594,0.002116,0.005189,0.001,0.022827,0.004908,0.008996,0.015,True,0.015,True,0.015,True,0.08996000000000001,False
ednet,3,question,linear_gating,simplekt,valid,132209,937,cluster,0.646213,0.104147,0.65679,-0.010577,-0.012298,-0.00885,0.001,0.145087,-0.04094,0.001,0.659729,-0.013516,-0.01602,-0.011401,0.001,0.022827,0.08132,0.001,0.015,True,0.015,True,0.015,True,0.015,True
ednet,4,question,static_concept_weights,simplekt,valid,132209,937,cluster,0.676922,0.014804,0.653691,0.023232,0.020691,0.025784,0.001,0.142891,-0.128087,0.001,0.660204,0.016718,0.014131,0.019026,0.001,0.017402,-0.002598,0.22089,0.015,True,0.015,True,0.015,True,1.0,False
ednet,4,question,global_stack_concept_intercept,simplekt,valid,132209,937,cluster,0.664307,0.01976,0.653691,0.010617,0.007871,0.013252,0.001,0.142891,-0.123131,0.001,0.660204,0.004104,0.0022,0.006171,0.001,0.017402,0.002358,0.51974,0.015,True,0.015,True,0.015,True,1.0,False
ednet,4,question,linear_gating,simplekt,valid,132209,937,cluster,0.640651,0.097774,0.653691,-0.01304,-0.014869,-0.011329,0.001,0.142891,-0.045117,0.001,0.660204,-0.019553,-0.023146,-0.016464,0.001,0.017402,0.080372,0.001,0.015,True,0.015,True,0.015,True,0.015,True
